,date,county,state,fips,cases,deaths
92104,2021-03-27,Allegany,Maryland,24001,6487,202
92105,2021-03-27,Anne Arundel,Maryland,24003,38460,562
92106,2021-03-27,Baltimore,Maryland,24005,55034,1359
92108,2021-03-27,Calvert,Maryland,24009,3884,74
92109,2021-03-27,Caroline,Maryland,24011,2104,22
92110,2021-03-27,Carroll,Maryland,24013,8137,217
92111,2021-03-27,Cecil,Maryland,24015,5302,126
92112,2021-03-27,Charles,Maryland,24017,9622,170
92113,2021-03-27,Dorchester,Maryland,24019,2464,48
92114,2021-03-27,Frederick,Maryland,24021,18012,300
92115,2021-03-27,Garrett,Maryland,24023,1898,62
92116,2021-03-27,Harford,Maryland,24025,13746,255
92117,2021-03-27,Howard,Maryland,24027,17050,226
92118,2021-03-27,Kent,Maryland,24029,1217,44
92119,2021-03-27,Montgomery,Maryland,24031,66296,1468
92120,2021-03-27,Prince George's,Maryland,24033,77399,1383
92121,2021-03-27,Queen Anne's,Maryland,24035,2691,40
92123,2021-03-27,St. Mary's,Maryland,24037,5379,121
92122,2021-03-27,Somerset,Maryland,24039,2468,37
92124,2021-03-27,Talbot,Maryland,24041,1948,36
92126,2021-03-27,Washington,Maryland,24043,13090,262
92127,2021-03-27,Wicomico,Maryland,24045,7051,149
92128,2021-03-27,Worcester,Maryland,24047,3350,92
92107,2021-03-27,Baltimore city,Maryland,24510,43804,942
92125,2021-03-27,Unknown,Maryland,,1,49
