,date,county,state,fips,cases,deaths
92129,2021-03-27,Barnstable,Massachusetts,25001,11806,440
92130,2021-03-27,Berkshire,Massachusetts,25003,5390,272
92131,2021-03-27,Bristol,Massachusetts,25005,59199,1627
92132,2021-03-27,Dukes,Massachusetts,25007,930,0
92133,2021-03-27,Essex,Massachusetts,25009,88521,2278
92134,2021-03-27,Franklin,Massachusetts,25011,2173,106
92135,2021-03-27,Hampden,Massachusetts,25013,45225,1436
92136,2021-03-27,Hampshire,Massachusetts,25015,8225,282
92137,2021-03-27,Middlesex,Massachusetts,25017,120686,3624
92138,2021-03-27,Nantucket,Massachusetts,25019,1278,0
92139,2021-03-27,Norfolk,Massachusetts,25021,49282,1714
92140,2021-03-27,Plymouth,Massachusetts,25023,43569,1373
92141,2021-03-27,Suffolk,Massachusetts,25025,83704,1781
92143,2021-03-27,Worcester,Massachusetts,25027,69741,2141
92142,2021-03-27,Unknown,Massachusetts,,37827,12
