,date,county,state,fips,cases,deaths
92144,2021-03-27,Alcona,Michigan,26001,459,25
92145,2021-03-27,Alger,Michigan,26003,594,5
92146,2021-03-27,Allegan,Michigan,26005,8048,118
92147,2021-03-27,Alpena,Michigan,26007,1575,48
92148,2021-03-27,Antrim,Michigan,26009,1380,20
92149,2021-03-27,Arenac,Michigan,26011,792,27
92150,2021-03-27,Baraga,Michigan,26013,794,34
92151,2021-03-27,Barry,Michigan,26015,4117,50
92152,2021-03-27,Bay,Michigan,26017,8134,302
92153,2021-03-27,Benzie,Michigan,26019,993,32
92154,2021-03-27,Berrien,Michigan,26021,12603,250
92155,2021-03-27,Branch,Michigan,26023,4817,111
92156,2021-03-27,Calhoun,Michigan,26025,10896,246
92157,2021-03-27,Cass,Michigan,26027,4494,68
92158,2021-03-27,Charlevoix,Michigan,26029,1398,13
92159,2021-03-27,Cheboygan,Michigan,26031,1228,38
92160,2021-03-27,Chippewa,Michigan,26033,5082,46
92161,2021-03-27,Clare,Michigan,26035,1698,69
92162,2021-03-27,Clinton,Michigan,26037,5757,75
92163,2021-03-27,Crawford,Michigan,26039,693,5
92164,2021-03-27,Delta,Michigan,26041,3267,86
92165,2021-03-27,Dickinson,Michigan,26043,2426,71
92166,2021-03-27,Eaton,Michigan,26045,7257,160
92167,2021-03-27,Emmet,Michigan,26047,1957,39
92168,2021-03-27,Genesee,Michigan,26049,29401,774
92169,2021-03-27,Gladwin,Michigan,26051,1586,43
92170,2021-03-27,Gogebic,Michigan,26053,1320,49
92171,2021-03-27,Grand Traverse,Michigan,26055,4848,77
92172,2021-03-27,Gratiot,Michigan,26057,5807,109
92173,2021-03-27,Hillsdale,Michigan,26059,3604,79
92174,2021-03-27,Houghton,Michigan,26061,2807,39
92175,2021-03-27,Huron,Michigan,26063,2835,62
92176,2021-03-27,Ingham,Michigan,26065,18753,298
92177,2021-03-27,Ionia,Michigan,26067,7464,79
92178,2021-03-27,Iosco,Michigan,26069,1348,67
92179,2021-03-27,Iron,Michigan,26071,933,51
92180,2021-03-27,Isabella,Michigan,26073,4326,77
92181,2021-03-27,Jackson,Michigan,26075,16200,263
92182,2021-03-27,Kalamazoo,Michigan,26077,16947,328
92183,2021-03-27,Kalkaska,Michigan,26079,746,15
92184,2021-03-27,Kent,Michigan,26081,55436,735
92185,2021-03-27,Keweenaw,Michigan,26083,155,2
92186,2021-03-27,Lake,Michigan,26085,414,11
92187,2021-03-27,Lapeer,Michigan,26087,6646,138
92188,2021-03-27,Leelanau,Michigan,26089,977,15
92189,2021-03-27,Lenawee,Michigan,26091,8303,136
92190,2021-03-27,Livingston,Michigan,26093,11911,154
92191,2021-03-27,Luce,Michigan,26095,1106,2
92192,2021-03-27,Mackinac,Michigan,26097,480,3
92193,2021-03-27,Macomb,Michigan,26099,69538,2025
92194,2021-03-27,Manistee,Michigan,26101,1621,23
92195,2021-03-27,Marquette,Michigan,26103,5018,57
92196,2021-03-27,Mason,Michigan,26105,1333,27
92197,2021-03-27,Mecosta,Michigan,26107,2181,22
92198,2021-03-27,Menominee,Michigan,26109,1923,41
92199,2021-03-27,Midland,Michigan,26111,5490,68
92200,2021-03-27,Missaukee,Michigan,26113,1046,20
92201,2021-03-27,Monroe,Michigan,26115,11197,212
92202,2021-03-27,Montcalm,Michigan,26117,5968,96
92203,2021-03-27,Montmorency,Michigan,26119,387,18
92204,2021-03-27,Muskegon,Michigan,26121,13179,318
92205,2021-03-27,Newaygo,Michigan,26123,3257,54
92206,2021-03-27,Oakland,Michigan,26125,84984,2054
92207,2021-03-27,Oceana,Michigan,26127,1973,51
92208,2021-03-27,Ogemaw,Michigan,26129,1162,34
92209,2021-03-27,Ontonagon,Michigan,26131,431,21
92210,2021-03-27,Osceola,Michigan,26133,1248,23
92211,2021-03-27,Oscoda,Michigan,26135,441,20
92212,2021-03-27,Otsego,Michigan,26137,1831,28
92213,2021-03-27,Ottawa,Michigan,26139,24182,361
92214,2021-03-27,Presque Isle,Michigan,26141,725,28
92215,2021-03-27,Roscommon,Michigan,26143,1458,39
92216,2021-03-27,Saginaw,Michigan,26145,17059,542
92220,2021-03-27,St. Clair,Michigan,26147,11268,273
92221,2021-03-27,St. Joseph,Michigan,26149,5104,90
92217,2021-03-27,Sanilac,Michigan,26151,2774,82
92218,2021-03-27,Schoolcraft,Michigan,26153,280,5
92219,2021-03-27,Shiawassee,Michigan,26155,4288,84
92222,2021-03-27,Tuscola,Michigan,26157,3815,140
92224,2021-03-27,Van Buren,Michigan,26159,5447,99
92225,2021-03-27,Washtenaw,Michigan,26161,20950,257
92226,2021-03-27,Wayne,Michigan,26163,114868,4246
92227,2021-03-27,Wexford,Michigan,26165,1970,24
92223,2021-03-27,Unknown,Michigan,,0,12
