,date,county,state,fips,cases,yest,diff
92228,2021-03-27,Aitkin,Minnesota,27001,1213,1207,6
92229,2021-03-27,Anoka,Minnesota,27003,35116,35010,106
92230,2021-03-27,Becker,Minnesota,27005,3259,3252,7
92231,2021-03-27,Beltrami,Minnesota,27007,3519,3502,17
92232,2021-03-27,Benton,Minnesota,27009,4850,4837,13
92233,2021-03-27,Big Stone,Minnesota,27011,541,538,3
92234,2021-03-27,Blue Earth,Minnesota,27013,6439,6429,10
92235,2021-03-27,Brown,Minnesota,27015,2712,2698,14
92236,2021-03-27,Carlton,Minnesota,27017,3115,3102,13
92237,2021-03-27,Carver,Minnesota,27019,8664,8624,40
92238,2021-03-27,Cass,Minnesota,27021,2297,2294,3
92239,2021-03-27,Chippewa,Minnesota,27023,1418,1416,2
92240,2021-03-27,Chisago,Minnesota,27025,5175,5160,15
92241,2021-03-27,Clay,Minnesota,27027,7250,7239,11
92242,2021-03-27,Clearwater,Minnesota,27029,735,734,1
92243,2021-03-27,Cook,Minnesota,27031,137,136,1
92244,2021-03-27,Cottonwood,Minnesota,27033,1441,1436,5
92245,2021-03-27,Crow Wing,Minnesota,27035,5467,5439,28
92246,2021-03-27,Dakota,Minnesota,27037,38781,38652,129
92247,2021-03-27,Dodge,Minnesota,27039,1601,1596,5
92248,2021-03-27,Douglas,Minnesota,27041,4116,4102,14
92249,2021-03-27,Faribault,Minnesota,27043,1365,1361,4
92250,2021-03-27,Fillmore,Minnesota,27045,1473,1468,5
92251,2021-03-27,Freeborn,Minnesota,27047,3047,3040,7
92252,2021-03-27,Goodhue,Minnesota,27049,4129,4116,13
92253,2021-03-27,Grant,Minnesota,27051,514,511,3
92254,2021-03-27,Hennepin,Minnesota,27053,106737,106347,390
92255,2021-03-27,Houston,Minnesota,27055,1610,1610,0
92256,2021-03-27,Hubbard,Minnesota,27057,1632,1629,3
92257,2021-03-27,Isanti,Minnesota,27059,3299,3275,24
92258,2021-03-27,Itasca,Minnesota,27061,3378,3356,22
92259,2021-03-27,Jackson,Minnesota,27063,999,991,8
92260,2021-03-27,Kanabec,Minnesota,27065,1182,1178,4
92261,2021-03-27,Kandiyohi,Minnesota,27067,6009,5995,14
92262,2021-03-27,Kittson,Minnesota,27069,425,422,3
92263,2021-03-27,Koochiching,Minnesota,27071,671,665,6
92264,2021-03-27,Lac qui Parle,Minnesota,27073,714,709,5
92265,2021-03-27,Lake,Minnesota,27075,761,761,0
92266,2021-03-27,Lake of the Woods,Minnesota,27077,249,248,1
92267,2021-03-27,Le Sueur,Minnesota,27079,2511,2500,11
92268,2021-03-27,Lincoln,Minnesota,27081,532,530,2
92269,2021-03-27,Lyon,Minnesota,27083,3276,3265,11
92273,2021-03-27,McLeod,Minnesota,27085,3612,3601,11
92270,2021-03-27,Mahnomen,Minnesota,27087,463,458,5
92271,2021-03-27,Marshall,Minnesota,27089,819,818,1
92272,2021-03-27,Martin,Minnesota,27091,2009,2007,2
92274,2021-03-27,Meeker,Minnesota,27093,2170,2158,12
92275,2021-03-27,Mille Lacs,Minnesota,27095,2486,2471,15
92276,2021-03-27,Morrison,Minnesota,27097,3608,3590,18
92277,2021-03-27,Mower,Minnesota,27099,4338,4328,10
92278,2021-03-27,Murray,Minnesota,27101,975,971,4
92279,2021-03-27,Nicollet,Minnesota,27103,2799,2791,8
92280,2021-03-27,Nobles,Minnesota,27105,3910,3907,3
92281,2021-03-27,Norman,Minnesota,27107,493,493,0
92282,2021-03-27,Olmsted,Minnesota,27109,12267,12246,21
92283,2021-03-27,Otter Tail,Minnesota,27111,5099,5080,19
92284,2021-03-27,Pennington,Minnesota,27113,1472,1471,1
92285,2021-03-27,Pine,Minnesota,27115,2950,2941,9
92286,2021-03-27,Pipestone,Minnesota,27117,1045,1042,3
92287,2021-03-27,Polk,Minnesota,27119,3506,3503,3
92288,2021-03-27,Pope,Minnesota,27121,903,902,1
92289,2021-03-27,Ramsey,Minnesota,27123,44848,44723,125
92290,2021-03-27,Red Lake,Minnesota,27125,371,371,0
92291,2021-03-27,Redwood,Minnesota,27127,1541,1536,5
92292,2021-03-27,Renville,Minnesota,27129,1603,1597,6
92293,2021-03-27,Rice,Minnesota,27131,7066,7053,13
92294,2021-03-27,Rock,Minnesota,27133,1189,1188,1
92295,2021-03-27,Roseau,Minnesota,27135,1865,1857,8
92299,2021-03-27,St. Louis,Minnesota,27137,15633,15563,70
92296,2021-03-27,Scott,Minnesota,27139,14454,14375,79
92297,2021-03-27,Sherburne,Minnesota,27141,9438,9389,49
92298,2021-03-27,Sibley,Minnesota,27143,1250,1247,3
92300,2021-03-27,Stearns,Minnesota,27145,19670,19601,69
92301,2021-03-27,Steele,Minnesota,27147,3302,3292,10
92302,2021-03-27,Stevens,Minnesota,27149,773,773,0
92303,2021-03-27,Swift,Minnesota,27151,929,924,5
92304,2021-03-27,Todd,Minnesota,27153,2582,2576,6
92305,2021-03-27,Traverse,Minnesota,27155,343,342,1
92307,2021-03-27,Wabasha,Minnesota,27157,1939,1940,-1
92308,2021-03-27,Wadena,Minnesota,27159,1363,1360,3
92309,2021-03-27,Waseca,Minnesota,27161,2189,2182,7
92310,2021-03-27,Washington,Minnesota,27163,23121,23061,60
92311,2021-03-27,Watonwan,Minnesota,27165,1218,1210,8
92312,2021-03-27,Wilkin,Minnesota,27167,725,722,3
92313,2021-03-27,Winona,Minnesota,27169,4293,4288,5
92314,2021-03-27,Wright,Minnesota,27171,13331,13271,60
92315,2021-03-27,Yellow Medicine,Minnesota,27173,1030,1022,8
92306,2021-03-27,Unknown,Minnesota,,562,554,8
