,date,county,state,fips,cases,deaths
92665,2021-03-27,Churchill,Nevada,32001,1954,49
92666,2021-03-27,Clark,Nevada,32003,233889,4095
92667,2021-03-27,Douglas,Nevada,32005,2661,35
92668,2021-03-27,Elko,Nevada,32007,4667,53
92669,2021-03-27,Esmeralda,Nevada,32009,38,0
92670,2021-03-27,Eureka,Nevada,32011,50,0
92671,2021-03-27,Humboldt,Nevada,32013,1081,13
92672,2021-03-27,Lander,Nevada,32015,444,9
92673,2021-03-27,Lincoln,Nevada,32017,354,2
92674,2021-03-27,Lyon,Nevada,32019,2906,61
92675,2021-03-27,Mineral,Nevada,32021,305,7
92676,2021-03-27,Nye,Nevada,32023,2865,100
92677,2021-03-27,Pershing,Nevada,32027,943,20
92678,2021-03-27,Storey,Nevada,32029,88,3
92679,2021-03-27,Washoe,Nevada,32031,44007,661
92680,2021-03-27,White Pine,Nevada,32033,558,6
92664,2021-03-27,Carson City,Nevada,32510,6141,122
