,date,county,state,fips,cases,yest,diff
92692,2021-03-27,Atlantic,New Jersey,34001,27762,27622,140
92693,2021-03-27,Bergen,New Jersey,34003,89471,88904,567
92694,2021-03-27,Burlington,New Jersey,34005,39143,38946,197
92695,2021-03-27,Camden,New Jersey,34007,48045,47853,192
92696,2021-03-27,Cape May,New Jersey,34009,8110,8054,56
92697,2021-03-27,Cumberland,New Jersey,34011,15230,15197,33
92698,2021-03-27,Essex,New Jersey,34013,83320,82836,484
92699,2021-03-27,Gloucester,New Jersey,34015,26482,26384,98
92700,2021-03-27,Hudson,New Jersey,34017,78431,77898,533
92701,2021-03-27,Hunterdon,New Jersey,34019,8096,8008,88
92702,2021-03-27,Mercer,New Jersey,34021,30422,30283,139
92703,2021-03-27,Middlesex,New Jersey,34023,81866,81447,419
92704,2021-03-27,Monmouth,New Jersey,34025,66584,66172,412
92705,2021-03-27,Morris,New Jersey,34027,43968,43806,162
92706,2021-03-27,Ocean,New Jersey,34029,67110,66741,369
92707,2021-03-27,Passaic,New Jersey,34031,63225,62933,292
92708,2021-03-27,Salem,New Jersey,34033,5138,5123,15
92709,2021-03-27,Somerset,New Jersey,34035,26134,25990,144
92710,2021-03-27,Sussex,New Jersey,34037,11163,11044,119
92711,2021-03-27,Union,New Jersey,34039,63096,62820,276
92713,2021-03-27,Warren,New Jersey,34041,8224,8199,25
92712,2021-03-27,Unknown,New Jersey,,1125,1219,-94
