,date,county,state,fips,cases
92714,2021-03-27,Bernalillo,New Mexico,35001,54446
92715,2021-03-27,Catron,New Mexico,35003,83
92716,2021-03-27,Chaves,New Mexico,35005,8954
92717,2021-03-27,Cibola,New Mexico,35006,3457
92718,2021-03-27,Colfax,New Mexico,35007,871
92719,2021-03-27,Curry,New Mexico,35009,5030
92720,2021-03-27,De Baca,New Mexico,35011,133
92721,2021-03-27,Doña Ana,New Mexico,35013,23957
92722,2021-03-27,Eddy,New Mexico,35015,6648
92723,2021-03-27,Grant,New Mexico,35017,1609
92724,2021-03-27,Guadalupe,New Mexico,35019,625
92725,2021-03-27,Harding,New Mexico,35021,9
92726,2021-03-27,Hidalgo,New Mexico,35023,352
92727,2021-03-27,Lea,New Mexico,35025,8941
92728,2021-03-27,Lincoln,New Mexico,35027,1586
92729,2021-03-27,Los Alamos,New Mexico,35028,496
92730,2021-03-27,Luna,New Mexico,35029,3224
92731,2021-03-27,McKinley,New Mexico,35031,12136
92732,2021-03-27,Mora,New Mexico,35033,168
92733,2021-03-27,Otero,New Mexico,35035,4695
92734,2021-03-27,Quay,New Mexico,35037,427
92735,2021-03-27,Rio Arriba,New Mexico,35039,3468
92736,2021-03-27,Roosevelt,New Mexico,35041,1863
92739,2021-03-27,Sandoval,New Mexico,35043,11284
92737,2021-03-27,San Juan,New Mexico,35045,13709
92738,2021-03-27,San Miguel,New Mexico,35047,1313
92740,2021-03-27,Santa Fe,New Mexico,35049,10040
92741,2021-03-27,Sierra,New Mexico,35051,710
92742,2021-03-27,Socorro,New Mexico,35053,1240
92743,2021-03-27,Taos,New Mexico,35055,1606
92744,2021-03-27,Torrance,New Mexico,35057,720
92745,2021-03-27,Union,New Mexico,35059,411
92747,2021-03-27,Valencia,New Mexico,35061,6675
92746,2021-03-27,Unknown,New Mexico,,1
