,date,county,state,fips,cases,yest,diff
92748,2021-03-27,Albany,New York,36001,22351,22276,75
92749,2021-03-27,Allegany,New York,36003,3003,3000,3
92750,2021-03-27,Broome,New York,36007,16393,16341,52
92751,2021-03-27,Cattaraugus,New York,36009,4734,4712,22
92752,2021-03-27,Cayuga,New York,36011,5577,5568,9
92753,2021-03-27,Chautauqua,New York,36013,7834,7817,17
92754,2021-03-27,Chemung,New York,36015,6766,6740,26
92755,2021-03-27,Chenango,New York,36017,2750,2723,27
92756,2021-03-27,Clinton,New York,36019,4111,4077,34
92757,2021-03-27,Columbia,New York,36021,3639,3632,7
92758,2021-03-27,Cortland,New York,36023,3378,3372,6
92759,2021-03-27,Delaware,New York,36025,1863,1846,17
92760,2021-03-27,Dutchess,New York,36027,25530,25400,130
92761,2021-03-27,Erie,New York,36029,72357,71849,508
92762,2021-03-27,Essex,New York,36031,1436,1430,6
92763,2021-03-27,Franklin,New York,36033,2278,2273,5
92764,2021-03-27,Fulton,New York,36035,3715,3700,15
92765,2021-03-27,Genesee,New York,36037,4739,4723,16
92766,2021-03-27,Greene,New York,36039,2920,2906,14
92767,2021-03-27,Hamilton,New York,36041,292,292,0
92768,2021-03-27,Herkimer,New York,36043,4745,4735,10
92769,2021-03-27,Jefferson,New York,36045,5176,5161,15
92770,2021-03-27,Lewis,New York,36049,2274,2257,17
92771,2021-03-27,Livingston,New York,36051,3770,3764,6
92772,2021-03-27,Madison,New York,36053,4069,4047,22
92773,2021-03-27,Monroe,New York,36055,56050,55855,195
92774,2021-03-27,Montgomery,New York,36057,3514,3501,13
92775,2021-03-27,Nassau,New York,36059,165095,164481,614
92777,2021-03-27,Niagara,New York,36063,16309,16239,70
92778,2021-03-27,Oneida,New York,36065,20692,20641,51
92779,2021-03-27,Onondaga,New York,36067,33978,33879,99
92780,2021-03-27,Ontario,New York,36069,6262,6233,29
92781,2021-03-27,Orange,New York,36071,42343,42082,261
92782,2021-03-27,Orleans,New York,36073,2570,2567,3
92783,2021-03-27,Oswego,New York,36075,6530,6507,23
92784,2021-03-27,Otsego,New York,36077,2845,2815,30
92785,2021-03-27,Putnam,New York,36079,9330,9278,52
92786,2021-03-27,Rensselaer,New York,36083,9856,9824,32
92787,2021-03-27,Rockland,New York,36087,42932,42741,191
92793,2021-03-27,St. Lawrence,New York,36089,5890,5876,14
92788,2021-03-27,Saratoga,New York,36091,13162,13101,61
92789,2021-03-27,Schenectady,New York,36093,11677,11642,35
92790,2021-03-27,Schoharie,New York,36095,1389,1384,5
92791,2021-03-27,Schuyler,New York,36097,917,910,7
92792,2021-03-27,Seneca,New York,36099,1773,1770,3
92794,2021-03-27,Steuben,New York,36101,5847,5831,16
92795,2021-03-27,Suffolk,New York,36103,179524,178813,711
92796,2021-03-27,Sullivan,New York,36105,5393,5370,23
92797,2021-03-27,Tioga,New York,36107,3077,3066,11
92798,2021-03-27,Tompkins,New York,36109,3831,3807,24
92799,2021-03-27,Ulster,New York,36111,11683,11591,92
92800,2021-03-27,Warren,New York,36113,3132,3116,16
92801,2021-03-27,Washington,New York,36115,2620,2590,30
92802,2021-03-27,Wayne,New York,36117,4781,4756,25
92803,2021-03-27,Westchester,New York,36119,118000,117508,492
92804,2021-03-27,Wyoming,New York,36121,3046,3037,9
92805,2021-03-27,Yates,New York,36123,1051,1049,2
92776,2021-03-27,New York City,New York,,829539,825104,4435
