,date,county,state,fips,cases,yest,diff
92906,2021-03-27,Adams,North Dakota,38001,267,267,0
92907,2021-03-27,Barnes,North Dakota,38003,1322,1319,3
92908,2021-03-27,Benson,North Dakota,38005,1035,1035,0
92909,2021-03-27,Billings,North Dakota,38007,53,53,0
92910,2021-03-27,Bottineau,North Dakota,38009,704,702,2
92911,2021-03-27,Bowman,North Dakota,38011,400,400,0
92912,2021-03-27,Burke,North Dakota,38013,229,229,0
92913,2021-03-27,Burleigh,North Dakota,38015,14855,14841,14
92914,2021-03-27,Cass,North Dakota,38017,22438,22348,90
92915,2021-03-27,Cavalier,North Dakota,38019,424,424,0
92916,2021-03-27,Dickey,North Dakota,38021,762,759,3
92917,2021-03-27,Divide,North Dakota,38023,173,173,0
92918,2021-03-27,Dunn,North Dakota,38025,369,369,0
92919,2021-03-27,Eddy,North Dakota,38027,461,461,0
92920,2021-03-27,Emmons,North Dakota,38029,409,409,0
92921,2021-03-27,Foster,North Dakota,38031,571,571,0
92922,2021-03-27,Golden Valley,North Dakota,38033,254,254,0
92923,2021-03-27,Grand Forks,North Dakota,38035,10007,9999,8
92924,2021-03-27,Grant,North Dakota,38037,189,188,1
92925,2021-03-27,Griggs,North Dakota,38039,308,308,0
92926,2021-03-27,Hettinger,North Dakota,38041,322,322,0
92927,2021-03-27,Kidder,North Dakota,38043,258,258,0
92928,2021-03-27,LaMoure,North Dakota,38045,505,505,0
92929,2021-03-27,Logan,North Dakota,38047,221,220,1
92930,2021-03-27,McHenry,North Dakota,38049,614,614,0
92931,2021-03-27,McIntosh,North Dakota,38051,326,325,1
92932,2021-03-27,McKenzie,North Dakota,38053,1194,1191,3
92933,2021-03-27,McLean,North Dakota,38055,1236,1235,1
92934,2021-03-27,Mercer,North Dakota,38057,1095,1093,2
92935,2021-03-27,Morton,North Dakota,38059,4999,4992,7
92936,2021-03-27,Mountrail,North Dakota,38061,1282,1282,0
92937,2021-03-27,Nelson,North Dakota,38063,460,459,1
92938,2021-03-27,Oliver,North Dakota,38065,154,154,0
92939,2021-03-27,Pembina,North Dakota,38067,780,780,0
92940,2021-03-27,Pierce,North Dakota,38069,531,531,0
92941,2021-03-27,Ramsey,North Dakota,38071,1657,1655,2
92942,2021-03-27,Ransom,North Dakota,38073,630,630,0
92943,2021-03-27,Renville,North Dakota,38075,313,311,2
92944,2021-03-27,Richland,North Dakota,38077,1877,1871,6
92945,2021-03-27,Rolette,North Dakota,38079,2132,2133,-1
92946,2021-03-27,Sargent,North Dakota,38081,437,440,-3
92947,2021-03-27,Sheridan,North Dakota,38083,105,105,0
92948,2021-03-27,Sioux,North Dakota,38085,642,642,0
92949,2021-03-27,Slope,North Dakota,38087,32,32,0
92950,2021-03-27,Stark,North Dakota,38089,4530,4530,0
92951,2021-03-27,Steele,North Dakota,38091,174,174,0
92952,2021-03-27,Stutsman,North Dakota,38093,3325,3323,2
92953,2021-03-27,Towner,North Dakota,38095,302,302,0
92954,2021-03-27,Traill,North Dakota,38097,1006,1006,0
92956,2021-03-27,Walsh,North Dakota,38099,1790,1789,1
92957,2021-03-27,Ward,North Dakota,38101,9343,9341,2
92958,2021-03-27,Wells,North Dakota,38103,436,437,-1
92959,2021-03-27,Williams,North Dakota,38105,4598,4591,7
92955,2021-03-27,Unknown,North Dakota,,32,32,0
