,date,county,state,fips,cases,deaths
93317,2021-03-27,Abbeville,South Carolina,45001,2417,37
93318,2021-03-27,Aiken,South Carolina,45003,16439,215
93319,2021-03-27,Allendale,South Carolina,45005,888,15
93320,2021-03-27,Anderson,South Carolina,45007,21577,494
93321,2021-03-27,Bamberg,South Carolina,45009,1505,51
93322,2021-03-27,Barnwell,South Carolina,45011,2469,53
93323,2021-03-27,Beaufort,South Carolina,45013,16194,197
93324,2021-03-27,Berkeley,South Carolina,45015,16088,182
93325,2021-03-27,Calhoun,South Carolina,45017,1273,36
93326,2021-03-27,Charleston,South Carolina,45019,40370,477
93327,2021-03-27,Cherokee,South Carolina,45021,5712,146
93328,2021-03-27,Chester,South Carolina,45023,3941,70
93329,2021-03-27,Chesterfield,South Carolina,45025,4553,98
93330,2021-03-27,Clarendon,South Carolina,45027,3289,105
93331,2021-03-27,Colleton,South Carolina,45029,3380,121
93332,2021-03-27,Darlington,South Carolina,45031,8122,171
93333,2021-03-27,Dillon,South Carolina,45033,4207,80
93334,2021-03-27,Dorchester,South Carolina,45035,16224,205
93335,2021-03-27,Edgefield,South Carolina,45037,2952,41
93336,2021-03-27,Fairfield,South Carolina,45039,2260,77
93337,2021-03-27,Florence,South Carolina,45041,17151,396
93338,2021-03-27,Georgetown,South Carolina,45043,6457,136
93339,2021-03-27,Greenville,South Carolina,45045,68760,938
93340,2021-03-27,Greenwood,South Carolina,45047,7588,166
93341,2021-03-27,Hampton,South Carolina,45049,1820,47
93342,2021-03-27,Horry,South Carolina,45051,36707,552
93343,2021-03-27,Jasper,South Carolina,45053,2222,43
93344,2021-03-27,Kershaw,South Carolina,45055,7013,133
93345,2021-03-27,Lancaster,South Carolina,45057,10031,157
93346,2021-03-27,Laurens,South Carolina,45059,6656,164
93347,2021-03-27,Lee,South Carolina,45061,1828,59
93348,2021-03-27,Lexington,South Carolina,45063,31422,463
93351,2021-03-27,McCormick,South Carolina,45065,989,27
93349,2021-03-27,Marion,South Carolina,45067,3405,101
93350,2021-03-27,Marlboro,South Carolina,45069,3118,51
93352,2021-03-27,Newberry,South Carolina,45071,4654,94
93353,2021-03-27,Oconee,South Carolina,45073,8859,131
93354,2021-03-27,Orangeburg,South Carolina,45075,9264,234
93355,2021-03-27,Pickens,South Carolina,45077,17381,278
93356,2021-03-27,Richland,South Carolina,45079,43598,525
93357,2021-03-27,Saluda,South Carolina,45081,1705,48
93358,2021-03-27,Spartanburg,South Carolina,45083,38394,760
93359,2021-03-27,Sumter,South Carolina,45085,10050,194
93360,2021-03-27,Union,South Carolina,45087,2851,84
93361,2021-03-27,Williamsburg,South Carolina,45089,3923,95
93362,2021-03-27,York,South Carolina,45091,28408,357
