,date,county,state,fips,cases,yest,diff
93363,2021-03-27,Aurora,South Dakota,46003,457,457,0
93364,2021-03-27,Beadle,South Dakota,46005,2857,2852,5
93365,2021-03-27,Bennett,South Dakota,46007,386,386,0
93366,2021-03-27,Bon Homme,South Dakota,46009,1514,1512,2
93367,2021-03-27,Brookings,South Dakota,46011,3785,3761,24
93368,2021-03-27,Brown,South Dakota,46013,5276,5264,12
93369,2021-03-27,Brule,South Dakota,46015,700,699,1
93370,2021-03-27,Buffalo,South Dakota,46017,423,423,0
93371,2021-03-27,Butte,South Dakota,46019,1006,1006,0
93372,2021-03-27,Campbell,South Dakota,46021,131,131,0
93373,2021-03-27,Charles Mix,South Dakota,46023,1342,1337,5
93374,2021-03-27,Clark,South Dakota,46025,410,406,4
93375,2021-03-27,Clay,South Dakota,46027,1857,1853,4
93376,2021-03-27,Codington,South Dakota,46029,4190,4180,10
93377,2021-03-27,Corson,South Dakota,46031,475,475,0
93378,2021-03-27,Custer,South Dakota,46033,779,779,0
93379,2021-03-27,Davison,South Dakota,46035,3085,3071,14
93380,2021-03-27,Day,South Dakota,46037,679,683,-4
93381,2021-03-27,Deuel,South Dakota,46039,490,489,1
93382,2021-03-27,Dewey,South Dakota,46041,1435,1435,0
93383,2021-03-27,Douglas,South Dakota,46043,443,443,0
93384,2021-03-27,Edmunds,South Dakota,46045,490,490,0
93385,2021-03-27,Fall River,South Dakota,46047,564,562,2
93386,2021-03-27,Faulk,South Dakota,46049,363,363,0
93387,2021-03-27,Grant,South Dakota,46051,1007,1005,2
93388,2021-03-27,Gregory,South Dakota,46053,570,571,-1
93389,2021-03-27,Haakon,South Dakota,46055,260,260,0
93390,2021-03-27,Hamlin,South Dakota,46057,742,740,2
93391,2021-03-27,Hand,South Dakota,46059,354,354,0
93392,2021-03-27,Hanson,South Dakota,46061,376,376,0
93393,2021-03-27,Harding,South Dakota,46063,92,92,0
93394,2021-03-27,Hughes,South Dakota,46065,2357,2355,2
93395,2021-03-27,Hutchinson,South Dakota,46067,823,816,7
93396,2021-03-27,Hyde,South Dakota,46069,138,138,0
93397,2021-03-27,Jackson,South Dakota,46071,284,284,0
93398,2021-03-27,Jerauld,South Dakota,46073,275,275,0
93399,2021-03-27,Jones,South Dakota,46075,91,91,0
93400,2021-03-27,Kingsbury,South Dakota,46077,718,710,8
93401,2021-03-27,Lake,South Dakota,46079,1287,1287,0
93402,2021-03-27,Lawrence,South Dakota,46081,2886,2885,1
93403,2021-03-27,Lincoln,South Dakota,46083,8165,8146,19
93404,2021-03-27,Lyman,South Dakota,46085,624,621,3
93406,2021-03-27,McCook,South Dakota,46087,780,778,2
93407,2021-03-27,McPherson,South Dakota,46089,240,240,0
93405,2021-03-27,Marshall,South Dakota,46091,364,364,0
93408,2021-03-27,Meade,South Dakota,46093,2685,2685,0
93409,2021-03-27,Mellette,South Dakota,46095,255,255,0
93410,2021-03-27,Miner,South Dakota,46097,286,285,1
93411,2021-03-27,Minnehaha,South Dakota,46099,29491,29398,93
93412,2021-03-27,Moody,South Dakota,46101,623,623,0
93413,2021-03-27,Oglala Lakota,South Dakota,46102,2082,2082,0
93414,2021-03-27,Pennington,South Dakota,46103,13226,13218,8
93415,2021-03-27,Perkins,South Dakota,46105,351,351,0
93416,2021-03-27,Potter,South Dakota,46107,387,387,0
93417,2021-03-27,Roberts,South Dakota,46109,1305,1298,7
93418,2021-03-27,Sanborn,South Dakota,46111,337,336,1
93419,2021-03-27,Spink,South Dakota,46115,821,820,1
93420,2021-03-27,Stanley,South Dakota,46117,339,339,0
93421,2021-03-27,Sully,South Dakota,46119,136,136,0
93422,2021-03-27,Todd,South Dakota,46121,1220,1220,0
93423,2021-03-27,Tripp,South Dakota,46123,733,732,1
93424,2021-03-27,Turner,South Dakota,46125,1127,1127,0
93425,2021-03-27,Union,South Dakota,46127,2115,2110,5
93426,2021-03-27,Walworth,South Dakota,46129,750,748,2
93427,2021-03-27,Yankton,South Dakota,46135,2904,2900,4
93428,2021-03-27,Ziebach,South Dakota,46137,338,338,0
