,date,county,state,fips,cases,yest,diff
93525,2021-03-27,Anderson,Texas,48001,6084,6094,-10
93526,2021-03-27,Andrews,Texas,48003,1739,1739,0
93527,2021-03-27,Angelina,Texas,48005,8164,8164,0
93528,2021-03-27,Aransas,Texas,48007,1185,1185,0
93529,2021-03-27,Archer,Texas,48009,790,790,0
93530,2021-03-27,Armstrong,Texas,48011,155,155,0
93531,2021-03-27,Atascosa,Texas,48013,5564,5558,6
93532,2021-03-27,Austin,Texas,48015,2001,1989,12
93533,2021-03-27,Bailey,Texas,48017,817,817,0
93534,2021-03-27,Bandera,Texas,48019,1325,1323,2
93535,2021-03-27,Bastrop,Texas,48021,8777,8757,20
93536,2021-03-27,Baylor,Texas,48023,295,295,0
93537,2021-03-27,Bee,Texas,48025,3468,3467,1
93538,2021-03-27,Bell,Texas,48027,21437,21395,42
93539,2021-03-27,Bexar,Texas,48029,203535,203382,153
93540,2021-03-27,Blanco,Texas,48031,701,698,3
93541,2021-03-27,Borden,Texas,48033,31,31,0
93542,2021-03-27,Bosque,Texas,48035,1632,1631,1
93543,2021-03-27,Bowie,Texas,48037,6799,6790,9
93544,2021-03-27,Brazoria,Texas,48039,35288,35190,98
93545,2021-03-27,Brazos,Texas,48041,24945,24945,0
93546,2021-03-27,Brewster,Texas,48043,910,903,7
93547,2021-03-27,Briscoe,Texas,48045,139,139,0
93548,2021-03-27,Brooks,Texas,48047,774,774,0
93549,2021-03-27,Brown,Texas,48049,4217,4217,0
93550,2021-03-27,Burleson,Texas,48051,2300,2297,3
93551,2021-03-27,Burnet,Texas,48053,4457,4450,7
93552,2021-03-27,Caldwell,Texas,48055,5351,5345,6
93553,2021-03-27,Calhoun,Texas,48057,2137,2129,8
93554,2021-03-27,Callahan,Texas,48059,1162,1161,1
93555,2021-03-27,Cameron,Texas,48061,38357,38357,0
93556,2021-03-27,Camp,Texas,48063,1203,1202,1
93557,2021-03-27,Carson,Texas,48065,435,435,0
93558,2021-03-27,Cass,Texas,48067,1844,1835,9
93559,2021-03-27,Castro,Texas,48069,922,922,0
93560,2021-03-27,Chambers,Texas,48071,4595,4595,0
93561,2021-03-27,Cherokee,Texas,48073,4089,4089,0
93562,2021-03-27,Childress,Texas,48075,1344,1345,-1
93563,2021-03-27,Clay,Texas,48077,1017,1018,-1
93564,2021-03-27,Cochran,Texas,48079,263,262,1
93565,2021-03-27,Coke,Texas,48081,439,439,0
93566,2021-03-27,Coleman,Texas,48083,735,735,0
