,date,county,state,fips,cases,deaths
93779,2021-03-27,Beaver,Utah,49001,746,6
93780,2021-03-27,Box Elder,Utah,49003,5036,47
93781,2021-03-27,Cache,Utah,49005,15458,43
93782,2021-03-27,Carbon,Utah,49007,1581,15
93783,2021-03-27,Daggett,Utah,49009,38,0
93784,2021-03-27,Davis,Utah,49011,36065,157
93785,2021-03-27,Duchesne,Utah,49013,1165,9
93786,2021-03-27,Emery,Utah,49015,910,9
93787,2021-03-27,Garfield,Utah,49017,463,10
93788,2021-03-27,Grand,Utah,49019,730,3
93789,2021-03-27,Iron,Utah,49021,5338,31
93790,2021-03-27,Juab,Utah,49023,1250,12
93791,2021-03-27,Kane,Utah,49025,636,5
93792,2021-03-27,Millard,Utah,49027,1404,12
93793,2021-03-27,Morgan,Utah,49029,1169,11
93794,2021-03-27,Piute,Utah,49031,100,2
93795,2021-03-27,Rich,Utah,49033,139,0
93796,2021-03-27,Salt Lake,Utah,49035,143233,819
93797,2021-03-27,San Juan,Utah,49037,1850,37
93798,2021-03-27,Sanpete,Utah,49039,3655,21
93799,2021-03-27,Sevier,Utah,49041,2119,12
93800,2021-03-27,Summit,Utah,49043,5279,11
93801,2021-03-27,Tooele,Utah,49045,6887,39
93802,2021-03-27,Uintah,Utah,49047,2492,19
93804,2021-03-27,Utah,Utah,49049,92702,361
93805,2021-03-27,Wasatch,Utah,49051,4460,21
93806,2021-03-27,Washington,Utah,49053,20470,203
93807,2021-03-27,Wayne,Utah,49055,126,0
93808,2021-03-27,Weber,Utah,49057,27471,183
93803,2021-03-27,Unknown,Utah,,1259,3
