,date,county,state,fips,cases,yest,diff
93960,2021-03-27,Adams,Washington,53001,1985,1982,3
93961,2021-03-27,Asotin,Washington,53003,1332,1328,4
93962,2021-03-27,Benton,Washington,53005,15606,15568,38
93963,2021-03-27,Chelan,Washington,53007,6451,6451,0
93964,2021-03-27,Clallam,Washington,53009,1023,1022,1
93965,2021-03-27,Clark,Washington,53011,20026,19949,77
93966,2021-03-27,Columbia,Washington,53013,117,117,0
93967,2021-03-27,Cowlitz,Washington,53015,4759,4728,31
93968,2021-03-27,Douglas,Washington,53017,3406,3406,0
93969,2021-03-27,Ferry,Washington,53019,222,218,4
93970,2021-03-27,Franklin,Washington,53021,11531,11517,14
93971,2021-03-27,Garfield,Washington,53023,120,120,0
93972,2021-03-27,Grant,Washington,53025,9305,9305,0
93973,2021-03-27,Grays Harbor,Washington,53027,3542,3522,20
93974,2021-03-27,Island,Washington,53029,1471,1466,5
93975,2021-03-27,Jefferson,Washington,53031,349,345,4
93976,2021-03-27,King,Washington,53033,89638,89205,433
93977,2021-03-27,Kitsap,Washington,53035,6283,6248,35
93978,2021-03-27,Kittitas,Washington,53037,2490,2476,14
93979,2021-03-27,Klickitat,Washington,53039,677,677,0
93980,2021-03-27,Lewis,Washington,53041,3913,3890,23
93981,2021-03-27,Lincoln,Washington,53043,351,351,0
93982,2021-03-27,Mason,Washington,53045,2426,2414,12
93983,2021-03-27,Okanogan,Washington,53047,2272,2271,1
93984,2021-03-27,Pacific,Washington,53049,782,780,2
93985,2021-03-27,Pend Oreille,Washington,53051,671,670,1
93986,2021-03-27,Pierce,Washington,53053,41940,41690,250
93987,2021-03-27,San Juan,Washington,53055,127,127,0
93988,2021-03-27,Skagit,Washington,53057,4707,4697,10
93989,2021-03-27,Skamania,Washington,53059,263,263,0
93990,2021-03-27,Snohomish,Washington,53061,32426,32426,0
93991,2021-03-27,Spokane,Washington,53063,38880,38807,73
93992,2021-03-27,Stevens,Washington,53065,1747,1738,9
93993,2021-03-27,Thurston,Washington,53067,7758,7714,44
93994,2021-03-27,Wahkiakum,Washington,53069,101,101,0
93995,2021-03-27,Walla Walla,Washington,53071,4837,4837,0
93996,2021-03-27,Whatcom,Washington,53073,7447,7417,30
93997,2021-03-27,Whitman,Washington,53075,3779,3779,0
93998,2021-03-27,Yakima,Washington,53077,28828,28781,47
