,date,county,state,fips,cases,yest,diff
94149,2021-03-28,Autauga,Alabama,01001,6570,6562,8
94150,2021-03-28,Baldwin,Alabama,01003,20473,20453,20
94151,2021-03-28,Barbour,Alabama,01005,2226,2224,2
94152,2021-03-28,Bibb,Alabama,01007,2536,2535,1
94153,2021-03-28,Blount,Alabama,01009,6424,6420,4
94154,2021-03-28,Bullock,Alabama,01011,1204,1202,2
94155,2021-03-28,Butler,Alabama,01013,2096,2093,3
94156,2021-03-28,Calhoun,Alabama,01015,14199,14197,2
94157,2021-03-28,Chambers,Alabama,01017,3485,3484,1
94158,2021-03-28,Cherokee,Alabama,01019,1804,1804,0
94159,2021-03-28,Chilton,Alabama,01021,4025,4022,3
94160,2021-03-28,Choctaw,Alabama,01023,584,584,0
94161,2021-03-28,Clarke,Alabama,01025,3462,3461,1
94162,2021-03-28,Clay,Alabama,01027,1480,1480,0
94163,2021-03-28,Cleburne,Alabama,01029,1451,1451,0
94164,2021-03-28,Coffee,Alabama,01031,5376,5374,2
94165,2021-03-28,Colbert,Alabama,01033,6159,6155,4
94166,2021-03-28,Conecuh,Alabama,01035,1086,1086,0
94167,2021-03-28,Coosa,Alabama,01037,942,942,0
94168,2021-03-28,Covington,Alabama,01039,4037,4037,0
94169,2021-03-28,Crenshaw,Alabama,01041,1501,1500,1
94170,2021-03-28,Cullman,Alabama,01043,9353,9345,8
94171,2021-03-28,Dale,Alabama,01045,4753,4748,5
94172,2021-03-28,Dallas,Alabama,01047,3513,3513,0
94173,2021-03-28,DeKalb,Alabama,01049,8693,8692,1
94174,2021-03-28,Elmore,Alabama,01051,9937,9921,16
94175,2021-03-28,Escambia,Alabama,01053,3858,3857,1
94176,2021-03-28,Etowah,Alabama,01055,13633,13632,1
94177,2021-03-28,Fayette,Alabama,01057,2060,2060,0
94178,2021-03-28,Franklin,Alabama,01059,4184,4184,0
94179,2021-03-28,Geneva,Alabama,01061,2445,2443,2
94180,2021-03-28,Greene,Alabama,01063,903,903,0
94181,2021-03-28,Hale,Alabama,01065,2159,2158,1
94182,2021-03-28,Henry,Alabama,01067,1865,1865,0
94183,2021-03-28,Houston,Alabama,01069,10311,10301,10
94184,2021-03-28,Jackson,Alabama,01071,6720,6717,3
94185,2021-03-28,Jefferson,Alabama,01073,74521,74465,56
94186,2021-03-28,Lamar,Alabama,01075,1384,1384,0
94187,2021-03-28,Lauderdale,Alabama,01077,9100,9089,11
94188,2021-03-28,Lawrence,Alabama,01079,2918,2917,1
94189,2021-03-28,Lee,Alabama,01081,15389,15381,8
94190,2021-03-28,Limestone,Alabama,01083,9721,9713,8
94191,2021-03-28,Lowndes,Alabama,01085,1359,1358,1
94192,2021-03-28,Macon,Alabama,01087,1534,1534,0
94193,2021-03-28,Madison,Alabama,01089,33463,33431,32
94194,2021-03-28,Marengo,Alabama,01091,2496,2496,0
94195,2021-03-28,Marion,Alabama,01093,3050,3049,1
94196,2021-03-28,Marshall,Alabama,01095,11839,11839,0
94197,2021-03-28,Mobile,Alabama,01097,37449,37439,10
94198,2021-03-28,Monroe,Alabama,01099,1701,1700,1
94199,2021-03-28,Montgomery,Alabama,01101,23661,23630,31
94200,2021-03-28,Morgan,Alabama,01103,14114,14111,3
94201,2021-03-28,Perry,Alabama,01105,1078,1077,1
94202,2021-03-28,Pickens,Alabama,01107,2322,2322,0
94203,2021-03-28,Pike,Alabama,01109,3037,3035,2
94204,2021-03-28,Randolph,Alabama,01111,1746,1744,2
94205,2021-03-28,Russell,Alabama,01113,4218,4214,4
94207,2021-03-28,St. Clair,Alabama,01115,9327,9323,4
94206,2021-03-28,Shelby,Alabama,01117,22976,22958,18
94208,2021-03-28,Sumter,Alabama,01119,1022,1022,0
94209,2021-03-28,Talladega,Alabama,01121,7964,7957,7
94210,2021-03-28,Tallapoosa,Alabama,01123,3842,3842,0
94211,2021-03-28,Tuscaloosa,Alabama,01125,25011,25000,11
94212,2021-03-28,Walker,Alabama,01127,7043,7040,3
94213,2021-03-28,Washington,Alabama,01129,1638,1637,1
94214,2021-03-28,Wilcox,Alabama,01131,1247,1246,1
94215,2021-03-28,Winston,Alabama,01133,2714,2714,0
