,date,county,state,fips,cases,yest,diff
94244,2021-03-28,Apache,Arizona,04001,10801,10793,8
94245,2021-03-28,Cochise,Arizona,04003,11581,11562,19
94246,2021-03-28,Coconino,Arizona,04005,17035,17007,28
94247,2021-03-28,Gila,Arizona,04007,6537,6524,13
94248,2021-03-28,Graham,Arizona,04009,5361,5363,-2
94249,2021-03-28,Greenlee,Arizona,04011,564,564,0
94250,2021-03-28,La Paz,Arizona,04012,2442,2442,0
94251,2021-03-28,Maricopa,Arizona,04013,523424,523088,336
94252,2021-03-28,Mohave,Arizona,04015,22063,22055,8
94253,2021-03-28,Navajo,Arizona,04017,15643,15643,0
94254,2021-03-28,Pima,Arizona,04019,112342,112265,77
94255,2021-03-28,Pinal,Arizona,04021,49263,49247,16
94256,2021-03-28,Santa Cruz,Arizona,04023,7793,7788,5
94257,2021-03-28,Yavapai,Arizona,04025,18301,18280,21
94258,2021-03-28,Yuma,Arizona,04027,36738,36713,25
