,date,county,state,fips,cases,deaths
94259,2021-03-28,Arkansas,Arkansas,05001,2072,36
94260,2021-03-28,Ashley,Arkansas,05003,1897,33
94261,2021-03-28,Baxter,Arkansas,05005,3060,99
94262,2021-03-28,Benton,Arkansas,05007,28078,404
94263,2021-03-28,Boone,Arkansas,05009,3735,79
94264,2021-03-28,Bradley,Arkansas,05011,1355,32
94265,2021-03-28,Calhoun,Arkansas,05013,409,3
94266,2021-03-28,Carroll,Arkansas,05015,2747,44
94267,2021-03-28,Chicot,Arkansas,05017,1609,38
94268,2021-03-28,Clark,Arkansas,05019,2078,40
94269,2021-03-28,Clay,Arkansas,05021,1722,50
94270,2021-03-28,Cleburne,Arkansas,05023,1940,71
94271,2021-03-28,Cleveland,Arkansas,05025,937,25
94272,2021-03-28,Columbia,Arkansas,05027,2314,55
94273,2021-03-28,Conway,Arkansas,05029,2186,32
94274,2021-03-28,Craighead,Arkansas,05031,13061,174
94275,2021-03-28,Crawford,Arkansas,05033,6969,115
94276,2021-03-28,Crittenden,Arkansas,05035,5855,95
94277,2021-03-28,Cross,Arkansas,05037,1916,49
94278,2021-03-28,Dallas,Arkansas,05039,756,15
94279,2021-03-28,Desha,Arkansas,05041,1355,24
94280,2021-03-28,Drew,Arkansas,05043,1981,39
94281,2021-03-28,Faulkner,Arkansas,05045,12157,157
94282,2021-03-28,Franklin,Arkansas,05047,1668,39
94283,2021-03-28,Fulton,Arkansas,05049,1098,47
94284,2021-03-28,Garland,Arkansas,05051,10021,254
94285,2021-03-28,Grant,Arkansas,05053,1632,32
94286,2021-03-28,Greene,Arkansas,05055,5999,74
94287,2021-03-28,Hempstead,Arkansas,05057,1976,18
94288,2021-03-28,Hot Spring,Arkansas,05059,4988,69
94289,2021-03-28,Howard,Arkansas,05061,1637,24
94290,2021-03-28,Independence,Arkansas,05063,3709,120
94291,2021-03-28,Izard,Arkansas,05065,1654,41
94292,2021-03-28,Jackson,Arkansas,05067,3203,38
94293,2021-03-28,Jefferson,Arkansas,05069,8728,162
94294,2021-03-28,Johnson,Arkansas,05071,2875,36
94295,2021-03-28,Lafayette,Arkansas,05073,541,9
94296,2021-03-28,Lawrence,Arkansas,05075,2065,42
94297,2021-03-28,Lee,Arkansas,05077,1655,34
94298,2021-03-28,Lincoln,Arkansas,05079,3176,48
94299,2021-03-28,Little River,Arkansas,05081,1217,40
94300,2021-03-28,Logan,Arkansas,05083,2206,21
94301,2021-03-28,Lonoke,Arkansas,05085,7038,114
94302,2021-03-28,Madison,Arkansas,05087,1435,22
94303,2021-03-28,Marion,Arkansas,05089,1027,30
94304,2021-03-28,Miller,Arkansas,05091,4199,36
94305,2021-03-28,Mississippi,Arkansas,05093,5740,106
94306,2021-03-28,Monroe,Arkansas,05095,859,16
94307,2021-03-28,Montgomery,Arkansas,05097,750,32
94308,2021-03-28,Nevada,Arkansas,05099,816,24
94309,2021-03-28,Newton,Arkansas,05101,705,26
94310,2021-03-28,Ouachita,Arkansas,05103,2286,60
94311,2021-03-28,Perry,Arkansas,05105,821,10
94312,2021-03-28,Phillips,Arkansas,05107,1735,37
94313,2021-03-28,Pike,Arkansas,05109,997,22
94314,2021-03-28,Poinsett,Arkansas,05111,3113,76
94315,2021-03-28,Polk,Arkansas,05113,1958,69
94316,2021-03-28,Pope,Arkansas,05115,7841,105
94317,2021-03-28,Prairie,Arkansas,05117,887,20
94318,2021-03-28,Pulaski,Arkansas,05119,38252,618
94319,2021-03-28,Randolph,Arkansas,05121,2053,47
94326,2021-03-28,St. Francis,Arkansas,05123,3501,41
94320,2021-03-28,Saline,Arkansas,05125,11703,162
94321,2021-03-28,Scott,Arkansas,05127,927,14
94322,2021-03-28,Searcy,Arkansas,05129,668,16
94323,2021-03-28,Sebastian,Arkansas,05131,15009,272
94324,2021-03-28,Sevier,Arkansas,05133,2775,24
94325,2021-03-28,Sharp,Arkansas,05135,1548,45
94327,2021-03-28,Stone,Arkansas,05137,982,29
94328,2021-03-28,Union,Arkansas,05139,3913,109
94330,2021-03-28,Van Buren,Arkansas,05141,1240,21
94331,2021-03-28,Washington,Arkansas,05143,30138,343
94332,2021-03-28,White,Arkansas,05145,7784,116
94333,2021-03-28,Woodruff,Arkansas,05147,632,12
94334,2021-03-28,Yell,Arkansas,05149,3406,64
94329,2021-03-28,Unknown,Arkansas,,2954,0
