,date,county,state,fips,cases,yest,diff
94539,2021-03-28,Appling,Georgia,13001,2258,2255,3
94540,2021-03-28,Atkinson,Georgia,13003,997,995,2
94541,2021-03-28,Bacon,Georgia,13005,1609,1608,1
94542,2021-03-28,Baker,Georgia,13007,224,224,0
94543,2021-03-28,Baldwin,Georgia,13009,4407,4401,6
94544,2021-03-28,Banks,Georgia,13011,1771,1769,2
94545,2021-03-28,Barrow,Georgia,13013,9443,9432,11
94546,2021-03-28,Bartow,Georgia,13015,13972,13961,11
94547,2021-03-28,Ben Hill,Georgia,13017,2073,2073,0
94548,2021-03-28,Berrien,Georgia,13019,1786,1784,2
94549,2021-03-28,Bibb,Georgia,13021,15360,15356,4
94550,2021-03-28,Bleckley,Georgia,13023,1447,1447,0
94551,2021-03-28,Brantley,Georgia,13025,1568,1568,0
94552,2021-03-28,Brooks,Georgia,13027,1364,1363,1
94553,2021-03-28,Bryan,Georgia,13029,3444,3444,0
94554,2021-03-28,Bulloch,Georgia,13031,6624,6619,5
94555,2021-03-28,Burke,Georgia,13033,2471,2471,0
94556,2021-03-28,Butts,Georgia,13035,2858,2854,4
94557,2021-03-28,Calhoun,Georgia,13037,572,572,0
94558,2021-03-28,Camden,Georgia,13039,3831,3830,1
94559,2021-03-28,Candler,Georgia,13043,932,932,0
94560,2021-03-28,Carroll,Georgia,13045,10917,10911,6
94561,2021-03-28,Catoosa,Georgia,13047,5945,5933,12
94562,2021-03-28,Charlton,Georgia,13049,1342,1342,0
94563,2021-03-28,Chatham,Georgia,13051,22089,22080,9
94564,2021-03-28,Chattahoochee,Georgia,13053,3435,3435,0
94565,2021-03-28,Chattooga,Georgia,13055,2704,2699,5
94566,2021-03-28,Cherokee,Georgia,13057,29531,29492,39
94567,2021-03-28,Clarke,Georgia,13059,14588,14581,7
94568,2021-03-28,Clay,Georgia,13061,232,232,0
94569,2021-03-28,Clayton,Georgia,13063,24678,24647,31
94570,2021-03-28,Clinch,Georgia,13065,934,934,0
94571,2021-03-28,Cobb,Georgia,13067,73909,73823,86
94572,2021-03-28,Coffee,Georgia,13069,5261,5259,2
94573,2021-03-28,Colquitt,Georgia,13071,4625,4624,1
94574,2021-03-28,Columbia,Georgia,13073,16203,16196,7
94575,2021-03-28,Cook,Georgia,13075,1776,1775,1
94576,2021-03-28,Coweta,Georgia,13077,13536,13536,0
94577,2021-03-28,Crawford,Georgia,13079,647,646,1
94578,2021-03-28,Crisp,Georgia,13081,2019,2019,0
94579,2021-03-28,Dade,Georgia,13083,1373,1371,2
94580,2021-03-28,Dawson,Georgia,13085,2940,2938,2
94582,2021-03-28,Decatur,Georgia,13087,2846,2843,3
94581,2021-03-28,DeKalb,Georgia,13089,61277,61213,64
94583,2021-03-28,Dodge,Georgia,13091,2096,2096,0
94584,2021-03-28,Dooly,Georgia,13093,1056,1056,0
94585,2021-03-28,Dougherty,Georgia,13095,7257,7253,4
94586,2021-03-28,Douglas,Georgia,13097,14220,14199,21
94587,2021-03-28,Early,Georgia,13099,1155,1155,0
94588,2021-03-28,Echols,Georgia,13101,466,466,0
94589,2021-03-28,Effingham,Georgia,13103,4399,4393,6
94590,2021-03-28,Elbert,Georgia,13105,2267,2267,0
94591,2021-03-28,Emanuel,Georgia,13107,2514,2514,0
94592,2021-03-28,Evans,Georgia,13109,939,937,2
94593,2021-03-28,Fannin,Georgia,13111,2272,2270,2
94594,2021-03-28,Fayette,Georgia,13113,8517,8512,5
94595,2021-03-28,Floyd,Georgia,13115,11653,11647,6
94596,2021-03-28,Forsyth,Georgia,13117,21413,21390,23
94597,2021-03-28,Franklin,Georgia,13119,2612,2611,1
94598,2021-03-28,Fulton,Georgia,13121,91509,91392,117
94599,2021-03-28,Gilmer,Georgia,13123,2863,2862,1
94600,2021-03-28,Glascock,Georgia,13125,263,263,0
94601,2021-03-28,Glynn,Georgia,13127,7806,7799,7
94602,2021-03-28,Gordon,Georgia,13129,7948,7941,7
94603,2021-03-28,Grady,Georgia,13131,2065,2065,0
94604,2021-03-28,Greene,Georgia,13133,1777,1776,1
94605,2021-03-28,Gwinnett,Georgia,13135,96553,96446,107
