,date,county,state,fips,cases,deaths
94705,2021-03-28,Ada,Idaho,16001,48870,448
94706,2021-03-28,Adams,Idaho,16003,336,4
94707,2021-03-28,Bannock,Idaho,16005,8338,98
94708,2021-03-28,Bear Lake,Idaho,16007,369,2
94709,2021-03-28,Benewah,Idaho,16009,645,9
94710,2021-03-28,Bingham,Idaho,16011,4639,69
94711,2021-03-28,Blaine,Idaho,16013,2245,17
94712,2021-03-28,Boise,Idaho,16015,320,2
94713,2021-03-28,Bonner,Idaho,16017,3084,38
94714,2021-03-28,Bonneville,Idaho,16019,13921,157
94715,2021-03-28,Boundary,Idaho,16021,842,10
94716,2021-03-28,Butte,Idaho,16023,202,1
94717,2021-03-28,Camas,Idaho,16025,71,0
94718,2021-03-28,Canyon,Idaho,16027,25467,287
94719,2021-03-28,Caribou,Idaho,16029,648,12
94720,2021-03-28,Cassia,Idaho,16031,2894,25
94721,2021-03-28,Clark,Idaho,16033,56,0
94722,2021-03-28,Clearwater,Idaho,16035,1027,12
94723,2021-03-28,Custer,Idaho,16037,242,3
94724,2021-03-28,Elmore,Idaho,16039,1741,13
94725,2021-03-28,Franklin,Idaho,16041,1134,16
94726,2021-03-28,Fremont,Idaho,16043,1077,14
94727,2021-03-28,Gem,Idaho,16045,1728,34
94728,2021-03-28,Gooding,Idaho,16047,1279,23
94729,2021-03-28,Idaho,Idaho,16049,1193,17
94730,2021-03-28,Jefferson,Idaho,16051,2775,22
94731,2021-03-28,Jerome,Idaho,16053,2533,23
94732,2021-03-28,Kootenai,Idaho,16055,17144,193
94733,2021-03-28,Latah,Idaho,16057,2901,8
94734,2021-03-28,Lemhi,Idaho,16059,516,9
94735,2021-03-28,Lewis,Idaho,16061,384,9
94736,2021-03-28,Lincoln,Idaho,16063,493,11
94737,2021-03-28,Madison,Idaho,16065,6806,23
94738,2021-03-28,Minidoka,Idaho,16067,2310,32
94739,2021-03-28,Nez Perce,Idaho,16069,3475,53
94740,2021-03-28,Oneida,Idaho,16071,345,4
94741,2021-03-28,Owyhee,Idaho,16073,1036,26
94742,2021-03-28,Payette,Idaho,16075,2443,32
94743,2021-03-28,Power,Idaho,16077,655,9
94744,2021-03-28,Shoshone,Idaho,16079,1044,33
94745,2021-03-28,Teton,Idaho,16081,1148,4
94746,2021-03-28,Twin Falls,Idaho,16083,9116,127
94747,2021-03-28,Valley,Idaho,16085,823,7
94748,2021-03-28,Washington,Idaho,16087,1196,21
