,date,county,state,fips,cases,deaths
94852,2021-03-28,Adams,Indiana,18001,3384,52
94853,2021-03-28,Allen,Indiana,18003,37634,683
94854,2021-03-28,Bartholomew,Indiana,18005,7707,156
94855,2021-03-28,Benton,Indiana,18007,930,13
94856,2021-03-28,Blackford,Indiana,18009,1307,29
94857,2021-03-28,Boone,Indiana,18011,6370,102
94858,2021-03-28,Brown,Indiana,18013,967,40
94859,2021-03-28,Carroll,Indiana,18015,1803,22
94860,2021-03-28,Cass,Indiana,18017,5604,103
94861,2021-03-28,Clark,Indiana,18019,12420,194
94862,2021-03-28,Clay,Indiana,18021,2467,44
94863,2021-03-28,Clinton,Indiana,18023,4055,58
94864,2021-03-28,Crawford,Indiana,18025,959,14
94865,2021-03-28,Daviess,Indiana,18027,2876,100
94867,2021-03-28,Dearborn,Indiana,18029,5593,76
94868,2021-03-28,Decatur,Indiana,18031,2812,96
94866,2021-03-28,DeKalb,Indiana,18033,3974,84
94869,2021-03-28,Delaware,Indiana,18035,10103,188
94870,2021-03-28,Dubois,Indiana,18037,6022,116
94871,2021-03-28,Elkhart,Indiana,18039,26296,442
94872,2021-03-28,Fayette,Indiana,18041,2884,61
94873,2021-03-28,Floyd,Indiana,18043,7414,179
94874,2021-03-28,Fountain,Indiana,18045,2056,45
94875,2021-03-28,Franklin,Indiana,18047,1648,36
94876,2021-03-28,Fulton,Indiana,18049,1856,39
94877,2021-03-28,Gibson,Indiana,18051,4197,90
94878,2021-03-28,Grant,Indiana,18053,7040,172
94879,2021-03-28,Greene,Indiana,18055,2677,89
94880,2021-03-28,Hamilton,Indiana,18057,33346,421
94881,2021-03-28,Hancock,Indiana,18059,7684,139
94882,2021-03-28,Harrison,Indiana,18061,4205,71
94883,2021-03-28,Hendricks,Indiana,18063,16354,326
94884,2021-03-28,Henry,Indiana,18065,5516,101
94885,2021-03-28,Howard,Indiana,18067,9397,213
94886,2021-03-28,Huntington,Indiana,18069,3672,81
94887,2021-03-28,Jackson,Indiana,18071,4782,68
94888,2021-03-28,Jasper,Indiana,18073,3299,48
94889,2021-03-28,Jay,Indiana,18075,1838,30
94890,2021-03-28,Jefferson,Indiana,18077,3007,78
94891,2021-03-28,Jennings,Indiana,18079,2223,48
94892,2021-03-28,Johnson,Indiana,18081,17050,385
94893,2021-03-28,Knox,Indiana,18083,3603,88
94894,2021-03-28,Kosciusko,Indiana,18085,8820,116
94895,2021-03-28,LaGrange,Indiana,18087,2469,72
94897,2021-03-28,Lake,Indiana,18089,49891,956
94896,2021-03-28,LaPorte,Indiana,18091,10200,205
94898,2021-03-28,Lawrence,Indiana,18093,4256,119
94899,2021-03-28,Madison,Indiana,18095,12051,353
94900,2021-03-28,Marion,Indiana,18097,93491,1757
94901,2021-03-28,Marshall,Indiana,18099,5596,108
94902,2021-03-28,Martin,Indiana,18101,817,15
94903,2021-03-28,Miami,Indiana,18103,3675,66
94904,2021-03-28,Monroe,Indiana,18105,10851,168
94905,2021-03-28,Montgomery,Indiana,18107,4070,86
94906,2021-03-28,Morgan,Indiana,18109,6274,140
94907,2021-03-28,Newton,Indiana,18111,1002,35
94908,2021-03-28,Noble,Indiana,18113,5238,83
94909,2021-03-28,Ohio,Indiana,18115,546,11
94910,2021-03-28,Orange,Indiana,18117,1740,55
94911,2021-03-28,Owen,Indiana,18119,1883,58
94912,2021-03-28,Parke,Indiana,18121,1436,16
94913,2021-03-28,Perry,Indiana,18123,1783,37
94914,2021-03-28,Pike,Indiana,18125,1290,34
94915,2021-03-28,Porter,Indiana,18127,16560,303
94916,2021-03-28,Posey,Indiana,18129,2656,33
94917,2021-03-28,Pulaski,Indiana,18131,1104,45
94918,2021-03-28,Putnam,Indiana,18133,3475,60
94919,2021-03-28,Randolph,Indiana,18135,2346,80
94920,2021-03-28,Ripley,Indiana,18137,3306,66
94921,2021-03-28,Rush,Indiana,18139,1737,24
94925,2021-03-28,St. Joseph,Indiana,18141,31991,543
94922,2021-03-28,Scott,Indiana,18143,2563,54
94923,2021-03-28,Shelby,Indiana,18145,5661,105
94924,2021-03-28,Spencer,Indiana,18147,2255,31
94926,2021-03-28,Starke,Indiana,18149,1944,54
94927,2021-03-28,Steuben,Indiana,18151,3497,59
94928,2021-03-28,Sullivan,Indiana,18153,2062,41
94929,2021-03-28,Switzerland,Indiana,18155,765,8
94930,2021-03-28,Tippecanoe,Indiana,18157,20792,213
94931,2021-03-28,Tipton,Indiana,18159,1575,44
94932,2021-03-28,Union,Indiana,18161,717,11
94933,2021-03-28,Vanderburgh,Indiana,18163,21709,394
94934,2021-03-28,Vermillion,Indiana,18165,1640,43
94935,2021-03-28,Vigo,Indiana,18167,11973,246
94936,2021-03-28,Wabash,Indiana,18169,3410,77
94937,2021-03-28,Warren,Indiana,18171,777,16
94938,2021-03-28,Warrick,Indiana,18173,7579,158
94939,2021-03-28,Washington,Indiana,18175,2209,29
94940,2021-03-28,Wayne,Indiana,18177,7157,200
94941,2021-03-28,Wells,Indiana,18179,2783,81
94942,2021-03-28,White,Indiana,18181,3025,55
94943,2021-03-28,Whitley,Indiana,18183,3626,40
