,date,county,state,fips,cases,yest,diff
94944,2021-03-28,Adair,Iowa,19001,836,836,0
94945,2021-03-28,Adams,Iowa,19003,319,319,0
94946,2021-03-28,Allamakee,Iowa,19005,1483,1483,0
94947,2021-03-28,Appanoose,Iowa,19007,1251,1250,1
94948,2021-03-28,Audubon,Iowa,19009,481,483,-2
94949,2021-03-28,Benton,Iowa,19011,2469,2469,0
94950,2021-03-28,Black Hawk,Iowa,19013,15245,15240,5
94951,2021-03-28,Boone,Iowa,19015,2508,2506,2
94952,2021-03-28,Bremer,Iowa,19017,2755,2753,2
94953,2021-03-28,Buchanan,Iowa,19019,1835,1834,1
94954,2021-03-28,Buena Vista,Iowa,19021,4180,4180,0
94955,2021-03-28,Butler,Iowa,19023,1609,1609,0
94956,2021-03-28,Calhoun,Iowa,19025,1321,1321,0
94957,2021-03-28,Carroll,Iowa,19027,2733,2730,3
94958,2021-03-28,Cass,Iowa,19029,1326,1326,0
94959,2021-03-28,Cedar,Iowa,19031,1780,1778,2
94960,2021-03-28,Cerro Gordo,Iowa,19033,5094,5094,0
94961,2021-03-28,Cherokee,Iowa,19035,1538,1537,1
94962,2021-03-28,Chickasaw,Iowa,19037,1209,1209,0
94963,2021-03-28,Clarke,Iowa,19039,971,971,0
94964,2021-03-28,Clay,Iowa,19041,1995,1994,1
94965,2021-03-28,Clayton,Iowa,19043,1623,1623,0
94966,2021-03-28,Clinton,Iowa,19045,5173,5171,2
94967,2021-03-28,Crawford,Iowa,19047,2589,2590,-1
94968,2021-03-28,Dallas,Iowa,19049,10628,10618,10
94969,2021-03-28,Davis,Iowa,19051,784,784,0
94970,2021-03-28,Decatur,Iowa,19053,580,580,0
94971,2021-03-28,Delaware,Iowa,19055,1932,1931,1
94972,2021-03-28,Des Moines,Iowa,19057,4346,4346,0
94973,2021-03-28,Dickinson,Iowa,19059,2243,2243,0
94974,2021-03-28,Dubuque,Iowa,19061,12677,12670,7
94975,2021-03-28,Emmet,Iowa,19063,1221,1219,2
94976,2021-03-28,Fayette,Iowa,19065,1817,1816,1
94977,2021-03-28,Floyd,Iowa,19067,1518,1517,1
94978,2021-03-28,Franklin,Iowa,19069,1111,1111,0
94979,2021-03-28,Fremont,Iowa,19071,582,582,0
94980,2021-03-28,Greene,Iowa,19073,753,753,0
94981,2021-03-28,Grundy,Iowa,19075,1336,1336,0
94982,2021-03-28,Guthrie,Iowa,19077,1139,1138,1
94983,2021-03-28,Hamilton,Iowa,19079,1757,1757,0
94984,2021-03-28,Hancock,Iowa,19081,1406,1405,1
94985,2021-03-28,Hardin,Iowa,19083,1753,1751,2
94986,2021-03-28,Harrison,Iowa,19085,1708,1708,0
94987,2021-03-28,Henry,Iowa,19087,2832,2832,0
94988,2021-03-28,Howard,Iowa,19089,1020,1021,-1
94989,2021-03-28,Humboldt,Iowa,19091,1171,1171,0
94990,2021-03-28,Ida,Iowa,19093,872,872,0
94991,2021-03-28,Iowa,Iowa,19095,1435,1435,0
94992,2021-03-28,Jackson,Iowa,19097,2140,2140,0
94993,2021-03-28,Jasper,Iowa,19099,4019,4013,6
94994,2021-03-28,Jefferson,Iowa,19101,1299,1299,0
94995,2021-03-28,Johnson,Iowa,19103,13484,13473,11
94996,2021-03-28,Jones,Iowa,19105,2892,2890,2
94997,2021-03-28,Keokuk,Iowa,19107,934,934,0
94998,2021-03-28,Kossuth,Iowa,19109,2066,2064,2
94999,2021-03-28,Lee,Iowa,19111,3632,3632,0
95000,2021-03-28,Linn,Iowa,19113,19829,19826,3
95001,2021-03-28,Louisa,Iowa,19115,1245,1244,1
95002,2021-03-28,Lucas,Iowa,19117,746,745,1
95003,2021-03-28,Lyon,Iowa,19119,1498,1498,0
95004,2021-03-28,Madison,Iowa,19121,1500,1500,0
95005,2021-03-28,Mahaska,Iowa,19123,2194,2194,0
95006,2021-03-28,Marion,Iowa,19125,3499,3498,1
95007,2021-03-28,Marshall,Iowa,19127,4727,4724,3
95008,2021-03-28,Mills,Iowa,19129,1546,1546,0
95009,2021-03-28,Mitchell,Iowa,19131,1243,1242,1
95010,2021-03-28,Monona,Iowa,19133,790,789,1
95011,2021-03-28,Monroe,Iowa,19135,913,913,0
95012,2021-03-28,Montgomery,Iowa,19137,979,979,0
95013,2021-03-28,Muscatine,Iowa,19139,4427,4422,5
95014,2021-03-28,O'Brien,Iowa,19141,1918,1917,1
95015,2021-03-28,Osceola,Iowa,19143,712,710,2
95016,2021-03-28,Page,Iowa,19145,1848,1848,0
95017,2021-03-28,Palo Alto,Iowa,19147,1059,1059,0
95018,2021-03-28,Plymouth,Iowa,19149,3824,3824,0
95019,2021-03-28,Pocahontas,Iowa,19151,827,827,0
95020,2021-03-28,Polk,Iowa,19153,54250,54226,24
95021,2021-03-28,Pottawattamie,Iowa,19155,10252,10246,6
95022,2021-03-28,Poweshiek,Iowa,19157,1508,1507,1
95023,2021-03-28,Ringgold,Iowa,19159,527,527,0
95024,2021-03-28,Sac,Iowa,19161,1230,1231,-1
95025,2021-03-28,Scott,Iowa,19163,17910,17895,15
95026,2021-03-28,Shelby,Iowa,19165,1233,1234,-1
95027,2021-03-28,Sioux,Iowa,19167,4943,4941,2
95028,2021-03-28,Story,Iowa,19169,9986,9981,5
95029,2021-03-28,Tama,Iowa,19171,2051,2051,0
95030,2021-03-28,Taylor,Iowa,19173,643,643,0
95031,2021-03-28,Union,Iowa,19175,1219,1219,0
95033,2021-03-28,Van Buren,Iowa,19177,543,543,0
95034,2021-03-28,Wapello,Iowa,19179,4207,4204,3
95035,2021-03-28,Warren,Iowa,19181,5361,5358,3
95036,2021-03-28,Washington,Iowa,19183,2439,2437,2
95037,2021-03-28,Wayne,Iowa,19185,514,514,0
95038,2021-03-28,Webster,Iowa,19187,5034,5033,1
95039,2021-03-28,Winnebago,Iowa,19189,1339,1338,1
95040,2021-03-28,Winneshiek,Iowa,19191,1890,1890,0
95041,2021-03-28,Woodbury,Iowa,19193,14446,14431,15
95042,2021-03-28,Worth,Iowa,19195,678,678,0
95043,2021-03-28,Wright,Iowa,19197,1765,1764,1
95032,2021-03-28,Unknown,Iowa,,1012,1011,1
