,date,county,state,fips,cases,yest,diff
95044,2021-03-28,Allen,Kansas,20001,1206,1206,0
95045,2021-03-28,Anderson,Kansas,20003,829,829,0
95046,2021-03-28,Atchison,Kansas,20005,1552,1552,0
95047,2021-03-28,Barber,Kansas,20007,368,368,0
95048,2021-03-28,Barton,Kansas,20009,2595,2595,0
95049,2021-03-28,Bourbon,Kansas,20011,1312,1312,0
95050,2021-03-28,Brown,Kansas,20013,1228,1228,0
95051,2021-03-28,Butler,Kansas,20015,7355,7355,0
95052,2021-03-28,Chase,Kansas,20017,286,286,0
95053,2021-03-28,Chautauqua,Kansas,20019,265,265,0
95054,2021-03-28,Cherokee,Kansas,20021,2405,2405,0
95055,2021-03-28,Cheyenne,Kansas,20023,357,357,0
95056,2021-03-28,Clark,Kansas,20025,247,247,0
95057,2021-03-28,Clay,Kansas,20027,826,826,0
95058,2021-03-28,Cloud,Kansas,20029,973,973,0
95059,2021-03-28,Coffey,Kansas,20031,721,721,0
95060,2021-03-28,Comanche,Kansas,20033,170,170,0
95061,2021-03-28,Cowley,Kansas,20035,3894,3894,0
95062,2021-03-28,Crawford,Kansas,20037,4622,4622,0
95063,2021-03-28,Decatur,Kansas,20039,264,264,0
95064,2021-03-28,Dickinson,Kansas,20041,1706,1706,0
95065,2021-03-28,Doniphan,Kansas,20043,959,959,0
95066,2021-03-28,Douglas,Kansas,20045,8870,8870,0
95067,2021-03-28,Edwards,Kansas,20047,262,262,0
95068,2021-03-28,Elk,Kansas,20049,178,178,0
95069,2021-03-28,Ellis,Kansas,20051,3717,3717,0
95070,2021-03-28,Ellsworth,Kansas,20053,1214,1214,0
95071,2021-03-28,Finney,Kansas,20055,6009,6009,0
95072,2021-03-28,Ford,Kansas,20057,5676,5676,0
95073,2021-03-28,Franklin,Kansas,20059,2489,2489,0
95074,2021-03-28,Geary,Kansas,20061,3154,3154,0
95075,2021-03-28,Gove,Kansas,20063,385,385,0
95076,2021-03-28,Graham,Kansas,20065,250,250,0
95077,2021-03-28,Grant,Kansas,20067,970,970,0
95078,2021-03-28,Gray,Kansas,20069,606,606,0
95079,2021-03-28,Greeley,Kansas,20071,104,104,0
95080,2021-03-28,Greenwood,Kansas,20073,589,589,0
