,date,county,state,fips,cases,yest,diff
95270,2021-03-28,Acadia,Louisiana,22001,6260,6260,0
95271,2021-03-28,Allen,Louisiana,22003,3081,3081,0
95272,2021-03-28,Ascension,Louisiana,22005,11480,11480,0
95273,2021-03-28,Assumption,Louisiana,22007,2132,2132,0
95274,2021-03-28,Avoyelles,Louisiana,22009,3988,3988,0
95275,2021-03-28,Beauregard,Louisiana,22011,2985,2985,0
95276,2021-03-28,Bienville,Louisiana,22013,1631,1631,0
95277,2021-03-28,Bossier,Louisiana,22015,13241,13241,0
95278,2021-03-28,Caddo,Louisiana,22017,25058,25058,0
95279,2021-03-28,Calcasieu,Louisiana,22019,21011,21011,0
95280,2021-03-28,Caldwell,Louisiana,22021,1092,1092,0
95281,2021-03-28,Cameron,Louisiana,22023,563,563,0
95282,2021-03-28,Catahoula,Louisiana,22025,1068,1068,0
95283,2021-03-28,Claiborne,Louisiana,22027,1405,1405,0
95284,2021-03-28,Concordia,Louisiana,22029,1819,1819,0
95285,2021-03-28,De Soto,Louisiana,22031,2704,2704,0
95286,2021-03-28,East Baton Rouge,Louisiana,22033,37159,37159,0
95287,2021-03-28,East Carroll,Louisiana,22035,1120,1120,0
95288,2021-03-28,East Feliciana,Louisiana,22037,3071,3071,0
95289,2021-03-28,Evangeline,Louisiana,22039,3439,3439,0
95290,2021-03-28,Franklin,Louisiana,22041,2460,2460,0
95291,2021-03-28,Grant,Louisiana,22043,2059,2059,0
95292,2021-03-28,Iberia,Louisiana,22045,6630,6630,0
95293,2021-03-28,Iberville,Louisiana,22047,3675,3675,0
95294,2021-03-28,Jackson,Louisiana,22049,1828,1828,0
95295,2021-03-28,Jefferson,Louisiana,22051,44932,44932,0
95296,2021-03-28,Jefferson Davis,Louisiana,22053,3021,3021,0
95298,2021-03-28,Lafayette,Louisiana,22055,22187,22187,0
95299,2021-03-28,Lafourche,Louisiana,22057,9345,9345,0
95297,2021-03-28,LaSalle,Louisiana,22059,1453,1453,0
95300,2021-03-28,Lincoln,Louisiana,22061,4307,4307,0
95301,2021-03-28,Livingston,Louisiana,22063,12786,12786,0
95302,2021-03-28,Madison,Louisiana,22065,1560,1560,0
95303,2021-03-28,Morehouse,Louisiana,22067,2740,2740,0
95304,2021-03-28,Natchitoches,Louisiana,22069,3939,3939,0
95305,2021-03-28,Orleans,Louisiana,22071,29147,29147,0
95306,2021-03-28,Ouachita,Louisiana,22073,17860,17860,0
95307,2021-03-28,Plaquemines,Louisiana,22075,2432,2432,0
95308,2021-03-28,Pointe Coupee,Louisiana,22077,2448,2448,0
95309,2021-03-28,Rapides,Louisiana,22079,11560,11560,0
95310,2021-03-28,Red River,Louisiana,22081,862,862,0
95311,2021-03-28,Richland,Louisiana,22083,2383,2383,0
95312,2021-03-28,Sabine,Louisiana,22085,2841,2841,0
95313,2021-03-28,St. Bernard,Louisiana,22087,3916,3916,0
95314,2021-03-28,St. Charles,Louisiana,22089,5270,5270,0
95315,2021-03-28,St. Helena,Louisiana,22091,889,889,0
95316,2021-03-28,St. James,Louisiana,22093,1888,1888,0
95317,2021-03-28,St. John the Baptist,Louisiana,22095,3603,3603,0
95318,2021-03-28,St. Landry,Louisiana,22097,8514,8514,0
95319,2021-03-28,St. Martin,Louisiana,22099,4981,4981,0
95320,2021-03-28,St. Mary,Louisiana,22101,4450,4450,0
95321,2021-03-28,St. Tammany,Louisiana,22103,24939,24939,0
95322,2021-03-28,Tangipahoa,Louisiana,22105,12258,12258,0
95323,2021-03-28,Tensas,Louisiana,22107,358,358,0
95324,2021-03-28,Terrebonne,Louisiana,22109,9833,9833,0
95325,2021-03-28,Union,Louisiana,22111,2332,2332,0
95327,2021-03-28,Vermilion,Louisiana,22113,5073,5073,0
95328,2021-03-28,Vernon,Louisiana,22115,2951,2951,0
95329,2021-03-28,Washington,Louisiana,22117,4257,4257,0
95330,2021-03-28,Webster,Louisiana,22119,3975,3975,0
95331,2021-03-28,West Baton Rouge,Louisiana,22121,2617,2617,0
95332,2021-03-28,West Carroll,Louisiana,22123,1168,1168,0
95333,2021-03-28,West Feliciana,Louisiana,22125,1129,1129,0
95334,2021-03-28,Winn,Louisiana,22127,1490,1490,0
95326,2021-03-28,Unknown,Louisiana,,416,416,0
