,date,county,state,fips,cases,yest,diff
95352,2021-03-28,Allegany,Maryland,24001,6500,6487,13
95353,2021-03-28,Anne Arundel,Maryland,24003,38586,38460,126
95354,2021-03-28,Baltimore,Maryland,24005,55279,55034,245
95356,2021-03-28,Calvert,Maryland,24009,3892,3884,8
95357,2021-03-28,Caroline,Maryland,24011,2110,2104,6
95358,2021-03-28,Carroll,Maryland,24013,8181,8137,44
95359,2021-03-28,Cecil,Maryland,24015,5313,5302,11
95360,2021-03-28,Charles,Maryland,24017,9650,9622,28
95361,2021-03-28,Dorchester,Maryland,24019,2464,2464,0
95362,2021-03-28,Frederick,Maryland,24021,18062,18012,50
95363,2021-03-28,Garrett,Maryland,24023,1900,1898,2
95364,2021-03-28,Harford,Maryland,24025,13830,13746,84
95365,2021-03-28,Howard,Maryland,24027,17112,17050,62
95366,2021-03-28,Kent,Maryland,24029,1217,1217,0
95367,2021-03-28,Montgomery,Maryland,24031,66438,66296,142
95368,2021-03-28,Prince George's,Maryland,24033,77602,77399,203
95369,2021-03-28,Queen Anne's,Maryland,24035,2693,2691,2
95371,2021-03-28,St. Mary's,Maryland,24037,5390,5379,11
95370,2021-03-28,Somerset,Maryland,24039,2469,2468,1
95372,2021-03-28,Talbot,Maryland,24041,1952,1948,4
95374,2021-03-28,Washington,Maryland,24043,13135,13090,45
95375,2021-03-28,Wicomico,Maryland,24045,7062,7051,11
95376,2021-03-28,Worcester,Maryland,24047,3353,3350,3
95355,2021-03-28,Baltimore city,Maryland,24510,44038,43804,234
95373,2021-03-28,Unknown,Maryland,,1,1,0
