,date,county,state,fips,cases,yest,diff
95646,2021-03-28,Adair,Missouri,29001,2395,2390,5
95647,2021-03-28,Andrew,Missouri,29003,1862,1862,0
95648,2021-03-28,Atchison,Missouri,29005,439,439,0
95649,2021-03-28,Audrain,Missouri,29007,2763,2763,0
95650,2021-03-28,Barry,Missouri,29009,2887,2886,1
95651,2021-03-28,Barton,Missouri,29011,1165,1165,0
95652,2021-03-28,Bates,Missouri,29013,1309,1308,1
95653,2021-03-28,Benton,Missouri,29015,1658,1658,0
95654,2021-03-28,Bollinger,Missouri,29017,1126,1126,0
95655,2021-03-28,Boone,Missouri,29019,17871,17871,0
95656,2021-03-28,Buchanan,Missouri,29021,10223,10223,0
95657,2021-03-28,Butler,Missouri,29023,4133,4133,0
95658,2021-03-28,Caldwell,Missouri,29025,765,765,0
95659,2021-03-28,Callaway,Missouri,29027,4892,4892,0
95660,2021-03-28,Camden,Missouri,29029,4001,4003,-2
95661,2021-03-28,Cape Girardeau,Missouri,29031,9364,9364,0
95662,2021-03-28,Carroll,Missouri,29033,1058,1058,0
95663,2021-03-28,Carter,Missouri,29035,547,547,0
95664,2021-03-28,Cass,Missouri,29037,8928,8921,7
95665,2021-03-28,Cedar,Missouri,29039,1091,1090,1
95666,2021-03-28,Chariton,Missouri,29041,666,665,1
95667,2021-03-28,Christian,Missouri,29043,8663,8663,0
95668,2021-03-28,Clark,Missouri,29045,673,673,0
95669,2021-03-28,Clay,Missouri,29047,9934,9934,0
95670,2021-03-28,Clinton,Missouri,29049,2035,2033,2
95671,2021-03-28,Cole,Missouri,29051,9024,9023,1
95672,2021-03-28,Cooper,Missouri,29053,1905,1904,1
95673,2021-03-28,Crawford,Missouri,29055,2466,2461,5
95674,2021-03-28,Dade,Missouri,29057,711,711,0
95675,2021-03-28,Dallas,Missouri,29059,1253,1253,0
95676,2021-03-28,Daviess,Missouri,29061,734,734,0
95677,2021-03-28,DeKalb,Missouri,29063,1147,1147,0
95678,2021-03-28,Dent,Missouri,29065,909,909,0
95679,2021-03-28,Douglas,Missouri,29067,900,900,0
95680,2021-03-28,Dunklin,Missouri,29069,2741,2739,2
95681,2021-03-28,Franklin,Missouri,29071,10358,10334,24
95682,2021-03-28,Gasconade,Missouri,29073,1560,1559,1
95683,2021-03-28,Gentry,Missouri,29075,834,834,0
95684,2021-03-28,Greene,Missouri,29077,28267,28267,0
95685,2021-03-28,Grundy,Missouri,29079,1009,1009,0
95686,2021-03-28,Harrison,Missouri,29081,922,922,0
