,date,county,state,fips,cases,deaths
95763,2021-03-28,Beaverhead,Montana,30001,891,8
95764,2021-03-28,Big Horn,Montana,30003,2456,71
95765,2021-03-28,Blaine,Montana,30005,729,24
95766,2021-03-28,Broadwater,Montana,30007,431,5
95767,2021-03-28,Carbon,Montana,30009,851,13
95768,2021-03-28,Carter,Montana,30011,146,5
95769,2021-03-28,Cascade,Montana,30013,8423,150
95770,2021-03-28,Chouteau,Montana,30015,494,5
95771,2021-03-28,Custer,Montana,30017,1168,16
95772,2021-03-28,Daniels,Montana,30019,197,7
95773,2021-03-28,Dawson,Montana,30021,1100,30
95774,2021-03-28,Deer Lodge,Montana,30023,1059,14
95775,2021-03-28,Fallon,Montana,30025,278,2
95776,2021-03-28,Fergus,Montana,30027,1084,29
95777,2021-03-28,Flathead,Montana,30029,11371,82
95778,2021-03-28,Gallatin,Montana,30031,13062,58
95779,2021-03-28,Garfield,Montana,30033,78,2
95780,2021-03-28,Glacier,Montana,30035,1521,41
95781,2021-03-28,Golden Valley,Montana,30037,53,2
95782,2021-03-28,Granite,Montana,30039,190,2
95783,2021-03-28,Hill,Montana,30041,1940,42
95784,2021-03-28,Jefferson,Montana,30043,1047,8
95785,2021-03-28,Judith Basin,Montana,30045,88,1
95786,2021-03-28,Lake,Montana,30047,1973,26
95787,2021-03-28,Lewis and Clark,Montana,30049,6545,71
95788,2021-03-28,Liberty,Montana,30051,117,1
95789,2021-03-28,Lincoln,Montana,30053,1549,13
95791,2021-03-28,McCone,Montana,30055,182,1
95790,2021-03-28,Madison,Montana,30057,725,8
95792,2021-03-28,Meagher,Montana,30059,125,7
95793,2021-03-28,Mineral,Montana,30061,249,0
95794,2021-03-28,Missoula,Montana,30063,8645,89
95795,2021-03-28,Musselshell,Montana,30065,320,8
95796,2021-03-28,Park,Montana,30067,1175,15
95797,2021-03-28,Petroleum,Montana,30069,12,1
95798,2021-03-28,Phillips,Montana,30071,517,16
95799,2021-03-28,Pondera,Montana,30073,457,3
95800,2021-03-28,Powder River,Montana,30075,118,6
95801,2021-03-28,Powell,Montana,30077,902,7
95802,2021-03-28,Prairie,Montana,30079,135,2
95803,2021-03-28,Ravalli,Montana,30081,2861,30
95804,2021-03-28,Richland,Montana,30083,1098,15
95805,2021-03-28,Roosevelt,Montana,30085,1587,52
95806,2021-03-28,Rosebud,Montana,30087,1188,44
95807,2021-03-28,Sanders,Montana,30089,602,11
95808,2021-03-28,Sheridan,Montana,30091,412,5
95809,2021-03-28,Silver Bow,Montana,30093,3943,82
95810,2021-03-28,Stillwater,Montana,30095,711,13
95811,2021-03-28,Sweet Grass,Montana,30097,381,7
95812,2021-03-28,Teton,Montana,30099,438,5
95813,2021-03-28,Toole,Montana,30101,709,10
95814,2021-03-28,Treasure,Montana,30103,55,1
95815,2021-03-28,Valley,Montana,30105,866,11
95816,2021-03-28,Wheatland,Montana,30107,175,7
95817,2021-03-28,Wibaux,Montana,30109,119,6
95818,2021-03-28,Yellowstone,Montana,30111,16636,246
