,date,county,state,fips,cases,deaths
95929,2021-03-28,Belknap,New Hampshire,33001,3324,95
95930,2021-03-28,Carroll,New Hampshire,33003,1924,7
95931,2021-03-28,Cheshire,New Hampshire,33005,3098,32
95932,2021-03-28,Coos,New Hampshire,33007,1480,38
95933,2021-03-28,Grafton,New Hampshire,33009,3046,21
95934,2021-03-28,Hillsborough,New Hampshire,33011,30986,605
95935,2021-03-28,Merrimack,New Hampshire,33013,8133,110
95936,2021-03-28,Rockingham,New Hampshire,33015,20590,226
95937,2021-03-28,Strafford,New Hampshire,33017,7916,76
95938,2021-03-28,Sullivan,New Hampshire,33019,1435,22
95939,2021-03-28,Unknown,New Hampshire,,1095,5
