,date,county,state,fips,cases,yest,diff
95962,2021-03-28,Bernalillo,New Mexico,35001,54495,54446,49
95963,2021-03-28,Catron,New Mexico,35003,83,83,0
95964,2021-03-28,Chaves,New Mexico,35005,8958,8954,4
95965,2021-03-28,Cibola,New Mexico,35006,3458,3457,1
95966,2021-03-28,Colfax,New Mexico,35007,872,871,1
95967,2021-03-28,Curry,New Mexico,35009,5033,5030,3
95968,2021-03-28,De Baca,New Mexico,35011,133,133,0
95969,2021-03-28,Doña Ana,New Mexico,35013,23975,23957,18
95970,2021-03-28,Eddy,New Mexico,35015,6656,6648,8
95971,2021-03-28,Grant,New Mexico,35017,1613,1609,4
95972,2021-03-28,Guadalupe,New Mexico,35019,627,625,2
95973,2021-03-28,Harding,New Mexico,35021,9,9,0
95974,2021-03-28,Hidalgo,New Mexico,35023,352,352,0
95975,2021-03-28,Lea,New Mexico,35025,8946,8941,5
95976,2021-03-28,Lincoln,New Mexico,35027,1586,1586,0
95977,2021-03-28,Los Alamos,New Mexico,35028,496,496,0
95978,2021-03-28,Luna,New Mexico,35029,3226,3224,2
95979,2021-03-28,McKinley,New Mexico,35031,12138,12136,2
95980,2021-03-28,Mora,New Mexico,35033,168,168,0
95981,2021-03-28,Otero,New Mexico,35035,4707,4695,12
95982,2021-03-28,Quay,New Mexico,35037,427,427,0
95983,2021-03-28,Rio Arriba,New Mexico,35039,3469,3468,1
95984,2021-03-28,Roosevelt,New Mexico,35041,1863,1863,0
95987,2021-03-28,Sandoval,New Mexico,35043,11295,11284,11
95985,2021-03-28,San Juan,New Mexico,35045,13720,13709,11
95986,2021-03-28,San Miguel,New Mexico,35047,1313,1313,0
95988,2021-03-28,Santa Fe,New Mexico,35049,10049,10040,9
95989,2021-03-28,Sierra,New Mexico,35051,710,710,0
95990,2021-03-28,Socorro,New Mexico,35053,1242,1240,2
95991,2021-03-28,Taos,New Mexico,35055,1608,1606,2
95992,2021-03-28,Torrance,New Mexico,35057,722,720,2
95993,2021-03-28,Union,New Mexico,35059,411,411,0
95995,2021-03-28,Valencia,New Mexico,35061,6684,6675,9
95994,2021-03-28,Unknown,New Mexico,,4,1,3
