,date,county,state,fips,cases,deaths
95996,2021-03-28,Albany,New York,36001,22418,340
95997,2021-03-28,Allegany,New York,36003,3011,82
95998,2021-03-28,Broome,New York,36007,16440,343
95999,2021-03-28,Cattaraugus,New York,36009,4746,79
96000,2021-03-28,Cayuga,New York,36011,5592,90
96001,2021-03-28,Chautauqua,New York,36013,7854,130
96002,2021-03-28,Chemung,New York,36015,6781,131
96003,2021-03-28,Chenango,New York,36017,2771,72
96004,2021-03-28,Clinton,New York,36019,4128,30
96005,2021-03-28,Columbia,New York,36021,3656,97
96006,2021-03-28,Cortland,New York,36023,3383,60
96007,2021-03-28,Delaware,New York,36025,1879,34
96008,2021-03-28,Dutchess,New York,36027,25671,425
96009,2021-03-28,Erie,New York,36029,72732,1648
96010,2021-03-28,Essex,New York,36031,1440,26
96011,2021-03-28,Franklin,New York,36033,2284,12
96012,2021-03-28,Fulton,New York,36035,3731,85
96013,2021-03-28,Genesee,New York,36037,4752,121
96014,2021-03-28,Greene,New York,36039,2934,73
96015,2021-03-28,Hamilton,New York,36041,292,2
96016,2021-03-28,Herkimer,New York,36043,4754,107
96017,2021-03-28,Jefferson,New York,36045,5191,63
96018,2021-03-28,Lewis,New York,36049,2285,33
96019,2021-03-28,Livingston,New York,36051,3777,58
96020,2021-03-28,Madison,New York,36053,4081,85
96021,2021-03-28,Monroe,New York,36055,56247,1017
96022,2021-03-28,Montgomery,New York,36057,3529,112
96023,2021-03-28,Nassau,New York,36059,165785,3034
96025,2021-03-28,Niagara,New York,36063,16354,328
96026,2021-03-28,Oneida,New York,36065,20734,493
96027,2021-03-28,Onondaga,New York,36067,34062,652
96028,2021-03-28,Ontario,New York,36069,6283,90
96029,2021-03-28,Orange,New York,36071,42550,669
96030,2021-03-28,Orleans,New York,36073,2574,82
96031,2021-03-28,Oswego,New York,36075,6553,89
96032,2021-03-28,Otsego,New York,36077,2860,46
96033,2021-03-28,Putnam,New York,36079,9391,90
96034,2021-03-28,Rensselaer,New York,36083,9901,133
96035,2021-03-28,Rockland,New York,36087,43130,714
96041,2021-03-28,St. Lawrence,New York,36089,5905,94
96036,2021-03-28,Saratoga,New York,36091,13217,154
96037,2021-03-28,Schenectady,New York,36093,11717,187
96038,2021-03-28,Schoharie,New York,36095,1392,14
96039,2021-03-28,Schuyler,New York,36097,921,12
96040,2021-03-28,Seneca,New York,36099,1777,56
96042,2021-03-28,Steuben,New York,36101,5870,140
96043,2021-03-28,Suffolk,New York,36103,180321,3232
96044,2021-03-28,Sullivan,New York,36105,5421,64
96045,2021-03-28,Tioga,New York,36107,3097,57
96046,2021-03-28,Tompkins,New York,36109,3852,49
96047,2021-03-28,Ulster,New York,36111,11787,236
96048,2021-03-28,Warren,New York,36113,3140,55
96049,2021-03-28,Washington,New York,36115,2637,55
96050,2021-03-28,Wayne,New York,36117,4795,66
96051,2021-03-28,Westchester,New York,36119,118504,2190
96052,2021-03-28,Wyoming,New York,36121,3051,49
96053,2021-03-28,Yates,New York,36123,1052,26
96024,2021-03-28,New York City,New York,,834198,31026
