,date,county,state,fips,cases,deaths
96054,2021-03-28,Alamance,North Carolina,37001,16638,239
96055,2021-03-28,Alexander,North Carolina,37003,4080,82
96056,2021-03-28,Alleghany,North Carolina,37005,939,5
96057,2021-03-28,Anson,North Carolina,37007,2414,55
96058,2021-03-28,Ashe,North Carolina,37009,1950,40
96059,2021-03-28,Avery,North Carolina,37011,1958,20
96060,2021-03-28,Beaufort,North Carolina,37013,4439,88
96061,2021-03-28,Bertie,North Carolina,37015,1693,42
96062,2021-03-28,Bladen,North Carolina,37017,3087,41
96063,2021-03-28,Brunswick,North Carolina,37019,8503,142
96064,2021-03-28,Buncombe,North Carolina,37021,16280,306
96065,2021-03-28,Burke,North Carolina,37023,9503,146
96066,2021-03-28,Cabarrus,North Carolina,37025,19495,240
96067,2021-03-28,Caldwell,North Carolina,37027,8922,100
96068,2021-03-28,Camden,North Carolina,37029,620,5
96069,2021-03-28,Carteret,North Carolina,37031,4648,45
96070,2021-03-28,Caswell,North Carolina,37033,2047,25
96071,2021-03-28,Catawba,North Carolina,37035,18102,291
96072,2021-03-28,Chatham,North Carolina,37037,4326,80
96073,2021-03-28,Cherokee,North Carolina,37039,2218,20
96074,2021-03-28,Chowan,North Carolina,37041,1395,22
96075,2021-03-28,Clay,North Carolina,37043,679,18
96076,2021-03-28,Cleveland,North Carolina,37045,10801,218
96077,2021-03-28,Columbus,North Carolina,37047,6104,149
96078,2021-03-28,Craven,North Carolina,37049,8811,119
96079,2021-03-28,Cumberland,North Carolina,37051,25555,290
96080,2021-03-28,Currituck,North Carolina,37053,1454,15
96081,2021-03-28,Dare,North Carolina,37055,1964,8
96082,2021-03-28,Davidson,North Carolina,37057,15191,178
96083,2021-03-28,Davie,North Carolina,37059,3756,35
96084,2021-03-28,Duplin,North Carolina,37061,5936,128
96085,2021-03-28,Durham,North Carolina,37063,23396,215
96086,2021-03-28,Edgecombe,North Carolina,37065,4948,101
96087,2021-03-28,Forsyth,North Carolina,37067,33163,359
96088,2021-03-28,Franklin,North Carolina,37069,5917,47
96089,2021-03-28,Gaston,North Carolina,37071,24657,399
96090,2021-03-28,Gates,North Carolina,37073,700,12
96091,2021-03-28,Graham,North Carolina,37075,571,12
96092,2021-03-28,Granville,North Carolina,37077,5517,78
96093,2021-03-28,Greene,North Carolina,37079,2183,42
96094,2021-03-28,Guilford,North Carolina,37081,42309,603
96095,2021-03-28,Halifax,North Carolina,37083,5148,103
96096,2021-03-28,Harnett,North Carolina,37085,10345,162
96097,2021-03-28,Haywood,North Carolina,37087,3995,91
96098,2021-03-28,Henderson,North Carolina,37089,9454,153
96099,2021-03-28,Hertford,North Carolina,37091,1998,63
96100,2021-03-28,Hoke,North Carolina,37093,4323,55
96101,2021-03-28,Hyde,North Carolina,37095,628,8
96102,2021-03-28,Iredell,North Carolina,37097,17284,203
96103,2021-03-28,Jackson,North Carolina,37099,3468,55
96104,2021-03-28,Johnston,North Carolina,37101,19187,206
96105,2021-03-28,Jones,North Carolina,37103,771,16
96106,2021-03-28,Lee,North Carolina,37105,5629,73
96107,2021-03-28,Lenoir,North Carolina,37107,5639,109
96108,2021-03-28,Lincoln,North Carolina,37109,9209,78
96112,2021-03-28,McDowell,North Carolina,37111,5020,63
96109,2021-03-28,Macon,North Carolina,37113,2673,29
96110,2021-03-28,Madison,North Carolina,37115,1441,40
96111,2021-03-28,Martin,North Carolina,37117,2137,37
96113,2021-03-28,Mecklenburg,North Carolina,37119,101603,912
96114,2021-03-28,Mitchell,North Carolina,37121,1301,16
96115,2021-03-28,Montgomery,North Carolina,37123,3192,90
96116,2021-03-28,Moore,North Carolina,37125,8330,181
96117,2021-03-28,Nash,North Carolina,37127,10383,174
96118,2021-03-28,New Hanover,North Carolina,37129,17312,161
96119,2021-03-28,Northampton,North Carolina,37131,1775,39
96120,2021-03-28,Onslow,North Carolina,37133,15276,139
96121,2021-03-28,Orange,North Carolina,37135,8006,100
96122,2021-03-28,Pamlico,North Carolina,37137,1033,11
96123,2021-03-28,Pasquotank,North Carolina,37139,3170,78
96124,2021-03-28,Pender,North Carolina,37141,4985,69
96125,2021-03-28,Perquimans,North Carolina,37143,940,9
96126,2021-03-28,Person,North Carolina,37145,3190,67
96127,2021-03-28,Pitt,North Carolina,37147,18120,86
96128,2021-03-28,Polk,North Carolina,37149,1398,27
96129,2021-03-28,Randolph,North Carolina,37151,14093,213
96130,2021-03-28,Richmond,North Carolina,37153,4334,92
96131,2021-03-28,Robeson,North Carolina,37155,15641,221
96132,2021-03-28,Rockingham,North Carolina,37157,7044,73
96133,2021-03-28,Rowan,North Carolina,37159,15546,294
96134,2021-03-28,Rutherford,North Carolina,37161,6925,204
96135,2021-03-28,Sampson,North Carolina,37163,7312,99
