,date,county,state,fips,cases,deaths
96299,2021-03-28,Adair,Oklahoma,40001,3151,26
96300,2021-03-28,Alfalfa,Oklahoma,40003,1151,5
96301,2021-03-28,Atoka,Oklahoma,40005,1838,15
96302,2021-03-28,Beaver,Oklahoma,40007,455,6
96303,2021-03-28,Beckham,Oklahoma,40009,2843,39
96304,2021-03-28,Blaine,Oklahoma,40011,1013,8
96305,2021-03-28,Bryan,Oklahoma,40013,6020,58
96306,2021-03-28,Caddo,Oklahoma,40015,3901,61
96307,2021-03-28,Canadian,Oklahoma,40017,16337,102
96308,2021-03-28,Carter,Oklahoma,40019,5884,65
96309,2021-03-28,Cherokee,Oklahoma,40021,5521,46
96310,2021-03-28,Choctaw,Oklahoma,40023,1598,16
96311,2021-03-28,Cimarron,Oklahoma,40025,203,1
96312,2021-03-28,Cleveland,Oklahoma,40027,29546,292
96313,2021-03-28,Coal,Oklahoma,40029,687,14
96314,2021-03-28,Comanche,Oklahoma,40031,12821,148
96315,2021-03-28,Cotton,Oklahoma,40033,662,14
96316,2021-03-28,Craig,Oklahoma,40035,1932,11
96317,2021-03-28,Creek,Oklahoma,40037,6725,122
96318,2021-03-28,Custer,Oklahoma,40039,4053,73
96319,2021-03-28,Delaware,Oklahoma,40041,4502,64
96320,2021-03-28,Dewey,Oklahoma,40043,540,6
96321,2021-03-28,Ellis,Oklahoma,40045,353,3
96322,2021-03-28,Garfield,Oklahoma,40047,7672,84
96323,2021-03-28,Garvin,Oklahoma,40049,3521,55
96324,2021-03-28,Grady,Oklahoma,40051,5778,85
96325,2021-03-28,Grant,Oklahoma,40053,547,7
96326,2021-03-28,Greer,Oklahoma,40055,570,17
96327,2021-03-28,Harmon,Oklahoma,40057,302,3
96328,2021-03-28,Harper,Oklahoma,40059,409,4
96329,2021-03-28,Haskell,Oklahoma,40061,1238,11
96330,2021-03-28,Hughes,Oklahoma,40063,1196,19
96331,2021-03-28,Jackson,Oklahoma,40065,2999,47
96332,2021-03-28,Jefferson,Oklahoma,40067,679,12
96333,2021-03-28,Johnston,Oklahoma,40069,1357,20
96334,2021-03-28,Kay,Oklahoma,40071,5209,85
96335,2021-03-28,Kingfisher,Oklahoma,40073,2018,27
96336,2021-03-28,Kiowa,Oklahoma,40075,804,16
96337,2021-03-28,Latimer,Oklahoma,40077,828,10
96338,2021-03-28,Le Flore,Oklahoma,40079,5486,47
96339,2021-03-28,Lincoln,Oklahoma,40081,3138,58
96340,2021-03-28,Logan,Oklahoma,40083,4109,34
96341,2021-03-28,Love,Oklahoma,40085,1450,13
96345,2021-03-28,McClain,Oklahoma,40087,5127,54
96346,2021-03-28,McCurtain,Oklahoma,40089,3876,70
96347,2021-03-28,McIntosh,Oklahoma,40091,1960,39
96342,2021-03-28,Major,Oklahoma,40093,949,12
96343,2021-03-28,Marshall,Oklahoma,40095,1947,13
96344,2021-03-28,Mayes,Oklahoma,40097,4102,40
96348,2021-03-28,Murray,Oklahoma,40099,1954,23
96349,2021-03-28,Muskogee,Oklahoma,40101,9214,113
96350,2021-03-28,Noble,Oklahoma,40103,1369,15
96351,2021-03-28,Nowata,Oklahoma,40105,1123,16
96352,2021-03-28,Okfuskee,Oklahoma,40107,1774,21
96353,2021-03-28,Oklahoma,Oklahoma,40109,83161,821
96354,2021-03-28,Okmulgee,Oklahoma,40111,3666,53
96355,2021-03-28,Osage,Oklahoma,40113,4552,56
96356,2021-03-28,Ottawa,Oklahoma,40115,3735,51
96357,2021-03-28,Pawnee,Oklahoma,40117,1747,34
96358,2021-03-28,Payne,Oklahoma,40119,8531,51
96359,2021-03-28,Pittsburg,Oklahoma,40121,4568,45
96360,2021-03-28,Pontotoc,Oklahoma,40123,5019,49
96361,2021-03-28,Pottawatomie,Oklahoma,40125,8082,84
96362,2021-03-28,Pushmataha,Oklahoma,40127,1003,14
96363,2021-03-28,Roger Mills,Oklahoma,40129,386,9
96364,2021-03-28,Rogers,Oklahoma,40131,10147,127
96365,2021-03-28,Seminole,Oklahoma,40133,2803,43
96366,2021-03-28,Sequoyah,Oklahoma,40135,4030,34
96367,2021-03-28,Stephens,Oklahoma,40137,4747,72
96368,2021-03-28,Texas,Oklahoma,40139,3479,27
96369,2021-03-28,Tillman,Oklahoma,40141,772,16
96370,2021-03-28,Tulsa,Oklahoma,40143,72378,774
96372,2021-03-28,Wagoner,Oklahoma,40145,7826,91
96373,2021-03-28,Washington,Oklahoma,40147,4992,94
96374,2021-03-28,Washita,Oklahoma,40149,1064,9
96375,2021-03-28,Woods,Oklahoma,40151,1196,11
96376,2021-03-28,Woodward,Oklahoma,40153,3119,20
96371,2021-03-28,Unknown,Oklahoma,,1527,0
