,date,county,state,fips,cases,yest,diff
96413,2021-03-28,Adams,Pennsylvania,42001,7988,7955,33
96414,2021-03-28,Allegheny,Pennsylvania,42003,84522,84210,312
96415,2021-03-28,Armstrong,Pennsylvania,42005,5126,5117,9
96416,2021-03-28,Beaver,Pennsylvania,42007,13063,13042,21
96417,2021-03-28,Bedford,Pennsylvania,42009,3942,3938,4
96418,2021-03-28,Berks,Pennsylvania,42011,39328,39204,124
96419,2021-03-28,Blair,Pennsylvania,42013,11066,11052,14
96420,2021-03-28,Bradford,Pennsylvania,42015,4750,4736,14
96421,2021-03-28,Bucks,Pennsylvania,42017,50185,49929,256
96422,2021-03-28,Butler,Pennsylvania,42019,15067,15028,39
96423,2021-03-28,Cambria,Pennsylvania,42021,12203,12187,16
96424,2021-03-28,Cameron,Pennsylvania,42023,277,274,3
96425,2021-03-28,Carbon,Pennsylvania,42025,5325,5314,11
96426,2021-03-28,Centre,Pennsylvania,42027,14393,14341,52
96427,2021-03-28,Chester,Pennsylvania,42029,33631,33485,146
96428,2021-03-28,Clarion,Pennsylvania,42031,2815,2810,5
96429,2021-03-28,Clearfield,Pennsylvania,42033,7052,7029,23
96430,2021-03-28,Clinton,Pennsylvania,42035,3061,3052,9
96431,2021-03-28,Columbia,Pennsylvania,42037,4896,4891,5
96432,2021-03-28,Crawford,Pennsylvania,42039,6648,6646,2
96433,2021-03-28,Cumberland,Pennsylvania,42041,17779,17734,45
96434,2021-03-28,Dauphin,Pennsylvania,42043,22112,22070,42
96435,2021-03-28,Delaware,Pennsylvania,42045,44208,44040,168
96436,2021-03-28,Elk,Pennsylvania,42047,2511,2508,3
96437,2021-03-28,Erie,Pennsylvania,42049,18542,18519,23
96438,2021-03-28,Fayette,Pennsylvania,42051,11108,11089,19
96439,2021-03-28,Forest,Pennsylvania,42053,1393,1392,1
96440,2021-03-28,Franklin,Pennsylvania,42055,13348,13327,21
96441,2021-03-28,Fulton,Pennsylvania,42057,1183,1180,3
96442,2021-03-28,Greene,Pennsylvania,42059,2820,2816,4
96443,2021-03-28,Huntingdon,Pennsylvania,42061,4540,4535,5
96444,2021-03-28,Indiana,Pennsylvania,42063,5319,5312,7
96445,2021-03-28,Jefferson,Pennsylvania,42065,2958,2954,4
96446,2021-03-28,Juniata,Pennsylvania,42067,1897,1892,5
96447,2021-03-28,Lackawanna,Pennsylvania,42069,15336,15316,20
96448,2021-03-28,Lancaster,Pennsylvania,42071,47271,47113,158
96449,2021-03-28,Lawrence,Pennsylvania,42073,6546,6531,15
96450,2021-03-28,Lebanon,Pennsylvania,42075,13703,13677,26
96451,2021-03-28,Lehigh,Pennsylvania,42077,33614,33498,116
96452,2021-03-28,Luzerne,Pennsylvania,42079,26788,26705,83
96453,2021-03-28,Lycoming,Pennsylvania,42081,10080,10066,14
96454,2021-03-28,McKean,Pennsylvania,42083,3157,3155,2
96455,2021-03-28,Mercer,Pennsylvania,42085,8489,8480,9
96456,2021-03-28,Mifflin,Pennsylvania,42087,4765,4759,6
96457,2021-03-28,Monroe,Pennsylvania,42089,11192,11144,48
96458,2021-03-28,Montgomery,Pennsylvania,42091,59046,58804,242
96459,2021-03-28,Montour,Pennsylvania,42093,1821,1817,4
96460,2021-03-28,Northampton,Pennsylvania,42095,29974,29886,88
96461,2021-03-28,Northumberland,Pennsylvania,42097,8482,8470,12
96462,2021-03-28,Perry,Pennsylvania,42099,3166,3158,8
96463,2021-03-28,Philadelphia,Pennsylvania,42101,127770,127770,0
96464,2021-03-28,Pike,Pennsylvania,42103,3083,3061,22
96465,2021-03-28,Potter,Pennsylvania,42105,976,976,0
96466,2021-03-28,Schuylkill,Pennsylvania,42107,12732,12713,19
96467,2021-03-28,Snyder,Pennsylvania,42109,3269,3261,8
96468,2021-03-28,Somerset,Pennsylvania,42111,6933,6921,12
96469,2021-03-28,Sullivan,Pennsylvania,42113,340,340,0
96470,2021-03-28,Susquehanna,Pennsylvania,42115,1940,1937,3
96471,2021-03-28,Tioga,Pennsylvania,42117,2596,2586,10
96472,2021-03-28,Union,Pennsylvania,42119,5403,5401,2
96473,2021-03-28,Venango,Pennsylvania,42121,3506,3502,4
96474,2021-03-28,Warren,Pennsylvania,42123,2267,2266,1
96475,2021-03-28,Washington,Pennsylvania,42125,14876,14850,26
96476,2021-03-28,Wayne,Pennsylvania,42127,3333,3324,9
96477,2021-03-28,Westmoreland,Pennsylvania,42129,28816,28766,50
96478,2021-03-28,Wyoming,Pennsylvania,42131,1360,1353,7
96479,2021-03-28,York,Pennsylvania,42133,39027,38923,104
