,date,county,state,fips,cases,yest,diff
96480,2021-03-28,Adjuntas,Puerto Rico,72001,479,475,4
96481,2021-03-28,Aguada,Puerto Rico,72003,1259,1254,5
96482,2021-03-28,Aguadilla,Puerto Rico,72005,1597,1593,4
96483,2021-03-28,Aguas Buenas,Puerto Rico,72007,1063,1060,3
96484,2021-03-28,Aibonito,Puerto Rico,72009,615,614,1
96485,2021-03-28,Anasco,Puerto Rico,72011,846,843,3
96486,2021-03-28,Arecibo,Puerto Rico,72013,3012,3006,6
96487,2021-03-28,Arroyo,Puerto Rico,72015,362,362,0
96488,2021-03-28,Barceloneta,Puerto Rico,72017,761,757,4
96489,2021-03-28,Barranquitas,Puerto Rico,72019,1343,1338,5
96490,2021-03-28,Bayamon,Puerto Rico,72021,10473,10454,19
96491,2021-03-28,Cabo Rojo,Puerto Rico,72023,949,948,1
96492,2021-03-28,Caguas,Puerto Rico,72025,5950,5920,30
96493,2021-03-28,Camuy,Puerto Rico,72027,1175,1172,3
96494,2021-03-28,Canovanas,Puerto Rico,72029,1864,1853,11
96495,2021-03-28,Carolina,Puerto Rico,72031,8299,8259,40
96496,2021-03-28,Catano,Puerto Rico,72033,1245,1240,5
96497,2021-03-28,Cayey,Puerto Rico,72035,1371,1354,17
96498,2021-03-28,Ceiba,Puerto Rico,72037,416,414,2
96499,2021-03-28,Ciales,Puerto Rico,72039,776,774,2
96500,2021-03-28,Cidra,Puerto Rico,72041,1264,1254,10
96501,2021-03-28,Coamo,Puerto Rico,72043,989,987,2
96502,2021-03-28,Comerio,Puerto Rico,72045,721,711,10
96503,2021-03-28,Corozal,Puerto Rico,72047,1677,1663,14
96504,2021-03-28,Culebra,Puerto Rico,72049,28,28,0
96505,2021-03-28,Dorado,Puerto Rico,72051,2219,2214,5
96506,2021-03-28,Fajardo,Puerto Rico,72053,1310,1307,3
96507,2021-03-28,Florida,Puerto Rico,72054,701,699,2
96508,2021-03-28,Guanica,Puerto Rico,72055,261,259,2
96509,2021-03-28,Guayama,Puerto Rico,72057,890,889,1
96510,2021-03-28,Guayanilla,Puerto Rico,72059,453,453,0
96511,2021-03-28,Guaynabo,Puerto Rico,72061,4515,4510,5
96512,2021-03-28,Gurabo,Puerto Rico,72063,1961,1947,14
96513,2021-03-28,Hatillo,Puerto Rico,72065,1142,1133,9
96514,2021-03-28,Hormigueros,Puerto Rico,72067,433,431,2
96515,2021-03-28,Humacao,Puerto Rico,72069,1767,1755,12
96516,2021-03-28,Isabela,Puerto Rico,72071,1265,1260,5
96517,2021-03-28,Jayuya,Puerto Rico,72073,427,427,0
96518,2021-03-28,Juana Diaz,Puerto Rico,72075,1187,1180,7
96519,2021-03-28,Juncos,Puerto Rico,72077,1877,1851,26
96520,2021-03-28,Lajas,Puerto Rico,72079,431,431,0
96521,2021-03-28,Lares,Puerto Rico,72081,912,905,7
96522,2021-03-28,Las Marias,Puerto Rico,72083,210,209,1
96523,2021-03-28,Las Piedras,Puerto Rico,72085,1516,1509,7
96524,2021-03-28,Loiza,Puerto Rico,72087,1055,1046,9
96525,2021-03-28,Luquillo,Puerto Rico,72089,679,678,1
96526,2021-03-28,Manati,Puerto Rico,72091,1595,1588,7
96527,2021-03-28,Maricao,Puerto Rico,72093,118,118,0
96528,2021-03-28,Maunabo,Puerto Rico,72095,328,328,0
96529,2021-03-28,Mayaguez,Puerto Rico,72097,2035,2031,4
96530,2021-03-28,Moca,Puerto Rico,72099,1429,1418,11
96531,2021-03-28,Morovis,Puerto Rico,72101,1373,1367,6
96532,2021-03-28,Naguabo,Puerto Rico,72103,833,828,5
96533,2021-03-28,Naranjito,Puerto Rico,72105,1639,1635,4
96534,2021-03-28,Orocovis,Puerto Rico,72107,907,902,5
96535,2021-03-28,Patillas,Puerto Rico,72109,384,383,1
96536,2021-03-28,Penuelas,Puerto Rico,72111,552,551,1
96537,2021-03-28,Ponce,Puerto Rico,72113,3302,3292,10
96538,2021-03-28,Quebradillas,Puerto Rico,72115,763,756,7
96539,2021-03-28,Rincon,Puerto Rico,72117,470,468,2
96540,2021-03-28,Rio Grande,Puerto Rico,72119,1881,1861,20
96541,2021-03-28,Sabana Grande,Puerto Rico,72121,428,426,2
96542,2021-03-28,Salinas,Puerto Rico,72123,1050,1048,2
96543,2021-03-28,San German,Puerto Rico,72125,626,626,0
96544,2021-03-28,San Juan,Puerto Rico,72127,18689,18621,68
96545,2021-03-28,San Lorenzo,Puerto Rico,72129,1627,1585,42
96546,2021-03-28,San Sebastian,Puerto Rico,72131,1702,1697,5
96547,2021-03-28,Santa Isabel,Puerto Rico,72133,586,585,1
96548,2021-03-28,Toa Alta,Puerto Rico,72135,3873,3855,18
96549,2021-03-28,Toa Baja,Puerto Rico,72137,3994,3971,23
96550,2021-03-28,Trujillo Alto,Puerto Rico,72139,3009,2993,16
96552,2021-03-28,Utuado,Puerto Rico,72141,894,893,1
96553,2021-03-28,Vega Alta,Puerto Rico,72143,1854,1853,1
96554,2021-03-28,Vega Baja,Puerto Rico,72145,2765,2761,4
96555,2021-03-28,Vieques,Puerto Rico,72147,200,200,0
96556,2021-03-28,Villalba,Puerto Rico,72149,790,787,3
96557,2021-03-28,Yabucoa,Puerto Rico,72151,1062,1060,2
96558,2021-03-28,Yauco,Puerto Rico,72153,1019,1019,0
96551,2021-03-28,Unknown,Puerto Rico,,4581,4576,5
