,date,county,state,fips,cases,deaths
96611,2021-03-28,Aurora,South Dakota,46003,459,15
96612,2021-03-28,Beadle,South Dakota,46005,2862,40
96613,2021-03-28,Bennett,South Dakota,46007,386,9
96614,2021-03-28,Bon Homme,South Dakota,46009,1514,26
96615,2021-03-28,Brookings,South Dakota,46011,3799,37
96616,2021-03-28,Brown,South Dakota,46013,5281,91
96617,2021-03-28,Brule,South Dakota,46015,700,9
96618,2021-03-28,Buffalo,South Dakota,46017,423,13
96619,2021-03-28,Butte,South Dakota,46019,1007,20
96620,2021-03-28,Campbell,South Dakota,46021,131,4
96621,2021-03-28,Charles Mix,South Dakota,46023,1342,21
96622,2021-03-28,Clark,South Dakota,46025,411,5
96623,2021-03-28,Clay,South Dakota,46027,1864,15
96624,2021-03-28,Codington,South Dakota,46029,4194,80
96625,2021-03-28,Corson,South Dakota,46031,475,12
96626,2021-03-28,Custer,South Dakota,46033,779,12
96627,2021-03-28,Davison,South Dakota,46035,3091,67
96628,2021-03-28,Day,South Dakota,46037,679,29
96629,2021-03-28,Deuel,South Dakota,46039,490,8
96630,2021-03-28,Dewey,South Dakota,46041,1437,26
96631,2021-03-28,Douglas,South Dakota,46043,443,9
96632,2021-03-28,Edmunds,South Dakota,46045,490,13
96633,2021-03-28,Fall River,South Dakota,46047,564,15
96634,2021-03-28,Faulk,South Dakota,46049,364,13
96635,2021-03-28,Grant,South Dakota,46051,1008,42
96636,2021-03-28,Gregory,South Dakota,46053,570,30
96637,2021-03-28,Haakon,South Dakota,46055,260,10
96638,2021-03-28,Hamlin,South Dakota,46057,743,38
96639,2021-03-28,Hand,South Dakota,46059,354,6
96640,2021-03-28,Hanson,South Dakota,46061,376,4
96641,2021-03-28,Harding,South Dakota,46063,92,1
96642,2021-03-28,Hughes,South Dakota,46065,2359,37
96643,2021-03-28,Hutchinson,South Dakota,46067,826,26
96644,2021-03-28,Hyde,South Dakota,46069,138,1
96645,2021-03-28,Jackson,South Dakota,46071,284,14
96646,2021-03-28,Jerauld,South Dakota,46073,275,16
96647,2021-03-28,Jones,South Dakota,46075,91,0
96648,2021-03-28,Kingsbury,South Dakota,46077,724,14
96649,2021-03-28,Lake,South Dakota,46079,1289,18
96650,2021-03-28,Lawrence,South Dakota,46081,2886,45
96651,2021-03-28,Lincoln,South Dakota,46083,8186,77
96652,2021-03-28,Lyman,South Dakota,46085,624,10
96654,2021-03-28,McCook,South Dakota,46087,780,24
96655,2021-03-28,McPherson,South Dakota,46089,240,4
96653,2021-03-28,Marshall,South Dakota,46091,364,6
96656,2021-03-28,Meade,South Dakota,46093,2686,31
96657,2021-03-28,Mellette,South Dakota,46095,255,2
96658,2021-03-28,Miner,South Dakota,46097,289,9
96659,2021-03-28,Minnehaha,South Dakota,46099,29544,342
96660,2021-03-28,Moody,South Dakota,46101,623,17
96661,2021-03-28,Oglala Lakota,South Dakota,46102,2083,49
96662,2021-03-28,Pennington,South Dakota,46103,13232,190
96663,2021-03-28,Perkins,South Dakota,46105,351,14
96664,2021-03-28,Potter,South Dakota,46107,387,4
96665,2021-03-28,Roberts,South Dakota,46109,1308,37
96666,2021-03-28,Sanborn,South Dakota,46111,337,3
96667,2021-03-28,Spink,South Dakota,46115,821,26
96668,2021-03-28,Stanley,South Dakota,46117,339,2
96669,2021-03-28,Sully,South Dakota,46119,136,3
96670,2021-03-28,Todd,South Dakota,46121,1220,29
96671,2021-03-28,Tripp,South Dakota,46123,733,17
96672,2021-03-28,Turner,South Dakota,46125,1129,53
96673,2021-03-28,Union,South Dakota,46127,2121,41
96674,2021-03-28,Walworth,South Dakota,46129,751,15
96675,2021-03-28,Yankton,South Dakota,46135,2907,28
96676,2021-03-28,Ziebach,South Dakota,46137,338,9
