,date,county,state,fips,cases,deaths
96773,2021-03-28,Anderson,Texas,48001,6084,112
96774,2021-03-28,Andrews,Texas,48003,1739,47
96775,2021-03-28,Angelina,Texas,48005,8186,268
96776,2021-03-28,Aransas,Texas,48007,1189,37
96777,2021-03-28,Archer,Texas,48009,790,12
96778,2021-03-28,Armstrong,Texas,48011,155,6
96779,2021-03-28,Atascosa,Texas,48013,5564,146
96780,2021-03-28,Austin,Texas,48015,2006,34
96781,2021-03-28,Bailey,Texas,48017,817,18
96782,2021-03-28,Bandera,Texas,48019,1325,27
96783,2021-03-28,Bastrop,Texas,48021,8777,90
96784,2021-03-28,Baylor,Texas,48023,295,12
96785,2021-03-28,Bee,Texas,48025,3468,68
96786,2021-03-28,Bell,Texas,48027,21437,408
96787,2021-03-28,Bexar,Texas,48029,205111,3299
96788,2021-03-28,Blanco,Texas,48031,701,19
96789,2021-03-28,Borden,Texas,48033,31,2
96790,2021-03-28,Bosque,Texas,48035,1632,33
96791,2021-03-28,Bowie,Texas,48037,6800,202
96792,2021-03-28,Brazoria,Texas,48039,35320,445
96793,2021-03-28,Brazos,Texas,48041,24945,234
96794,2021-03-28,Brewster,Texas,48043,911,13
96795,2021-03-28,Briscoe,Texas,48045,139,5
96796,2021-03-28,Brooks,Texas,48047,774,36
96797,2021-03-28,Brown,Texas,48049,4217,135
96798,2021-03-28,Burleson,Texas,48051,2300,39
96799,2021-03-28,Burnet,Texas,48053,4457,61
96800,2021-03-28,Caldwell,Texas,48055,5351,92
96801,2021-03-28,Calhoun,Texas,48057,2137,22
96802,2021-03-28,Callahan,Texas,48059,1162,38
96803,2021-03-28,Cameron,Texas,48061,38357,1572
96804,2021-03-28,Camp,Texas,48063,1203,42
96805,2021-03-28,Carson,Texas,48065,435,14
96806,2021-03-28,Cass,Texas,48067,1844,79
96807,2021-03-28,Castro,Texas,48069,922,30
96808,2021-03-28,Chambers,Texas,48071,4595,47
96809,2021-03-28,Cherokee,Texas,48073,4089,135
96810,2021-03-28,Childress,Texas,48075,1344,17
96811,2021-03-28,Clay,Texas,48077,1017,16
96812,2021-03-28,Cochran,Texas,48079,263,14
96813,2021-03-28,Coke,Texas,48081,439,12
96814,2021-03-28,Coleman,Texas,48083,735,32
96815,2021-03-28,Collin,Texas,48085,86161,791
96816,2021-03-28,Collingsworth,Texas,48087,285,9
96817,2021-03-28,Colorado,Texas,48089,1636,26
96818,2021-03-28,Comal,Texas,48091,9633,305
96819,2021-03-28,Comanche,Texas,48093,1517,51
96820,2021-03-28,Concho,Texas,48095,369,8
96821,2021-03-28,Cooke,Texas,48097,3608,67
