,date,county,state,fips,cases,deaths
97075,2021-03-28,Accomack,Virginia,51001,2703,37
97076,2021-03-28,Albemarle,Virginia,51003,5258,76
97078,2021-03-28,Alleghany,Virginia,51005,1272,49
97079,2021-03-28,Amelia,Virginia,51007,818,28
97080,2021-03-28,Amherst,Virginia,51009,2781,33
97081,2021-03-28,Appomattox,Virginia,51011,1475,23
97082,2021-03-28,Arlington,Virginia,51013,14126,245
97083,2021-03-28,Augusta,Virginia,51015,5380,66
97084,2021-03-28,Bath,Virginia,51017,251,10
97085,2021-03-28,Bedford,Virginia,51019,6048,97
97086,2021-03-28,Bland,Virginia,51021,639,10
97087,2021-03-28,Botetourt,Virginia,51023,2398,34
97089,2021-03-28,Brunswick,Virginia,51025,1252,20
97090,2021-03-28,Buchanan,Virginia,51027,1355,36
97091,2021-03-28,Buckingham,Virginia,51029,2063,28
97093,2021-03-28,Campbell,Virginia,51031,4193,81
97094,2021-03-28,Caroline,Virginia,51033,1984,31
97095,2021-03-28,Carroll,Virginia,51035,2240,65
97096,2021-03-28,Charles City,Virginia,51036,445,15
97097,2021-03-28,Charlotte,Virginia,51037,794,16
97100,2021-03-28,Chesterfield,Virginia,51041,25271,393
97101,2021-03-28,Clarke,Virginia,51043,885,18
97104,2021-03-28,Craig,Virginia,51045,269,5
97105,2021-03-28,Culpeper,Virginia,51047,4258,56
97106,2021-03-28,Cumberland,Virginia,51049,416,9
97108,2021-03-28,Dickenson,Virginia,51051,904,15
97109,2021-03-28,Dinwiddie,Virginia,51053,1963,42
97111,2021-03-28,Essex,Virginia,51057,698,8
97112,2021-03-28,Fairfax,Virginia,51059,71049,1036
97115,2021-03-28,Fauquier,Virginia,51061,4234,61
97116,2021-03-28,Floyd,Virginia,51063,790,20
97117,2021-03-28,Fluvanna,Virginia,51065,1565,17
97118,2021-03-28,Franklin,Virginia,51067,3825,71
97120,2021-03-28,Frederick,Virginia,51069,7193,94
97123,2021-03-28,Giles,Virginia,51071,1149,18
97124,2021-03-28,Gloucester,Virginia,51073,2042,45
97125,2021-03-28,Goochland,Virginia,51075,1306,21
97126,2021-03-28,Grayson,Virginia,51077,1213,31
97127,2021-03-28,Greene,Virginia,51079,1116,15
97128,2021-03-28,Greensville,Virginia,51081,1514,24
97129,2021-03-28,Halifax,Virginia,51083,2655,72
97131,2021-03-28,Hanover,Virginia,51085,7247,147
97133,2021-03-28,Henrico,Virginia,51087,22987,568
97134,2021-03-28,Henry,Virginia,51089,4373,120
97135,2021-03-28,Highland,Virginia,51091,106,1
97137,2021-03-28,Isle of Wight,Virginia,51093,2902,59
97138,2021-03-28,James City,Virginia,51095,4239,69
97141,2021-03-28,King and Queen,Virginia,51097,352,8
97139,2021-03-28,King George,Virginia,51099,1516,18
97140,2021-03-28,King William,Virginia,51101,1066,10
97142,2021-03-28,Lancaster,Virginia,51103,683,15
97143,2021-03-28,Lee,Virginia,51105,2357,45
97145,2021-03-28,Loudoun,Virginia,51107,25089,268
97146,2021-03-28,Louisa,Virginia,51109,1782,27
97147,2021-03-28,Lunenburg,Virginia,51111,717,10
97149,2021-03-28,Madison,Virginia,51113,559,15
97153,2021-03-28,Mathews,Virginia,51115,575,12
97154,2021-03-28,Mecklenburg,Virginia,51117,2136,61
97155,2021-03-28,Middlesex,Virginia,51119,552,18
97156,2021-03-28,Montgomery,Virginia,51121,8730,86
97157,2021-03-28,Nelson,Virginia,51125,861,12
97158,2021-03-28,New Kent,Virginia,51127,1380,13
97161,2021-03-28,Northampton,Virginia,51131,749,34
97162,2021-03-28,Northumberland,Virginia,51133,707,19
97164,2021-03-28,Nottoway,Virginia,51135,1859,44
97165,2021-03-28,Orange,Virginia,51137,1991,35
