,date,county,state,fips,cases,deaths
97208,2021-03-28,Adams,Washington,53001,1985,22
97209,2021-03-28,Asotin,Washington,53003,1332,28
97210,2021-03-28,Benton,Washington,53005,15606,210
97211,2021-03-28,Chelan,Washington,53007,6451,64
97212,2021-03-28,Clallam,Washington,53009,1023,8
97213,2021-03-28,Clark,Washington,53011,20026,246
97214,2021-03-28,Columbia,Washington,53013,117,5
97215,2021-03-28,Cowlitz,Washington,53015,4759,75
97216,2021-03-28,Douglas,Washington,53017,3406,22
97217,2021-03-28,Ferry,Washington,53019,222,4
97218,2021-03-28,Franklin,Washington,53021,11531,103
97219,2021-03-28,Garfield,Washington,53023,120,5
97220,2021-03-28,Grant,Washington,53025,9305,114
97221,2021-03-28,Grays Harbor,Washington,53027,3542,57
97222,2021-03-28,Island,Washington,53029,1471,28
97223,2021-03-28,Jefferson,Washington,53031,349,2
97224,2021-03-28,King,Washington,53033,89638,1460
97225,2021-03-28,Kitsap,Washington,53035,6283,91
97226,2021-03-28,Kittitas,Washington,53037,2490,30
97227,2021-03-28,Klickitat,Washington,53039,677,9
97228,2021-03-28,Lewis,Washington,53041,3913,52
97229,2021-03-28,Lincoln,Washington,53043,351,6
97230,2021-03-28,Mason,Washington,53045,2426,27
97231,2021-03-28,Okanogan,Washington,53047,2272,36
97232,2021-03-28,Pacific,Washington,53049,782,10
97233,2021-03-28,Pend Oreille,Washington,53051,671,7
97234,2021-03-28,Pierce,Washington,53053,41940,603
97235,2021-03-28,San Juan,Washington,53055,127,0
97236,2021-03-28,Skagit,Washington,53057,4707,63
97237,2021-03-28,Skamania,Washington,53059,263,1
97238,2021-03-28,Snohomish,Washington,53061,32426,558
97239,2021-03-28,Spokane,Washington,53063,38943,608
97240,2021-03-28,Stevens,Washington,53065,1747,26
97241,2021-03-28,Thurston,Washington,53067,7766,83
97242,2021-03-28,Wahkiakum,Washington,53069,101,0
97243,2021-03-28,Walla Walla,Washington,53071,4837,64
97244,2021-03-28,Whatcom,Washington,53073,7447,87
97245,2021-03-28,Whitman,Washington,53075,3779,46
97246,2021-03-28,Yakima,Washington,53077,28828,428
