,date,county,state,fips,cases,yest,diff
97302,2021-03-28,Adams,Wisconsin,55001,1788,1783,5
97303,2021-03-28,Ashland,Wisconsin,55003,1273,1272,1
97304,2021-03-28,Barron,Wisconsin,55005,5668,5665,3
97305,2021-03-28,Bayfield,Wisconsin,55007,1168,1167,1
97306,2021-03-28,Brown,Wisconsin,55009,33688,33657,31
97307,2021-03-28,Buffalo,Wisconsin,55011,1359,1358,1
97308,2021-03-28,Burnett,Wisconsin,55013,1366,1364,2
97309,2021-03-28,Calumet,Wisconsin,55015,6195,6193,2
97310,2021-03-28,Chippewa,Wisconsin,55017,7360,7360,0
97311,2021-03-28,Clark,Wisconsin,55019,3559,3558,1
97312,2021-03-28,Columbia,Wisconsin,55021,5550,5546,4
97313,2021-03-28,Crawford,Wisconsin,55023,1731,1732,-1
97314,2021-03-28,Dane,Wisconsin,55025,43436,43386,50
97315,2021-03-28,Dodge,Wisconsin,55027,12397,12395,2
97316,2021-03-28,Door,Wisconsin,55029,2721,2715,6
97317,2021-03-28,Douglas,Wisconsin,55031,4392,4377,15
97318,2021-03-28,Dunn,Wisconsin,55033,4735,4726,9
97319,2021-03-28,Eau Claire,Wisconsin,55035,11559,11555,4
97320,2021-03-28,Florence,Wisconsin,55037,480,479,1
97321,2021-03-28,Fond du Lac,Wisconsin,55039,13259,13259,0
97322,2021-03-28,Forest,Wisconsin,55041,1006,1006,0
97323,2021-03-28,Grant,Wisconsin,55043,5435,5432,3
97324,2021-03-28,Green,Wisconsin,55045,3456,3447,9
97325,2021-03-28,Green Lake,Wisconsin,55047,1968,1968,0
97326,2021-03-28,Iowa,Wisconsin,55049,2036,2036,0
97327,2021-03-28,Iron,Wisconsin,55051,683,683,0
97328,2021-03-28,Jackson,Wisconsin,55053,2638,2638,0
97329,2021-03-28,Jefferson,Wisconsin,55055,9110,9101,9
97330,2021-03-28,Juneau,Wisconsin,55057,3147,3147,0
97331,2021-03-28,Kenosha,Wisconsin,55059,17427,17407,20
97332,2021-03-28,Kewaunee,Wisconsin,55061,2608,2608,0
97333,2021-03-28,La Crosse,Wisconsin,55063,13164,13161,3
97334,2021-03-28,Lafayette,Wisconsin,55065,1649,1646,3
97335,2021-03-28,Langlade,Wisconsin,55067,2103,2103,0
97336,2021-03-28,Lincoln,Wisconsin,55069,3145,3144,1
97337,2021-03-28,Manitowoc,Wisconsin,55071,8513,8510,3
97338,2021-03-28,Marathon,Wisconsin,55073,15308,15297,11
97339,2021-03-28,Marinette,Wisconsin,55075,4410,4409,1
97340,2021-03-28,Marquette,Wisconsin,55077,1506,1506,0
97341,2021-03-28,Menominee,Wisconsin,55078,797,797,0
97342,2021-03-28,Milwaukee,Wisconsin,55079,109907,109788,119
97343,2021-03-28,Monroe,Wisconsin,55081,4481,4475,6
97344,2021-03-28,Oconto,Wisconsin,55083,4796,4793,3
97345,2021-03-28,Oneida,Wisconsin,55085,3641,3636,5
97346,2021-03-28,Outagamie,Wisconsin,55087,22473,22444,29
97347,2021-03-28,Ozaukee,Wisconsin,55089,8787,8787,0
97348,2021-03-28,Pepin,Wisconsin,55091,840,840,0
97349,2021-03-28,Pierce,Wisconsin,55093,4527,4525,2
97350,2021-03-28,Polk,Wisconsin,55095,4120,4120,0
97351,2021-03-28,Portage,Wisconsin,55097,7081,7080,1
97352,2021-03-28,Price,Wisconsin,55099,1271,1271,0
97353,2021-03-28,Racine,Wisconsin,55101,23416,23395,21
97354,2021-03-28,Richland,Wisconsin,55103,1340,1339,1
97355,2021-03-28,Rock,Wisconsin,55105,16376,16353,23
97356,2021-03-28,Rusk,Wisconsin,55107,1323,1323,0
97361,2021-03-28,St. Croix,Wisconsin,55109,8360,8349,11
97357,2021-03-28,Sauk,Wisconsin,55111,5732,5723,9
97358,2021-03-28,Sawyer,Wisconsin,55113,1604,1602,2
97359,2021-03-28,Shawano,Wisconsin,55115,5168,5168,0
97360,2021-03-28,Sheboygan,Wisconsin,55117,14062,14054,8
97362,2021-03-28,Taylor,Wisconsin,55119,2043,2043,0
97363,2021-03-28,Trempealeau,Wisconsin,55121,3553,3551,2
97364,2021-03-28,Vernon,Wisconsin,55123,1937,1935,2
97365,2021-03-28,Vilas,Wisconsin,55125,2328,2328,0
97366,2021-03-28,Walworth,Wisconsin,55127,11757,11757,0
97367,2021-03-28,Washburn,Wisconsin,55129,1425,1423,2
97368,2021-03-28,Washington,Wisconsin,55131,15958,15945,13
97369,2021-03-28,Waukesha,Wisconsin,55133,46388,46388,0
97370,2021-03-28,Waupaca,Wisconsin,55135,5830,5822,8
97371,2021-03-28,Waushara,Wisconsin,55137,2433,2433,0
97372,2021-03-28,Winnebago,Wisconsin,55139,20344,20341,3
97373,2021-03-28,Wood,Wisconsin,55141,7223,7222,1
