,date,county,state,fips,cases,deaths
97374,2021-03-28,Albany,Wyoming,56001,3961,11
97375,2021-03-28,Big Horn,Wyoming,56003,1109,32
97376,2021-03-28,Campbell,Wyoming,56005,4733,59
97377,2021-03-28,Carbon,Wyoming,56007,1516,23
97378,2021-03-28,Converse,Wyoming,56009,982,17
97379,2021-03-28,Crook,Wyoming,56011,422,11
97380,2021-03-28,Fremont,Wyoming,56013,5044,82
97381,2021-03-28,Goshen,Wyoming,56015,1168,23
97382,2021-03-28,Hot Springs,Wyoming,56017,363,3
97383,2021-03-28,Johnson,Wyoming,56019,712,10
97384,2021-03-28,Laramie,Wyoming,56021,8561,110
97385,2021-03-28,Lincoln,Wyoming,56023,1328,12
97386,2021-03-28,Natrona,Wyoming,56025,7798,133
97387,2021-03-28,Niobrara,Wyoming,56027,150,2
97388,2021-03-28,Park,Wyoming,56029,2643,30
97389,2021-03-28,Platte,Wyoming,56031,607,11
97390,2021-03-28,Sheridan,Wyoming,56033,3064,31
97391,2021-03-28,Sublette,Wyoming,56035,693,7
97392,2021-03-28,Sweetwater,Wyoming,56037,3990,36
97393,2021-03-28,Teton,Wyoming,56039,3562,9
97394,2021-03-28,Uinta,Wyoming,56041,2119,12
97395,2021-03-28,Washakie,Wyoming,56043,889,26
97396,2021-03-28,Weston,Wyoming,56045,632,5
