,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Autauga,Alabama,01001,6540,99,0.053,0.074,0.134,0.295,0.444
1,2021-03-25,Baldwin,Alabama,01003,20417,300,0.083,0.059,0.098,0.323,0.436
2,2021-03-25,Barbour,Alabama,01005,2218,54,0.067,0.121,0.12,0.201,0.491
3,2021-03-25,Bibb,Alabama,01007,2534,58,0.02,0.034,0.096,0.278,0.572
4,2021-03-25,Blount,Alabama,01009,6408,131,0.053,0.114,0.18,0.194,0.459
5,2021-03-25,Bullock,Alabama,01011,1200,39,0.031,0.04,0.144,0.286,0.5
6,2021-03-25,Butler,Alabama,01013,2082,66,0.102,0.053,0.257,0.137,0.451
7,2021-03-25,Calhoun,Alabama,01015,14188,304,0.152,0.108,0.13,0.167,0.442
8,2021-03-25,Chambers,Alabama,01017,3478,116,0.117,0.037,0.15,0.136,0.56
9,2021-03-25,Cherokee,Alabama,01019,1798,43,0.135,0.027,0.161,0.158,0.52
10,2021-03-25,Chilton,Alabama,01021,4014,109,0.06,0.07,0.058,0.194,0.618
11,2021-03-25,Choctaw,Alabama,01023,583,24,0.049,0.038,0.126,0.219,0.568
12,2021-03-25,Clarke,Alabama,01025,3467,58,0.049,0.088,0.164,0.268,0.43
13,2021-03-25,Clay,Alabama,01027,1480,54,0.148,0.158,0.195,0.169,0.329
14,2021-03-25,Cleburne,Alabama,01029,1447,41,0.151,0.125,0.138,0.217,0.368
15,2021-03-25,Coffee,Alabama,01031,5368,107,0.101,0.152,0.094,0.186,0.466
16,2021-03-25,Colbert,Alabama,01033,6150,125,0.082,0.096,0.152,0.159,0.51
17,2021-03-25,Conecuh,Alabama,01035,1086,26,0.099,0.052,0.259,0.192,0.399
18,2021-03-25,Coosa,Alabama,01037,942,24,0.055,0.131,0.167,0.263,0.384
19,2021-03-25,Covington,Alabama,01039,4033,111,0.187,0.128,0.129,0.201,0.356
20,2021-03-25,Crenshaw,Alabama,01041,1494,57,0.06,0.091,0.199,0.233,0.416
21,2021-03-25,Cullman,Alabama,01043,9335,186,0.13,0.024,0.249,0.217,0.379
22,2021-03-25,Dale,Alabama,01045,4741,109,0.089,0.113,0.118,0.22,0.46
23,2021-03-25,Dallas,Alabama,01047,3509,147,0.095,0.1,0.159,0.122,0.524
24,2021-03-25,DeKalb,Alabama,01049,8684,179,0.084,0.051,0.106,0.179,0.58
25,2021-03-25,Elmore,Alabama,01051,9878,201,0.042,0.095,0.127,0.252,0.485
26,2021-03-25,Escambia,Alabama,01053,3850,74,0.114,0.026,0.188,0.285,0.387
