,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Allegany,Maryland,24001,6477,202,0.007,0.01,0.035,0.213,0.736
1,2021-03-25,Anne Arundel,Maryland,24003,38200,561,0.018,0.022,0.067,0.154,0.739
2,2021-03-25,Baltimore,Maryland,24005,54519,1356,0.013,0.024,0.043,0.142,0.777
3,2021-03-25,Calvert,Maryland,24009,3856,74,0.049,0.049,0.071,0.11,0.72
4,2021-03-25,Caroline,Maryland,24011,2092,22,0.009,0.019,0.033,0.168,0.77
5,2021-03-25,Carroll,Maryland,24013,8068,217,0.014,0.008,0.062,0.17,0.746
6,2021-03-25,Cecil,Maryland,24015,5279,125,0.009,0.018,0.054,0.182,0.738
7,2021-03-25,Charles,Maryland,24017,9558,170,0.035,0.034,0.107,0.157,0.667
8,2021-03-25,Dorchester,Maryland,24019,2450,48,0.02,0.006,0.011,0.119,0.844
9,2021-03-25,Frederick,Maryland,24021,17902,297,0.028,0.036,0.062,0.113,0.762
10,2021-03-25,Garrett,Maryland,24023,1894,62,0.077,0.008,0.04,0.305,0.571
11,2021-03-25,Harford,Maryland,24025,13554,255,0.008,0.009,0.037,0.168,0.778
12,2021-03-25,Howard,Maryland,24027,16921,225,0.024,0.015,0.067,0.17,0.723
13,2021-03-25,Kent,Maryland,24029,1216,44,0.005,0.014,0.06,0.207,0.714
14,2021-03-25,Montgomery,Maryland,24031,66032,1463,0.025,0.029,0.041,0.128,0.777
15,2021-03-25,Prince George's,Maryland,24033,76979,1378,0.087,0.034,0.064,0.094,0.72
16,2021-03-25,Queen Anne's,Maryland,24035,2680,40,0.002,0.042,0.041,0.309,0.605
17,2021-03-25,St. Mary's,Maryland,24037,5361,121,0.04,0.009,0.036,0.152,0.763
18,2021-03-25,Somerset,Maryland,24039,2465,36,0.004,0.01,0.047,0.128,0.812
19,2021-03-25,Talbot,Maryland,24041,1943,36,0.012,0.012,0.006,0.127,0.843
20,2021-03-25,Washington,Maryland,24043,13001,262,0.031,0.047,0.085,0.194,0.642
21,2021-03-25,Wicomico,Maryland,24045,7015,148,0.006,0.011,0.063,0.116,0.804
22,2021-03-25,Worcester,Maryland,24047,3332,92,0.003,0.004,0.042,0.11,0.842
23,2021-03-25,Baltimore city,Maryland,24510,43373,935,0.024,0.032,0.063,0.148,0.733
24,2021-03-25,Unknown,Maryland,,0,48,,,,,
