,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Beaverhead,Montana,30001,890,8,0.165,0.127,0.102,0.18,0.425
1,2021-03-25,Big Horn,Montana,30003,2451,71,0.136,0.196,0.147,0.25,0.271
2,2021-03-25,Blaine,Montana,30005,729,24,0.287,0.08,0.188,0.252,0.192
3,2021-03-25,Broadwater,Montana,30007,428,5,0.165,0.098,0.099,0.199,0.439
4,2021-03-25,Carbon,Montana,30009,850,13,0.14,0.169,0.163,0.26,0.267
5,2021-03-25,Carter,Montana,30011,146,5,0.123,0.121,0.127,0.212,0.417
6,2021-03-25,Cascade,Montana,30013,8409,150,0.17,0.143,0.16,0.145,0.382
7,2021-03-25,Chouteau,Montana,30015,494,5,0.196,0.135,0.171,0.152,0.346
8,2021-03-25,Custer,Montana,30017,1162,16,0.085,0.261,0.144,0.28,0.23
9,2021-03-25,Daniels,Montana,30019,197,7,0.172,0.244,0.186,0.269,0.129
10,2021-03-25,Dawson,Montana,30021,1100,30,0.139,0.249,0.176,0.274,0.161
11,2021-03-25,Deer Lodge,Montana,30023,1059,14,0.141,0.173,0.064,0.133,0.489
12,2021-03-25,Fallon,Montana,30025,278,2,0.118,0.199,0.146,0.296,0.24
13,2021-03-25,Fergus,Montana,30027,1084,29,0.284,0.111,0.157,0.187,0.261
14,2021-03-25,Flathead,Montana,30029,11357,82,0.076,0.167,0.159,0.224,0.374
15,2021-03-25,Gallatin,Montana,30031,13011,57,0.132,0.093,0.115,0.213,0.448
16,2021-03-25,Garfield,Montana,30033,78,2,0.134,0.199,0.18,0.265,0.221
17,2021-03-25,Glacier,Montana,30035,1521,41,0.084,0.154,0.17,0.196,0.396
18,2021-03-25,Golden Valley,Montana,30037,53,2,0.134,0.181,0.168,0.246,0.271
19,2021-03-25,Granite,Montana,30039,189,2,0.116,0.17,0.109,0.183,0.422
20,2021-03-25,Hill,Montana,30041,1939,42,0.27,0.106,0.159,0.192,0.273
21,2021-03-25,Jefferson,Montana,30043,1045,8,0.158,0.111,0.076,0.169,0.487
22,2021-03-25,Judith Basin,Montana,30045,88,1,0.233,0.11,0.17,0.139,0.349
23,2021-03-25,Lake,Montana,30047,1973,26,0.087,0.23,0.128,0.206,0.349
24,2021-03-25,Lewis and Clark,Montana,30049,6535,71,0.149,0.107,0.08,0.185,0.479
25,2021-03-25,Liberty,Montana,30051,117,1,0.188,0.146,0.167,0.147,0.352
26,2021-03-25,Lincoln,Montana,30053,1542,13,0.118,0.174,0.118,0.188,0.402
27,2021-03-25,McCone,Montana,30055,182,1,0.142,0.274,0.179,0.267,0.139
28,2021-03-25,Madison,Montana,30057,723,8,0.172,0.113,0.105,0.21,0.4
29,2021-03-25,Meagher,Montana,30059,125,7,0.188,0.093,0.12,0.203,0.396
30,2021-03-25,Mineral,Montana,30061,250,0,0.097,0.278,0.119,0.183,0.323
31,2021-03-25,Missoula,Montana,30063,8619,89,0.091,0.2,0.128,0.209,0.372
32,2021-03-25,Musselshell,Montana,30065,319,8,0.128,0.178,0.169,0.257,0.268
33,2021-03-25,Park,Montana,30067,1175,15,0.114,0.099,0.106,0.214,0.467
34,2021-03-25,Petroleum,Montana,30069,12,1,0.157,0.154,0.174,0.247,0.269
35,2021-03-25,Phillips,Montana,30071,517,16,0.229,0.114,0.214,0.296,0.147
36,2021-03-25,Pondera,Montana,30073,457,3,0.123,0.175,0.17,0.142,0.39
37,2021-03-25,Powder River,Montana,30075,118,6,0.193,0.24,0.106,0.188,0.273
38,2021-03-25,Powell,Montana,30077,898,7,0.118,0.144,0.069,0.14,0.53
39,2021-03-25,Prairie,Montana,30079,132,2,0.101,0.27,0.171,0.283,0.176
40,2021-03-25,Ravalli,Montana,30081,2847,30,0.121,0.177,0.114,0.195,0.393
41,2021-03-25,Richland,Montana,30083,1092,15,0.176,0.216,0.162,0.255,0.191
42,2021-03-25,Roosevelt,Montana,30085,1586,52,0.169,0.246,0.178,0.261,0.146
43,2021-03-25,Rosebud,Montana,30087,1187,44,0.126,0.214,0.143,0.248,0.269
44,2021-03-25,Sanders,Montana,30089,599,11,0.15,0.204,0.191,0.172,0.283
45,2021-03-25,Sheridan,Montana,30091,410,5,0.179,0.203,0.178,0.256,0.185
46,2021-03-25,Silver Bow,Montana,30093,3932,82,0.158,0.138,0.059,0.143,0.503
47,2021-03-25,Stillwater,Montana,30095,708,13,0.126,0.173,0.16,0.255,0.286
48,2021-03-25,Sweet Grass,Montana,30097,379,7,0.116,0.157,0.126,0.227,0.374
49,2021-03-25,Teton,Montana,30099,438,5,0.134,0.176,0.147,0.152,0.391
50,2021-03-25,Toole,Montana,30101,708,10,0.138,0.165,0.178,0.135,0.384
51,2021-03-25,Treasure,Montana,30103,55,1,0.122,0.188,0.16,0.259,0.27
52,2021-03-25,Valley,Montana,30105,865,11,0.172,0.235,0.187,0.291,0.115
53,2021-03-25,Wheatland,Montana,30107,175,7,0.214,0.135,0.144,0.189,0.318
54,2021-03-25,Wibaux,Montana,30109,119,6,0.165,0.219,0.161,0.267,0.187
55,2021-03-25,Yellowstone,Montana,30111,16609,246,0.129,0.177,0.167,0.262,0.265
