,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Atlantic,New Jersey,34001,27475,604,0.019,0.041,0.03,0.176,0.734
1,2021-03-25,Bergen,New Jersey,34003,88162,2706,0.02,0.014,0.053,0.151,0.762
2,2021-03-25,Burlington,New Jersey,34005,38780,785,0.023,0.02,0.043,0.134,0.779
3,2021-03-25,Camden,New Jersey,34007,47701,1215,0.028,0.005,0.027,0.137,0.802
4,2021-03-25,Cape May,New Jersey,34009,8006,193,0.013,0.011,0.022,0.214,0.74
5,2021-03-25,Cumberland,New Jersey,34011,15136,397,0.032,0.006,0.058,0.142,0.762
6,2021-03-25,Essex,New Jersey,34013,82264,2773,0.035,0.014,0.085,0.183,0.682
7,2021-03-25,Gloucester,New Jersey,34015,26259,574,0.047,0.01,0.052,0.145,0.746
8,2021-03-25,Hudson,New Jersey,34017,77390,2098,0.022,0.019,0.077,0.211,0.67
9,2021-03-25,Hunterdon,New Jersey,34019,7929,169,0.007,0.038,0.065,0.085,0.804
10,2021-03-25,Mercer,New Jersey,34021,30152,907,0.017,0.014,0.05,0.162,0.757
11,2021-03-25,Middlesex,New Jersey,34023,80900,2188,0.02,0.016,0.054,0.146,0.765
12,2021-03-25,Monmouth,New Jersey,34025,65718,1479,0.01,0.022,0.041,0.164,0.764
13,2021-03-25,Morris,New Jersey,34027,43480,1168,0.023,0.018,0.049,0.191,0.72
14,2021-03-25,Ocean,New Jersey,34029,66291,1981,0.012,0.056,0.055,0.104,0.772
15,2021-03-25,Passaic,New Jersey,34031,62571,1773,0.029,0.015,0.063,0.138,0.756
16,2021-03-25,Salem,New Jersey,34033,5100,168,0.041,0.043,0.036,0.154,0.726
17,2021-03-25,Somerset,New Jersey,34035,25789,803,0.016,0.027,0.046,0.12,0.791
18,2021-03-25,Sussex,New Jersey,34037,10882,282,0.02,0.026,0.029,0.205,0.72
19,2021-03-25,Union,New Jersey,34039,62496,1843,0.012,0.011,0.059,0.202,0.716
20,2021-03-25,Warren,New Jersey,34041,8157,224,0.035,0.02,0.044,0.152,0.749
21,2021-03-25,Unknown,New Jersey,,1242,0,,,,,
