,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Albany,New York,36001,22214,339,0.006,0.012,0.052,0.142,0.788
1,2021-03-25,Allegany,New York,36003,2995,82,0.062,0.015,0.028,0.124,0.771
2,2021-03-25,Broome,New York,36007,16295,342,0.044,0.028,0.051,0.066,0.812
3,2021-03-25,Cattaraugus,New York,36009,4699,79,0.015,0.013,0.024,0.156,0.793
4,2021-03-25,Cayuga,New York,36011,5557,90,0,0.033,0.072,0.162,0.732
5,2021-03-25,Chautauqua,New York,36013,7792,130,0.029,0.024,0.038,0.206,0.703
6,2021-03-25,Chemung,New York,36015,6705,131,0.012,0.046,0.092,0.256,0.594
7,2021-03-25,Chenango,New York,36017,2700,72,0.048,0.045,0.015,0.156,0.735
8,2021-03-25,Clinton,New York,36019,4061,30,0.017,0.024,0.102,0.084,0.773
9,2021-03-25,Columbia,New York,36021,3623,97,0.014,0.004,0.029,0.104,0.848
10,2021-03-25,Cortland,New York,36023,3363,60,0.001,0.062,0.015,0.118,0.803
11,2021-03-25,Delaware,New York,36025,1834,34,0.057,0.053,0.034,0.112,0.744
12,2021-03-25,Dutchess,New York,36027,25282,422,0.007,0.009,0.031,0.099,0.854
13,2021-03-25,Erie,New York,36029,71439,1644,0.018,0.014,0.04,0.161,0.766
14,2021-03-25,Essex,New York,36031,1428,26,0.05,0.05,0.057,0.107,0.736
15,2021-03-25,Franklin,New York,36033,2270,12,0.026,0.027,0.117,0.097,0.733
16,2021-03-25,Fulton,New York,36035,3680,85,0.078,0.015,0.06,0.118,0.729
17,2021-03-25,Genesee,New York,36037,4709,121,0.001,0.017,0.015,0.187,0.781
18,2021-03-25,Greene,New York,36039,2896,73,0.022,0.014,0.03,0.146,0.788
19,2021-03-25,Hamilton,New York,36041,292,2,0.042,0.024,0.053,0.229,0.653
20,2021-03-25,Herkimer,New York,36043,4727,107,0.015,0.026,0.042,0.158,0.758
21,2021-03-25,Jefferson,New York,36045,5153,63,0.008,0.058,0.038,0.116,0.78
22,2021-03-25,Lewis,New York,36049,2242,33,0.069,0.036,0.02,0.11,0.765
23,2021-03-25,Livingston,New York,36051,3756,58,0.011,0.034,0.009,0.111,0.835
24,2021-03-25,Madison,New York,36053,4029,85,0.003,0.015,0.043,0.107,0.832
25,2021-03-25,Monroe,New York,36055,55675,1014,0.018,0.012,0.056,0.129,0.785
26,2021-03-25,Montgomery,New York,36057,3470,111,0.102,0.005,0.054,0.09,0.749
27,2021-03-25,Nassau,New York,36059,163785,3029,0.017,0.018,0.043,0.142,0.779
28,2021-03-25,Niagara,New York,36063,16186,326,0.001,0.028,0.037,0.204,0.73
29,2021-03-25,Oneida,New York,36065,20604,492,0.016,0.025,0.033,0.153,0.774
30,2021-03-25,Onondaga,New York,36067,33805,650,0.019,0.008,0.054,0.163,0.756
31,2021-03-25,Ontario,New York,36069,6210,90,0.001,0.012,0.031,0.107,0.849
32,2021-03-25,Orange,New York,36071,41840,665,0.023,0.008,0.042,0.18,0.746
33,2021-03-25,Orleans,New York,36073,2559,82,0.001,0.033,0.059,0.213,0.693
34,2021-03-25,Oswego,New York,36075,6484,89,0.017,0.003,0.094,0.119,0.766
35,2021-03-25,Otsego,New York,36077,2787,45,0.032,0.065,0.027,0.096,0.779
36,2021-03-25,Putnam,New York,36079,9218,89,0.003,0.018,0.022,0.105,0.852
37,2021-03-25,Rensselaer,New York,36083,9777,133,0.018,0.018,0.073,0.14,0.751
38,2021-03-25,Rockland,New York,36087,42556,713,0.011,0.018,0.054,0.195,0.722
39,2021-03-25,St. Lawrence,New York,36089,5865,94,0.027,0.029,0.095,0.149,0.701
40,2021-03-25,Saratoga,New York,36091,13034,154,0.02,0.012,0.062,0.156,0.751
41,2021-03-25,Schenectady,New York,36093,11586,186,0.04,0.007,0.051,0.06,0.841
42,2021-03-25,Schoharie,New York,36095,1376,13,0.007,0.02,0.04,0.108,0.825
43,2021-03-25,Schuyler,New York,36097,906,12,0.01,0.009,0.071,0.239,0.67
44,2021-03-25,Seneca,New York,36099,1768,56,0.001,0.012,0.042,0.082,0.864
45,2021-03-25,Steuben,New York,36101,5813,140,0.036,0.031,0.057,0.201,0.674
46,2021-03-25,Suffolk,New York,36103,178077,3217,0.04,0.019,0.053,0.106,0.782
47,2021-03-25,Sullivan,New York,36105,5336,64,0.024,0.03,0.043,0.085,0.817
48,2021-03-25,Tioga,New York,36107,3055,56,0.019,0.011,0.018,0.114,0.839
49,2021-03-25,Tompkins,New York,36109,3777,48,0.012,0.01,0.046,0.098,0.833
50,2021-03-25,Ulster,New York,36111,11528,236,0.014,0.023,0.045,0.1,0.818
51,2021-03-25,Warren,New York,36113,3099,55,0.026,0.018,0.104,0.13,0.723
52,2021-03-25,Washington,New York,36115,2582,54,0.026,0.027,0.135,0.138,0.673
53,2021-03-25,Wayne,New York,36117,4742,66,0.001,0.016,0.061,0.132,0.789
54,2021-03-25,Westchester,New York,36119,117067,2182,0.025,0.018,0.044,0.115,0.798
55,2021-03-25,Wyoming,New York,36121,3031,49,0.001,0.024,0.008,0.107,0.861
56,2021-03-25,Yates,New York,36123,1048,26,0,0.006,0.023,0.087,0.884
57,2021-03-25,New York City,New York,,821215,30852,,,,,
