,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Alamance,North Carolina,37001,16602,237,0.04,0.073,0.126,0.175,0.586
1,2021-03-25,Alexander,North Carolina,37003,4075,82,0.027,0.023,0.103,0.272,0.575
2,2021-03-25,Alleghany,North Carolina,37005,938,5,0.153,0.067,0.067,0.21,0.504
3,2021-03-25,Anson,North Carolina,37007,2412,55,0.053,0.062,0.08,0.163,0.641
4,2021-03-25,Ashe,North Carolina,37009,1947,40,0.149,0.026,0.083,0.287,0.455
5,2021-03-25,Avery,North Carolina,37011,1957,20,0.096,0.01,0.212,0.173,0.509
6,2021-03-25,Beaufort,North Carolina,37013,4432,87,0.037,0.08,0.041,0.219,0.623
7,2021-03-25,Bertie,North Carolina,37015,1692,42,0.1,0.04,0.064,0.214,0.582
8,2021-03-25,Bladen,North Carolina,37017,3085,41,0.073,0.023,0.076,0.104,0.724
9,2021-03-25,Brunswick,North Carolina,37019,8473,142,0.024,0.018,0.036,0.248,0.673
10,2021-03-25,Buncombe,North Carolina,37021,16253,305,0.009,0.023,0.044,0.23,0.693
11,2021-03-25,Burke,North Carolina,37023,9498,145,0.091,0.056,0.124,0.189,0.54
12,2021-03-25,Cabarrus,North Carolina,37025,19444,240,0.04,0.022,0.092,0.27,0.576
13,2021-03-25,Caldwell,North Carolina,37027,8905,100,0.028,0.031,0.072,0.199,0.67
14,2021-03-25,Camden,North Carolina,37029,620,5,0.091,0.025,0.121,0.188,0.575
15,2021-03-25,Carteret,North Carolina,37031,4642,45,0.01,0.067,0.167,0.197,0.56
16,2021-03-25,Caswell,North Carolina,37033,2047,25,0.06,0.035,0.199,0.179,0.527
17,2021-03-25,Catawba,North Carolina,37035,18079,291,0.035,0.07,0.13,0.214,0.551
18,2021-03-25,Chatham,North Carolina,37037,4314,80,0.007,0.025,0.063,0.139,0.766
19,2021-03-25,Cherokee,North Carolina,37039,2214,20,0.085,0.109,0.101,0.147,0.557
20,2021-03-25,Chowan,North Carolina,37041,1392,22,0.044,0.011,0.152,0.296,0.497
21,2021-03-25,Clay,North Carolina,37043,678,18,0.099,0.091,0.095,0.169,0.546
22,2021-03-25,Cleveland,North Carolina,37045,10778,218,0.062,0.121,0.094,0.151,0.573
23,2021-03-25,Columbus,North Carolina,37047,6096,148,0.179,0.043,0.113,0.155,0.511
24,2021-03-25,Craven,North Carolina,37049,8796,118,0.034,0.068,0.212,0.215,0.47
25,2021-03-25,Cumberland,North Carolina,37051,25489,290,0.028,0.047,0.1,0.175,0.649
26,2021-03-25,Currituck,North Carolina,37053,1450,15,0.157,0.021,0.131,0.167,0.524
27,2021-03-25,Dare,North Carolina,37055,1959,8,0.028,0.005,0.102,0.194,0.671
28,2021-03-25,Davidson,North Carolina,37057,15154,178,0.058,0.085,0.169,0.134,0.554
29,2021-03-25,Davie,North Carolina,37059,3740,35,0.074,0.067,0.037,0.14,0.681
30,2021-03-25,Duplin,North Carolina,37061,5922,128,0.068,0.044,0.143,0.126,0.62
31,2021-03-25,Durham,North Carolina,37063,23396,215,0.017,0.014,0.033,0.104,0.832
32,2021-03-25,Edgecombe,North Carolina,37065,4927,101,0.021,0.037,0.055,0.184,0.703
33,2021-03-25,Forsyth,North Carolina,37067,33100,359,0.02,0.022,0.068,0.183,0.706
34,2021-03-25,Franklin,North Carolina,37069,5893,46,0.038,0.03,0.061,0.127,0.745
35,2021-03-25,Gaston,North Carolina,37071,24611,399,0.038,0.079,0.054,0.197,0.632
36,2021-03-25,Gates,North Carolina,37073,700,12,0.008,0.022,0.19,0.21,0.57
37,2021-03-25,Graham,North Carolina,37075,569,12,0.095,0.072,0.096,0.236,0.502
