,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Adair,Oklahoma,40001,3151,26,0.105,0.068,0.258,0.213,0.356
1,2021-03-25,Alfalfa,Oklahoma,40003,1151,5,0.203,0.096,0.188,0.25,0.262
2,2021-03-25,Atoka,Oklahoma,40005,1838,15,0.076,0.184,0.111,0.284,0.345
3,2021-03-25,Beaver,Oklahoma,40007,455,6,0.153,0.154,0.085,0.223,0.384
4,2021-03-25,Beckham,Oklahoma,40009,2843,39,0.088,0.265,0.187,0.121,0.339
5,2021-03-25,Blaine,Oklahoma,40011,1013,8,0.029,0.081,0.244,0.32,0.326
6,2021-03-25,Bryan,Oklahoma,40013,6020,58,0.094,0.087,0.125,0.237,0.457
7,2021-03-25,Caddo,Oklahoma,40015,3901,61,0.013,0.111,0.194,0.239,0.444
8,2021-03-25,Canadian,Oklahoma,40017,16337,102,0.043,0.073,0.103,0.309,0.472
9,2021-03-25,Carter,Oklahoma,40019,5884,65,0.128,0.169,0.138,0.213,0.351
10,2021-03-25,Cherokee,Oklahoma,40021,5521,46,0.099,0.121,0.212,0.24,0.327
11,2021-03-25,Choctaw,Oklahoma,40023,1598,16,0.064,0.113,0.119,0.251,0.454
12,2021-03-25,Cimarron,Oklahoma,40025,203,1,0.14,0.089,0.153,0.26,0.358
13,2021-03-25,Cleveland,Oklahoma,40027,29546,292,0.046,0.101,0.079,0.25,0.524
14,2021-03-25,Coal,Oklahoma,40029,687,14,0.075,0.12,0.105,0.307,0.394
15,2021-03-25,Comanche,Oklahoma,40031,12821,148,0.054,0.179,0.127,0.226,0.413
16,2021-03-25,Cotton,Oklahoma,40033,662,14,0.06,0.117,0.102,0.173,0.548
17,2021-03-25,Craig,Oklahoma,40035,1932,11,0.247,0.113,0.236,0.112,0.292
18,2021-03-25,Creek,Oklahoma,40037,6725,122,0.154,0.074,0.145,0.212,0.415
19,2021-03-25,Custer,Oklahoma,40039,4053,73,0.006,0.274,0.413,0.13,0.177
20,2021-03-25,Delaware,Oklahoma,40041,4502,64,0.188,0.187,0.202,0.107,0.316
21,2021-03-25,Dewey,Oklahoma,40043,540,6,0.066,0.185,0.286,0.219,0.244
22,2021-03-25,Ellis,Oklahoma,40045,353,3,0.132,0.22,0.135,0.207,0.306
23,2021-03-25,Garfield,Oklahoma,40047,7672,84,0.233,0.103,0.127,0.28,0.258
24,2021-03-25,Garvin,Oklahoma,40049,3521,55,0.075,0.087,0.157,0.249,0.433
25,2021-03-25,Grady,Oklahoma,40051,5778,85,0.047,0.098,0.185,0.249,0.422
26,2021-03-25,Grant,Oklahoma,40053,547,7,0.205,0.136,0.145,0.255,0.257
