,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Anderson,Tennessee,47001,8394,161,0.088,0.105,0.112,0.215,0.48
1,2021-03-25,Bedford,Tennessee,47003,6147,124,0.164,0.093,0.246,0.248,0.249
2,2021-03-25,Benton,Tennessee,47005,1559,39,0.169,0.109,0.206,0.21,0.306
3,2021-03-25,Bledsoe,Tennessee,47007,2064,11,0.082,0.122,0.131,0.251,0.415
4,2021-03-25,Blount,Tennessee,47009,14630,190,0.069,0.089,0.097,0.183,0.562
5,2021-03-25,Bradley,Tennessee,47011,13879,143,0.121,0.098,0.126,0.282,0.373
6,2021-03-25,Campbell,Tennessee,47013,3986,59,0.059,0.075,0.204,0.109,0.554
7,2021-03-25,Cannon,Tennessee,47015,1845,31,0.209,0.089,0.238,0.182,0.282
8,2021-03-25,Carroll,Tennessee,47017,3525,81,0.179,0.088,0.163,0.234,0.337
9,2021-03-25,Carter,Tennessee,47019,6144,155,0.115,0.031,0.151,0.215,0.487
10,2021-03-25,Cheatham,Tennessee,47021,4186,49,0.018,0.067,0.155,0.28,0.48
11,2021-03-25,Chester,Tennessee,47023,2065,48,0.108,0.068,0.122,0.362,0.34
12,2021-03-25,Claiborne,Tennessee,47025,2947,73,0.163,0.114,0.091,0.236,0.397
13,2021-03-25,Clay,Tennessee,47027,1076,31,0.099,0.105,0.264,0.126,0.406
14,2021-03-25,Cocke,Tennessee,47029,4313,97,0.197,0.118,0.082,0.171,0.431
15,2021-03-25,Coffee,Tennessee,47031,6655,117,0.165,0.09,0.174,0.208,0.363
16,2021-03-25,Crockett,Tennessee,47033,1977,48,0.14,0.078,0.123,0.226,0.432
17,2021-03-25,Cumberland,Tennessee,47035,6304,125,0.096,0.093,0.201,0.214,0.395
18,2021-03-25,Davidson,Tennessee,47037,93585,888,0.02,0.037,0.086,0.181,0.677
19,2021-03-25,Decatur,Tennessee,47039,1558,38,0.175,0.171,0.168,0.168,0.318
20,2021-03-25,DeKalb,Tennessee,47041,2716,52,0.157,0.152,0.231,0.132,0.328
21,2021-03-25,Dickson,Tennessee,47043,6467,107,0.054,0.076,0.079,0.336,0.455
22,2021-03-25,Dyer,Tennessee,47045,5302,103,0.175,0.17,0.12,0.204,0.331
23,2021-03-25,Fayette,Tennessee,47047,4777,76,0.022,0.001,0.089,0.205,0.682
24,2021-03-25,Fentress,Tennessee,47049,2341,45,0.123,0.122,0.157,0.162,0.437
25,2021-03-25,Franklin,Tennessee,47051,4954,87,0.166,0.092,0.13,0.201,0.411
26,2021-03-25,Gibson,Tennessee,47053,6265,142,0.182,0.086,0.111,0.26,0.361
27,2021-03-25,Giles,Tennessee,47055,3838,98,0.061,0.068,0.192,0.237,0.441
28,2021-03-25,Grainger,Tennessee,47057,2504,48,0.126,0.134,0.129,0.221,0.39
29,2021-03-25,Greene,Tennessee,47059,7454,149,0.125,0.178,0.033,0.254,0.41
30,2021-03-25,Grundy,Tennessee,47061,1737,30,0.142,0.165,0.151,0.212,0.33
31,2021-03-25,Hamblen,Tennessee,47063,8307,170,0.157,0.113,0.121,0.189,0.42
32,2021-03-25,Hamilton,Tennessee,47065,42273,472,0.116,0.116,0.129,0.229,0.411
33,2021-03-25,Hancock,Tennessee,47067,520,12,0.148,0.243,0.059,0.14,0.41
34,2021-03-25,Hardeman,Tennessee,47069,3421,63,0.035,0.056,0.215,0.261,0.434
35,2021-03-25,Hardin,Tennessee,47071,3394,65,0.142,0.14,0.107,0.241,0.371
36,2021-03-25,Hawkins,Tennessee,47073,5495,102,0.118,0.146,0.132,0.196,0.407
37,2021-03-25,Haywood,Tennessee,47075,2664,60,0.086,0.026,0.169,0.155,0.565
38,2021-03-25,Henderson,Tennessee,47077,3650,74,0.127,0.107,0.156,0.282,0.327
39,2021-03-25,Henry,Tennessee,47079,3064,75,0.092,0.09,0.264,0.207,0.347
40,2021-03-25,Hickman,Tennessee,47081,2735,43,0.063,0.057,0.082,0.217,0.581
41,2021-03-25,Houston,Tennessee,47083,1056,33,0.108,0.049,0.116,0.337,0.39
42,2021-03-25,Humphreys,Tennessee,47085,1605,21,0.121,0.095,0.156,0.267,0.36
43,2021-03-25,Jackson,Tennessee,47087,1281,35,0.138,0.128,0.249,0.093,0.392
44,2021-03-25,Jefferson,Tennessee,47089,5907,121,0.151,0.092,0.149,0.176,0.431
45,2021-03-25,Johnson,Tennessee,47091,2215,38,0.107,0.079,0.141,0.261,0.412
46,2021-03-25,Knox,Tennessee,47093,48988,606,0.036,0.032,0.144,0.209,0.579
47,2021-03-25,Lake,Tennessee,47095,1683,26,0.133,0.143,0.166,0.201,0.357
48,2021-03-25,Lauderdale,Tennessee,47097,3109,44,0.064,0.094,0.191,0.142,0.508
49,2021-03-25,Lawrence,Tennessee,47099,5664,86,0.074,0.129,0.156,0.192,0.45
50,2021-03-25,Lewis,Tennessee,47101,1512,25,0.098,0.084,0.198,0.236,0.385
51,2021-03-25,Lincoln,Tennessee,47103,4223,62,0.126,0.187,0.106,0.214,0.367
52,2021-03-25,Loudon,Tennessee,47105,5869,68,0.041,0.06,0.107,0.219,0.573
53,2021-03-25,McMinn,Tennessee,47107,6147,94,0.077,0.087,0.155,0.298,0.384
54,2021-03-25,McNairy,Tennessee,47109,2730,53,0.107,0.105,0.115,0.274,0.4
55,2021-03-25,Macon,Tennessee,47111,3452,74,0.146,0.085,0.215,0.083,0.47
56,2021-03-25,Madison,Tennessee,47113,10378,237,0.1,0.056,0.129,0.334,0.381
57,2021-03-25,Marion,Tennessee,47115,3044,46,0.115,0.122,0.135,0.247,0.381
58,2021-03-25,Marshall,Tennessee,47117,4008,57,0.219,0.129,0.139,0.164,0.349
59,2021-03-25,Maury,Tennessee,47119,12611,162,0.119,0.07,0.19,0.156,0.466
60,2021-03-25,Meigs,Tennessee,47121,1304,23,0.08,0.118,0.136,0.214,0.453
61,2021-03-25,Monroe,Tennessee,47123,5528,94,0.07,0.138,0.165,0.229,0.397
62,2021-03-25,Montgomery,Tennessee,47125,18164,217,0.083,0.063,0.203,0.228,0.423
63,2021-03-25,Moore,Tennessee,47127,974,17,0.173,0.101,0.176,0.235,0.316
64,2021-03-25,Morgan,Tennessee,47129,2369,38,0.08,0.113,0.077,0.318,0.413
65,2021-03-25,Obion,Tennessee,47131,4423,96,0.117,0.125,0.187,0.246,0.325
66,2021-03-25,Overton,Tennessee,47133,2915,59,0.12,0.131,0.228,0.128,0.393
67,2021-03-25,Perry,Tennessee,47135,1053,28,0.18,0.148,0.137,0.159,0.376
68,2021-03-25,Pickett,Tennessee,47137,751,23,0.105,0.128,0.219,0.133,0.416
69,2021-03-25,Polk,Tennessee,47139,1897,24,0.089,0.069,0.15,0.24,0.452
70,2021-03-25,Putnam,Tennessee,47141,10924,173,0.16,0.164,0.207,0.099,0.369
71,2021-03-25,Rhea,Tennessee,47143,4232,75,0.096,0.154,0.113,0.154,0.483
72,2021-03-25,Roane,Tennessee,47145,6047,99,0.074,0.142,0.105,0.274,0.405
73,2021-03-25,Robertson,Tennessee,47147,9289,125,0.187,0.069,0.081,0.159,0.504
74,2021-03-25,Rutherford,Tennessee,47149,40386,402,0.081,0.073,0.121,0.215,0.51
75,2021-03-25,Scott,Tennessee,47151,2971,44,0.121,0.144,0.154,0.219,0.362
76,2021-03-25,Sequatchie,Tennessee,47153,1621,27,0.108,0.087,0.177,0.289,0.339
77,2021-03-25,Sevier,Tennessee,47155,12728,170,0.039,0.072,0.15,0.183,0.556
78,2021-03-25,Shelby,Tennessee,47157,90615,1558,0.034,0.025,0.105,0.184,0.653
79,2021-03-25,Smith,Tennessee,47159,2663,37,0.088,0.091,0.202,0.113,0.507
80,2021-03-25,Stewart,Tennessee,47161,1267,26,0.071,0.045,0.15,0.214,0.521
81,2021-03-25,Sullivan,Tennessee,47163,15191,280,0.096,0.091,0.143,0.187,0.483
82,2021-03-25,Sumner,Tennessee,47165,22331,333,0.104,0.069,0.14,0.196,0.49
83,2021-03-25,Tipton,Tennessee,47167,7092,104,0.081,0.025,0.223,0.138,0.533
84,2021-03-25,Trousdale,Tennessee,47169,2441,22,0.112,0.063,0.241,0.133,0.452
85,2021-03-25,Unicoi,Tennessee,47171,1865,49,0.049,0.041,0.108,0.306,0.497
86,2021-03-25,Union,Tennessee,47173,1816,34,0.086,0.145,0.167,0.181,0.421
87,2021-03-25,Van Buren,Tennessee,47175,813,21,0.145,0.147,0.147,0.239,0.323
88,2021-03-25,Warren,Tennessee,47177,5413,80,0.14,0.107,0.189,0.212,0.352
89,2021-03-25,Washington,Tennessee,47179,13292,236,0.061,0.074,0.166,0.218,0.48
90,2021-03-25,Wayne,Tennessee,47181,2929,33,0.089,0.215,0.136,0.147,0.414
91,2021-03-25,Weakley,Tennessee,47183,3895,60,0.093,0.135,0.228,0.251,0.292
92,2021-03-25,White,Tennessee,47185,3469,68,0.185,0.205,0.162,0.115,0.333
93,2021-03-25,Williamson,Tennessee,47187,26356,211,0.019,0.073,0.091,0.212,0.604
94,2021-03-25,Wilson,Tennessee,47189,17353,218,0.105,0.035,0.099,0.192,0.568
95,2021-03-25,Unknown,Tennessee,,8861,119,,,,,
