,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-25,Anderson,Texas,48001,6098,112,0.172,0.104,0.095,0.088,0.541
1,2021-03-25,Andrews,Texas,48003,1739,47,0.09,0.044,0.067,0.202,0.597
2,2021-03-25,Angelina,Texas,48005,8164,268,0.121,0.064,0.079,0.2,0.536
3,2021-03-25,Aransas,Texas,48007,1183,36,0.006,0.005,0.17,0.074,0.746
4,2021-03-25,Archer,Texas,48009,789,12,0.081,0.053,0.099,0.091,0.676
5,2021-03-25,Armstrong,Texas,48011,158,6,0.08,0.066,0.116,0.25,0.488
6,2021-03-25,Atascosa,Texas,48013,5552,145,0.001,0.01,0.032,0.156,0.802
7,2021-03-25,Austin,Texas,48015,1982,34,0.006,0.024,0.054,0.224,0.692
8,2021-03-25,Bailey,Texas,48017,817,18,0.018,0.106,0.06,0.217,0.598
9,2021-03-25,Bandera,Texas,48019,1321,27,0.073,0.018,0.07,0.09,0.749
10,2021-03-25,Bastrop,Texas,48021,8743,89,0.007,0.02,0.084,0.161,0.729
11,2021-03-25,Baylor,Texas,48023,294,11,0.066,0.075,0.134,0.104,0.62
12,2021-03-25,Bee,Texas,48025,3466,68,0.001,0.003,0.052,0.19,0.753
13,2021-03-25,Bell,Texas,48027,21366,408,0.01,0.035,0.078,0.205,0.672
14,2021-03-25,Bexar,Texas,48029,203203,3266,0.015,0.016,0.057,0.09,0.822
15,2021-03-25,Blanco,Texas,48031,698,19,0.005,0.019,0.115,0.074,0.788
16,2021-03-25,Borden,Texas,48033,31,2,0.039,0.115,0.125,0.107,0.614
17,2021-03-25,Bosque,Texas,48035,1631,33,0.031,0.154,0.102,0.248,0.465
18,2021-03-25,Bowie,Texas,48037,6784,201,0.058,0.134,0.114,0.221,0.473
19,2021-03-25,Brazoria,Texas,48039,35107,443,0.021,0.042,0.075,0.17,0.691
20,2021-03-25,Brazos,Texas,48041,24865,233,0.012,0.038,0.067,0.347,0.537
21,2021-03-25,Brewster,Texas,48043,901,13,0.011,0.012,0.077,0.172,0.728
22,2021-03-25,Briscoe,Texas,48045,139,5,0.105,0.077,0.113,0.187,0.518
23,2021-03-25,Brooks,Texas,48047,774,36,0.061,0.004,0.166,0.09,0.678
24,2021-03-25,Brown,Texas,48049,4209,133,0.085,0.077,0.066,0.239,0.534
25,2021-03-25,Burleson,Texas,48051,2290,38,0.02,0.072,0.071,0.281,0.555
26,2021-03-25,Burnet,Texas,48053,4446,61,0.031,0.039,0.055,0.194,0.682
27,2021-03-25,Caldwell,Texas,48055,5342,92,0.001,0.001,0.063,0.185,0.751
28,2021-03-25,Calhoun,Texas,48057,2116,21,0.019,0.028,0.179,0.071,0.703
29,2021-03-25,Callahan,Texas,48059,1158,38,0.049,0.06,0.119,0.205,0.567
30,2021-03-25,Cameron,Texas,48061,38312,1569,0.035,0.061,0.034,0.056,0.813
31,2021-03-25,Camp,Texas,48063,1201,42,0.017,0.064,0.213,0.235,0.471
32,2021-03-25,Carson,Texas,48065,434,14,0.099,0.064,0.124,0.252,0.462
33,2021-03-25,Cass,Texas,48067,1832,79,0.034,0.145,0.17,0.209,0.441
34,2021-03-25,Castro,Texas,48069,922,30,0.057,0.051,0.043,0.296,0.553
35,2021-03-25,Chambers,Texas,48071,4572,47,0.027,0.094,0.078,0.201,0.6
36,2021-03-25,Cherokee,Texas,48073,4089,133,0.123,0.063,0.148,0.192,0.475
37,2021-03-25,Childress,Texas,48075,1343,17,0.147,0.124,0.189,0.206,0.334
38,2021-03-25,Clay,Texas,48077,1018,16,0.066,0.049,0.105,0.087,0.693
39,2021-03-25,Cochran,Texas,48079,262,14,0.029,0.078,0.068,0.229,0.595
