,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Aleutians East Borough,Alaska,02013,363,2,0.067,0.032,0.034,0.316,0.551
1,2021-03-26,Aleutians West Census Area,Alaska,02016,650,0,0.078,0.031,0.03,0.337,0.524
2,2021-03-26,Anchorage,Alaska,02020,27915,161,0.042,0.05,0.049,0.196,0.663
3,2021-03-26,Bethel Census Area,Alaska,02050,3750,20,0.101,0.022,0.014,0.45,0.413
4,2021-03-26,Denali Borough,Alaska,02068,85,0,0.062,0.081,0.067,0.225,0.565
5,2021-03-26,Dillingham Census Area,Alaska,02070,207,1,0.072,0.025,0.027,0.391,0.484
6,2021-03-26,Fairbanks North Star Borough,Alaska,02090,6497,32,0.094,0.084,0.175,0.234,0.413
7,2021-03-26,Haines Borough,Alaska,02100,26,0,0.055,0.05,0.123,0.419,0.352
8,2021-03-26,Juneau City and Borough,Alaska,02110,1257,3,0.051,0.067,0.133,0.396,0.353
9,2021-03-26,Kenai Peninsula Borough,Alaska,02122,4070,19,0.043,0.047,0.051,0.197,0.662
10,2021-03-26,Ketchikan Gateway Borough,Alaska,02130,372,1,0.025,0.149,0.174,0.256,0.396
11,2021-03-26,Kodiak Island Borough,Alaska,02150,1065,5,0.042,0.043,0.049,0.233,0.633
12,2021-03-26,Kusilvak Census Area,Alaska,02158,1218,3,0.103,0.022,0.007,0.521,0.347
13,2021-03-26,Matanuska-Susitna Borough,Alaska,02170,9719,35,0.042,0.051,0.048,0.198,0.66
14,2021-03-26,Nome Census Area,Alaska,02180,335,0,0.086,0.061,0.009,0.544,0.3
15,2021-03-26,North Slope Borough,Alaska,02185,1030,4,0.036,0.059,0.235,0.215,0.455
16,2021-03-26,Northwest Arctic Borough,Alaska,02188,596,2,0.035,0.188,0.051,0.474,0.252
17,2021-03-26,Petersburg Borough,Alaska,02195,145,0,0.042,0.095,0.148,0.349,0.365
18,2021-03-26,Prince of Wales-Hyder Census Area,Alaska,02198,77,1,0.033,0.125,0.161,0.3,0.38
19,2021-03-26,Sitka City and Borough,Alaska,02220,319,0,0.048,0.077,0.137,0.381,0.357
20,2021-03-26,Skagway Municipality,Alaska,02230,19,0,0.058,0.038,0.116,0.435,0.354
21,2021-03-26,Southeast Fairbanks Census Area,Alaska,02240,596,3,0.064,0.071,0.14,0.272,0.453
22,2021-03-26,Valdez-Cordova Census Area,Alaska,02261,536,2,0.04,0.049,0.052,0.197,0.663
23,2021-03-26,Wrangell City and Borough,Alaska,02275,30,0,0.035,0.119,0.16,0.312,0.374
24,2021-03-26,Yukon-Koyukuk Census Area,Alaska,02290,348,4,0.044,0.047,0.126,0.425,0.358
25,2021-03-26,Bristol Bay plus Lake and Peninsula,Alaska,02997,184,0,,,,,
26,2021-03-26,Yakutat plus Hoonah-Angoon,Alaska,02998,69,1,,,,,
27,2021-03-26,Unknown,Alaska,,266,0,,,,,
