,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Alameda,California,06001,82966,1395,0.019,0.008,0.055,0.123,0.795
1,2021-03-26,Alpine,California,06003,84,0,0.025,0.085,0.088,0.19,0.612
2,2021-03-26,Amador,California,06005,3529,45,0.045,0.013,0.099,0.188,0.655
3,2021-03-26,Butte,California,06007,11270,188,0.015,0.043,0.111,0.204,0.626
4,2021-03-26,Calaveras,California,06009,1982,50,0.045,0.019,0.098,0.276,0.562
5,2021-03-26,Colusa,California,06011,2164,16,0.027,0.031,0.092,0.151,0.7
6,2021-03-26,Contra Costa,California,06013,64961,757,0.018,0.016,0.039,0.121,0.806
7,2021-03-26,Del Norte,California,06015,1125,6,0.01,0.135,0.112,0.196,0.547
8,2021-03-26,El Dorado,California,06017,9331,105,0.028,0.042,0.072,0.183,0.675
9,2021-03-26,Fresno,California,06019,98602,1593,0.021,0.022,0.059,0.156,0.741
10,2021-03-26,Glenn,California,06021,2803,25,0.028,0.026,0.146,0.206,0.594
11,2021-03-26,Humboldt,California,06023,3448,35,0.042,0.006,0.018,0.069,0.865
12,2021-03-26,Imperial,California,06025,27352,711,0.001,0.005,0.03,0.128,0.836
13,2021-03-26,Inyo,California,06027,1369,35,0.033,0.011,0.008,0.058,0.889
14,2021-03-26,Kern,California,06029,105912,1206,0.022,0.028,0.105,0.177,0.668
15,2021-03-26,Kings,California,06031,22578,241,0.075,0.016,0.049,0.094,0.766
16,2021-03-26,Lake,California,06033,3312,43,0.003,0.004,0.007,0.136,0.849
17,2021-03-26,Lassen,California,06035,5649,1,0.064,0.068,0.162,0.225,0.482
18,2021-03-26,Los Angeles,California,06037,1217686,23055,0.021,0.013,0.049,0.131,0.786
19,2021-03-26,Madera,California,06039,15937,231,0.019,0.059,0.048,0.124,0.751
20,2021-03-26,Marin,California,06041,13538,219,0.011,0,0.046,0.141,0.802
21,2021-03-26,Mariposa,California,06043,408,7,0.01,0.094,0.049,0.186,0.661
22,2021-03-26,Mendocino,California,06045,3935,46,0.002,0.003,0.004,0.222,0.77
23,2021-03-26,Merced,California,06047,30419,434,0.026,0.036,0.089,0.146,0.703
24,2021-03-26,Modoc,California,06049,343,3,0.068,0.019,0.095,0.204,0.615
25,2021-03-26,Mono,California,06051,1235,4,0.011,0.026,0.012,0.07,0.88
26,2021-03-26,Monterey,California,06053,42868,340,0.023,0.006,0.066,0.141,0.763
27,2021-03-26,Napa,California,06055,9337,78,0.017,0.026,0.033,0.149,0.773
28,2021-03-26,Nevada,California,06057,4219,84,0.003,0.054,0.084,0.177,0.682
29,2021-03-26,Orange,California,06059,265536,4684,0.023,0.021,0.046,0.156,0.754
30,2021-03-26,Placer,California,06061,20736,263,0.012,0.023,0.072,0.201,0.693
31,2021-03-26,Plumas,California,06063,654,4,0.063,0.067,0.053,0.146,0.671
32,2021-03-26,Riverside,California,06065,293831,4248,0.026,0.014,0.041,0.116,0.803
33,2021-03-26,Sacramento,California,06067,96989,1599,0.025,0.028,0.062,0.164,0.722
34,2021-03-26,San Benito,California,06069,5850,61,0.018,0.004,0.063,0.175,0.739
35,2021-03-26,San Bernardino,California,06071,290315,4222,0.027,0.022,0.048,0.134,0.768
36,2021-03-26,San Diego,California,06073,269112,3525,0.017,0.023,0.034,0.126,0.8
37,2021-03-26,San Francisco,California,06075,35157,468,0.017,0.011,0.035,0.121,0.817
38,2021-03-26,San Joaquin,California,06077,69448,1250,0.054,0.019,0.081,0.165,0.68
39,2021-03-26,San Luis Obispo,California,06079,20402,255,0.025,0.024,0.037,0.169,0.745
40,2021-03-26,San Mateo,California,06081,40147,547,0.016,0.013,0.058,0.126,0.786
41,2021-03-26,Santa Barbara,California,06083,33020,439,0.015,0.02,0.075,0.153,0.737
42,2021-03-26,Santa Clara,California,06085,114015,1935,0.015,0.014,0.04,0.168,0.764
43,2021-03-26,Santa Cruz,California,06087,15306,201,0.008,0,0.086,0.109,0.797
44,2021-03-26,Shasta,California,06089,11319,200,0.095,0.056,0.071,0.232,0.547
45,2021-03-26,Sierra,California,06091,50,0,0.14,0.053,0.047,0.143,0.617
46,2021-03-26,Siskiyou,California,06093,1870,15,0.132,0.074,0.082,0.167,0.546
47,2021-03-26,Solano,California,06095,31014,193,0.043,0.046,0.035,0.148,0.728
48,2021-03-26,Sonoma,California,06097,29122,310,0.022,0.012,0.022,0.149,0.795
49,2021-03-26,Stanislaus,California,06099,58602,992,0.032,0.028,0.062,0.173,0.705
50,2021-03-26,Sutter,California,06101,9110,104,0.058,0.031,0.08,0.163,0.669
51,2021-03-26,Tehama,California,06103,4719,52,0.057,0.062,0.141,0.195,0.545
52,2021-03-26,Trinity,California,06105,311,3,0.081,0.07,0.055,0.201,0.592
53,2021-03-26,Tulare,California,06107,48960,811,0.025,0.039,0.115,0.136,0.685
54,2021-03-26,Tuolumne,California,06109,4024,62,0.008,0.043,0.084,0.212,0.653
55,2021-03-26,Ventura,California,06111,79472,969,0.024,0.011,0.033,0.156,0.777
56,2021-03-26,Yolo,California,06113,13287,196,0.007,0.005,0.04,0.156,0.791
57,2021-03-26,Yuba,California,06115,5953,42,0.057,0.035,0.071,0.167,0.669
