,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Adams,Colorado,08001,51597,640,0.032,0.027,0.071,0.185,0.685
1,2021-03-26,Alamosa,Colorado,08003,1339,29,0.052,0.133,0.094,0.228,0.493
2,2021-03-26,Arapahoe,Colorado,08005,52055,715,0.013,0.026,0.065,0.193,0.703
3,2021-03-26,Archuleta,Colorado,08007,738,1,0.041,0.041,0.155,0.276,0.488
4,2021-03-26,Baca,Colorado,08009,278,4,0.113,0.053,0.194,0.206,0.435
5,2021-03-26,Bent,Colorado,08011,1483,21,0.033,0.036,0.172,0.191,0.567
6,2021-03-26,Boulder,Colorado,08013,20335,250,0.008,0.015,0.032,0.195,0.75
7,2021-03-26,Broomfield,Colorado,08014,4124,74,0.018,0.005,0.042,0.201,0.734
8,2021-03-26,Chaffee,Colorado,08015,1491,24,0.038,0.045,0.134,0.138,0.645
9,2021-03-26,Cheyenne,Colorado,08017,126,6,0.016,0.187,0.106,0.398,0.292
10,2021-03-26,Clear Creek,Colorado,08019,394,2,0.002,0.015,0.138,0.123,0.723
11,2021-03-26,Conejos,Colorado,08021,460,10,0.06,0.106,0.093,0.195,0.545
12,2021-03-26,Costilla,Colorado,08023,202,2,0.034,0.072,0.076,0.175,0.644
13,2021-03-26,Crowley,Colorado,08025,2138,14,0.002,0.034,0.08,0.294,0.59
14,2021-03-26,Custer,Colorado,08027,171,1,0.017,0.098,0.153,0.234,0.498
15,2021-03-26,Delta,Colorado,08029,2532,60,0.087,0.094,0.074,0.295,0.45
16,2021-03-26,Denver,Colorado,08031,63496,786,0.02,0.018,0.062,0.194,0.707
17,2021-03-26,Dolores,Colorado,08033,67,0,0.052,0.039,0.066,0.252,0.591
18,2021-03-26,Douglas,Colorado,08035,23683,234,0.013,0.041,0.081,0.192,0.673
19,2021-03-26,Eagle,Colorado,08037,5645,22,0.008,0.003,0.033,0.269,0.687
20,2021-03-26,Elbert,Colorado,08039,1396,12,0.016,0.044,0.19,0.246,0.505
21,2021-03-26,El Paso,Colorado,08041,55757,755,0.031,0.089,0.081,0.196,0.603
22,2021-03-26,Fremont,Colorado,08043,5621,52,0.006,0.069,0.062,0.2,0.663
23,2021-03-26,Garfield,Colorado,08045,5364,38,0.065,0.04,0.037,0.326,0.532
24,2021-03-26,Gilpin,Colorado,08047,184,3,0.001,0.027,0.017,0.17,0.785
25,2021-03-26,Grand,Colorado,08049,1322,6,0.006,0.002,0.05,0.187,0.754
26,2021-03-26,Gunnison,Colorado,08051,1232,6,0.057,0.039,0.043,0.281,0.581
27,2021-03-26,Hinsdale,Colorado,08053,17,0,0.043,0.05,0.117,0.271,0.519
28,2021-03-26,Huerfano,Colorado,08055,333,16,0.028,0.051,0.051,0.275,0.595
29,2021-03-26,Jackson,Colorado,08057,52,0,0.021,0.027,0.09,0.342,0.52
30,2021-03-26,Jefferson,Colorado,08059,39925,729,0.028,0.031,0.075,0.194,0.673
31,2021-03-26,Kiowa,Colorado,08061,91,3,0.028,0.051,0.159,0.27,0.492
32,2021-03-26,Kit Carson,Colorado,08063,579,11,0.024,0.323,0.119,0.344,0.19
33,2021-03-26,Lake,Colorado,08065,694,0,0.002,0.016,0.036,0.193,0.753
34,2021-03-26,La Plata,Colorado,08067,3280,37,0.043,0.02,0.122,0.274,0.541
35,2021-03-26,Larimer,Colorado,08069,21842,227,0.013,0.037,0.06,0.231,0.659
36,2021-03-26,Las Animas,Colorado,08071,1038,11,0.052,0.03,0.101,0.17,0.648
37,2021-03-26,Lincoln,Colorado,08073,1004,4,0.013,0.068,0.196,0.403,0.321
38,2021-03-26,Logan,Colorado,08075,3816,65,0.078,0.202,0.101,0.368,0.251
39,2021-03-26,Mesa,Colorado,08077,13659,209,0.075,0.105,0.098,0.222,0.499
40,2021-03-26,Mineral,Colorado,08079,86,1,0.049,0.072,0.138,0.264,0.478
41,2021-03-26,Moffat,Colorado,08081,695,22,0.041,0.142,0.162,0.284,0.371
42,2021-03-26,Montezuma,Colorado,08083,1784,23,0.057,0.019,0.081,0.257,0.586
43,2021-03-26,Montrose,Colorado,08085,3315,57,0.085,0.092,0.074,0.314,0.436
44,2021-03-26,Morgan,Colorado,08087,2523,92,0.083,0.161,0.116,0.245,0.396
45,2021-03-26,Otero,Colorado,08089,1880,63,0.004,0.047,0.102,0.194,0.653
46,2021-03-26,Ouray,Colorado,08091,272,3,0.06,0.08,0.069,0.295,0.495
47,2021-03-26,Park,Colorado,08093,603,5,0.021,0.018,0.103,0.137,0.722
48,2021-03-26,Phillips,Colorado,08095,346,13,0.05,0.19,0.137,0.255,0.368
49,2021-03-26,Pitkin,Colorado,08097,2370,4,0.019,0.014,0.016,0.318,0.633
50,2021-03-26,Prowers,Colorado,08099,1169,21,0.079,0.046,0.205,0.201,0.469
51,2021-03-26,Pueblo,Colorado,08101,15614,364,0.018,0.044,0.074,0.28,0.584
52,2021-03-26,Rio Blanco,Colorado,08103,514,4,0.111,0.092,0.074,0.265,0.458
53,2021-03-26,Rio Grande,Colorado,08105,752,13,0.061,0.144,0.11,0.242,0.444
54,2021-03-26,Routt,Colorado,08107,2044,19,0.008,0.036,0.092,0.375,0.489
55,2021-03-26,Saguache,Colorado,08109,328,4,0.065,0.122,0.138,0.232,0.443
56,2021-03-26,San Juan,Colorado,08111,44,0,0.032,0.038,0.097,0.27,0.563
57,2021-03-26,San Miguel,Colorado,08113,848,0,0.043,0.058,0.074,0.26,0.565
58,2021-03-26,Sedgwick,Colorado,08115,199,2,0.065,0.162,0.138,0.267,0.368
59,2021-03-26,Summit,Colorado,08117,3307,7,0,0.001,0.064,0.151,0.784
60,2021-03-26,Teller,Colorado,08119,1400,14,0.105,0.087,0.066,0.145,0.597
61,2021-03-26,Washington,Colorado,08121,433,12,0.077,0.208,0.101,0.303,0.31
62,2021-03-26,Weld,Colorado,08123,27188,322,0.046,0.038,0.135,0.231,0.55
63,2021-03-26,Yuma,Colorado,08125,832,17,0.038,0.284,0.133,0.255,0.29
