,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Alachua,Florida,12001,23192,255,0.001,0.024,0.053,0.17,0.751
1,2021-03-26,Baker,Florida,12003,3348,59,0.087,0.076,0.18,0.215,0.442
2,2021-03-26,Bay,Florida,12005,19456,375,0.065,0.109,0.076,0.202,0.548
3,2021-03-26,Bradford,Florida,12007,2912,54,0.106,0.168,0.172,0.173,0.381
4,2021-03-26,Brevard,Florida,12009,36746,802,0.068,0.073,0.096,0.157,0.607
5,2021-03-26,Broward,Florida,12011,211231,2614,0.026,0.023,0.043,0.117,0.791
6,2021-03-26,Calhoun,Florida,12013,1653,42,0.034,0.055,0.138,0.267,0.507
7,2021-03-26,Charlotte,Florida,12015,11355,389,0.051,0.049,0.101,0.158,0.64
8,2021-03-26,Citrus,Florida,12017,10230,424,0.09,0.036,0.087,0.178,0.609
9,2021-03-26,Clay,Florida,12019,17269,325,0.055,0.067,0.15,0.209,0.52
10,2021-03-26,Collier,Florida,12021,32078,492,0.04,0.023,0.067,0.212,0.658
11,2021-03-26,Columbia,Florida,12023,7804,162,0.047,0.026,0.288,0.254,0.385
12,2021-03-26,DeSoto,Florida,12027,4031,82,0.023,0.064,0.056,0.142,0.715
13,2021-03-26,Dixie,Florida,12029,1549,23,0.071,0.095,0.119,0.318,0.397
14,2021-03-26,Duval,Florida,12031,92022,1287,0.049,0.042,0.086,0.194,0.629
15,2021-03-26,Escambia,Florida,12033,34689,663,0.019,0.052,0.095,0.31,0.524
16,2021-03-26,Flagler,Florida,12035,6553,96,0.079,0.05,0.113,0.157,0.602
17,2021-03-26,Franklin,Florida,12037,1294,16,0.022,0.101,0.237,0.228,0.412
18,2021-03-26,Gadsden,Florida,12039,5524,89,0.06,0.033,0.104,0.227,0.575
19,2021-03-26,Gilchrist,Florida,12041,1481,37,0.016,0.151,0.069,0.324,0.44
20,2021-03-26,Glades,Florida,12043,924,19,0.047,0.082,0.098,0.096,0.677
21,2021-03-26,Gulf,Florida,12045,1908,41,0.046,0.125,0.12,0.249,0.46
22,2021-03-26,Hamilton,Florida,12047,1586,23,0.101,0.071,0.235,0.227,0.365
23,2021-03-26,Hardee,Florida,12049,2889,37,0.114,0.041,0.179,0.186,0.48
24,2021-03-26,Hendry,Florida,12051,4455,77,0.046,0.042,0.112,0.15,0.65
25,2021-03-26,Hernando,Florida,12053,12228,439,0.09,0.04,0.091,0.19,0.589
26,2021-03-26,Highlands,Florida,12055,7586,316,0.025,0.056,0.145,0.138,0.635
27,2021-03-26,Hillsborough,Florida,12057,119790,1601,0.023,0.031,0.069,0.155,0.722
28,2021-03-26,Holmes,Florida,12059,2209,46,0.17,0.077,0.081,0.111,0.562
29,2021-03-26,Indian River,Florida,12061,11629,278,0.054,0.065,0.082,0.193,0.607
30,2021-03-26,Jackson,Florida,12063,6046,154,0.064,0.108,0.129,0.174,0.526
31,2021-03-26,Jefferson,Florida,12065,1425,24,0.019,0.017,0.099,0.183,0.682
32,2021-03-26,Lafayette,Florida,12067,1604,25,0.102,0.081,0.22,0.208,0.389
33,2021-03-26,Lake,Florida,12069,26354,600,0.047,0.062,0.074,0.185,0.632
34,2021-03-26,Lee,Florida,12071,61775,910,0.052,0.05,0.073,0.176,0.648
35,2021-03-26,Leon,Florida,12073,30167,301,0.051,0.022,0.071,0.156,0.7
36,2021-03-26,Levy,Florida,12075,3058,43,0.017,0.132,0.072,0.187,0.592
37,2021-03-26,Liberty,Florida,12077,1051,16,0.022,0.023,0.205,0.268,0.482
38,2021-03-26,Madison,Florida,12079,2030,43,0.164,0.085,0.148,0.264,0.34
39,2021-03-26,Manatee,Florida,12081,34371,632,0.074,0.037,0.062,0.201,0.626
40,2021-03-26,Marion,Florida,12083,28831,914,0.046,0.087,0.121,0.203,0.543
41,2021-03-26,Martin,Florida,12085,11236,300,0.027,0.018,0.066,0.169,0.719
42,2021-03-26,Miami-Dade,Florida,12086,439969,5792,0.032,0.023,0.06,0.128,0.756
43,2021-03-26,Monroe,Florida,12087,6328,48,0.007,0.001,0.014,0.159,0.819
44,2021-03-26,Nassau,Florida,12089,7946,121,0.09,0.07,0.147,0.223,0.47
45,2021-03-26,Okaloosa,Florida,12091,19681,348,0.091,0.083,0.147,0.21,0.469
46,2021-03-26,Okeechobee,Florida,12093,3700,84,0.016,0.034,0.064,0.171,0.715
47,2021-03-26,Orange,Florida,12095,121979,1172,0.02,0.02,0.072,0.164,0.724
48,2021-03-26,Osceola,Florida,12097,39174,481,0.025,0.022,0.058,0.176,0.72
49,2021-03-26,Palm Beach,Florida,12099,129902,2635,0.03,0.02,0.05,0.116,0.784
50,2021-03-26,Pasco,Florida,12101,35863,687,0.027,0.029,0.055,0.179,0.709
51,2021-03-26,Pinellas,Florida,12103,71265,1561,0.025,0.019,0.074,0.133,0.75
52,2021-03-26,Polk,Florida,12105,60449,1236,0.05,0.063,0.085,0.172,0.63
53,2021-03-26,Putnam,Florida,12107,6001,133,0.068,0.05,0.114,0.186,0.581
54,2021-03-26,St. Johns,Florida,12109,20960,202,0.047,0.071,0.097,0.223,0.561
55,2021-03-26,St. Lucie,Florida,12111,23731,577,0.077,0.022,0.08,0.173,0.648
56,2021-03-26,Santa Rosa,Florida,12113,17684,277,0.047,0.068,0.166,0.265,0.453
57,2021-03-26,Sarasota,Florida,12115,28913,785,0.017,0.031,0.073,0.175,0.704
58,2021-03-26,Seminole,Florida,12117,29518,461,0.037,0.039,0.066,0.141,0.717
59,2021-03-26,Sumter,Florida,12119,8693,243,0.037,0.036,0.064,0.235,0.628
60,2021-03-26,Suwannee,Florida,12121,5207,135,0.105,0.055,0.244,0.227,0.369
