,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Appling,Georgia,13001,2255,68,0.085,0.117,0.23,0.152,0.416
1,2021-03-26,Atkinson,Georgia,13003,990,17,0.059,0.1,0.179,0.217,0.445
2,2021-03-26,Bacon,Georgia,13005,1602,36,0.071,0.132,0.187,0.188,0.421
3,2021-03-26,Baker,Georgia,13007,224,9,0.027,0.048,0.054,0.127,0.743
4,2021-03-26,Baldwin,Georgia,13009,4395,122,0.02,0.089,0.107,0.29,0.494
5,2021-03-26,Banks,Georgia,13011,1769,34,0.136,0.103,0.125,0.238,0.399
6,2021-03-26,Barrow,Georgia,13013,9425,126,0.063,0.086,0.092,0.19,0.568
7,2021-03-26,Bartow,Georgia,13015,13943,212,0.215,0.05,0.123,0.143,0.47
8,2021-03-26,Ben Hill,Georgia,13017,2071,74,0.129,0.078,0.109,0.202,0.483
9,2021-03-26,Berrien,Georgia,13019,1784,41,0.073,0.098,0.156,0.214,0.46
10,2021-03-26,Bibb,Georgia,13021,15354,416,0.043,0.094,0.176,0.201,0.487
11,2021-03-26,Bleckley,Georgia,13023,1447,50,0.089,0.031,0.117,0.256,0.508
12,2021-03-26,Brantley,Georgia,13025,1565,34,0.047,0.129,0.15,0.164,0.51
13,2021-03-26,Brooks,Georgia,13027,1361,47,0.092,0.165,0.124,0.235,0.385
14,2021-03-26,Bryan,Georgia,13029,3441,36,0.033,0.039,0.095,0.238,0.595
15,2021-03-26,Bulloch,Georgia,13031,6612,108,0.053,0.049,0.163,0.31,0.424
16,2021-03-26,Burke,Georgia,13033,2471,57,0.105,0.109,0.087,0.208,0.492
17,2021-03-26,Butts,Georgia,13035,2819,77,0.125,0.037,0.144,0.163,0.53
18,2021-03-26,Calhoun,Georgia,13037,570,14,0.013,0.035,0.043,0.172,0.737
19,2021-03-26,Camden,Georgia,13039,3828,32,0.136,0.125,0.17,0.113,0.456
20,2021-03-26,Candler,Georgia,13043,932,64,0.037,0.045,0.177,0.264,0.477
21,2021-03-26,Carroll,Georgia,13045,10893,225,0.089,0.133,0.154,0.168,0.457
22,2021-03-26,Catoosa,Georgia,13047,5921,66,0.143,0.152,0.114,0.217,0.375
23,2021-03-26,Charlton,Georgia,13049,1342,30,0.065,0.094,0.15,0.196,0.495
24,2021-03-26,Chatham,Georgia,13051,22054,410,0.035,0.04,0.144,0.158,0.624
25,2021-03-26,Chattahoochee,Georgia,13053,3433,13,0.061,0.072,0.108,0.214,0.545
26,2021-03-26,Chattooga,Georgia,13055,2693,67,0.116,0.102,0.187,0.143,0.451
27,2021-03-26,Cherokee,Georgia,13057,29423,295,0.049,0.054,0.1,0.213,0.584
28,2021-03-26,Clarke,Georgia,13059,14568,134,0.054,0.057,0.06,0.226,0.603
29,2021-03-26,Clay,Georgia,13061,232,3,0.028,0.066,0.12,0.223,0.562
30,2021-03-26,Clayton,Georgia,13063,24602,421,0.038,0.054,0.125,0.159,0.624
31,2021-03-26,Clinch,Georgia,13065,934,26,0.06,0.058,0.134,0.168,0.58
32,2021-03-26,Cobb,Georgia,13067,73706,977,0.039,0.049,0.116,0.225,0.572
33,2021-03-26,Coffee,Georgia,13069,5257,164,0.085,0.124,0.164,0.222,0.404
34,2021-03-26,Colquitt,Georgia,13071,4595,113,0.108,0.191,0.074,0.233,0.394
35,2021-03-26,Columbia,Georgia,13073,16179,195,0.061,0.064,0.095,0.234,0.547
36,2021-03-26,Cook,Georgia,13075,1775,40,0.098,0.134,0.123,0.203,0.441
37,2021-03-26,Coweta,Georgia,13077,13525,191,0.105,0.053,0.183,0.204,0.455
38,2021-03-26,Crawford,Georgia,13079,645,17,0.057,0.051,0.231,0.192,0.468
39,2021-03-26,Crisp,Georgia,13081,2018,71,0.119,0.023,0.06,0.163,0.635
40,2021-03-26,Dade,Georgia,13083,1368,11,0.128,0.222,0.13,0.249,0.27
41,2021-03-26,Dawson,Georgia,13085,2932,39,0.049,0.09,0.128,0.162,0.571
42,2021-03-26,Decatur,Georgia,13087,2837,67,0.093,0.04,0.171,0.18,0.516
43,2021-03-26,DeKalb,Georgia,13089,61052,920,0.036,0.028,0.075,0.156,0.704
44,2021-03-26,Dodge,Georgia,13091,2096,101,0.145,0.025,0.15,0.236,0.443
45,2021-03-26,Dooly,Georgia,13093,1056,43,0.077,0.034,0.058,0.204,0.627
46,2021-03-26,Dougherty,Georgia,13095,7226,290,0.033,0.037,0.045,0.159,0.726
47,2021-03-26,Douglas,Georgia,13097,14174,200,0.083,0.037,0.09,0.198,0.591
