,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Adams,Illinois,17001,8073,144,0.18,0.092,0.189,0.19,0.35
1,2021-03-26,Alexander,Illinois,17003,456,10,0.11,0.082,0.148,0.262,0.398
2,2021-03-26,Bond,Illinois,17005,1927,30,0.07,0.055,0.108,0.218,0.549
3,2021-03-26,Boone,Illinois,17007,6068,83,0.025,0.006,0.065,0.244,0.66
4,2021-03-26,Brown,Illinois,17009,679,12,0.18,0.099,0.136,0.2,0.385
5,2021-03-26,Bureau,Illinois,17011,3401,91,0.012,0.019,0.156,0.208,0.605
6,2021-03-26,Calhoun,Illinois,17013,502,5,0.082,0.06,0.219,0.366,0.273
7,2021-03-26,Carroll,Illinois,17015,1621,36,0.03,0.064,0.12,0.19,0.596
8,2021-03-26,Cass,Illinois,17017,1919,33,0.103,0.08,0.19,0.187,0.441
9,2021-03-26,Champaign,Illinois,17019,18838,143,0,0.067,0.08,0.192,0.661
10,2021-03-26,Christian,Illinois,17021,3395,89,0.059,0.057,0.091,0.19,0.603
11,2021-03-26,Clark,Illinois,17023,1718,40,0.127,0.089,0.107,0.226,0.451
12,2021-03-26,Clay,Illinois,17025,1453,47,0.062,0.115,0.145,0.306,0.372
13,2021-03-26,Clinton,Illinois,17027,5661,98,0.102,0.063,0.083,0.166,0.587
14,2021-03-26,Coles,Illinois,17029,5396,95,0.112,0.055,0.201,0.221,0.411
15,2021-03-26,Cook,Illinois,17031,492837,10177,0.023,0.021,0.072,0.162,0.722
16,2021-03-26,Crawford,Illinois,17033,2047,40,0.146,0.196,0.047,0.219,0.392
17,2021-03-26,Cumberland,Illinois,17035,1254,31,0.095,0.075,0.194,0.212,0.424
18,2021-03-26,DeKalb,Illinois,17037,8749,122,0.007,0.012,0.034,0.191,0.756
19,2021-03-26,De Witt,Illinois,17039,1313,30,0.035,0.106,0.073,0.28,0.507
20,2021-03-26,Douglas,Illinois,17041,2512,41,0.048,0.061,0.105,0.191,0.594
21,2021-03-26,DuPage,Illinois,17043,80980,1311,0.01,0.01,0.056,0.163,0.76
22,2021-03-26,Edgar,Illinois,17045,1628,59,0.174,0.09,0.131,0.208,0.398
23,2021-03-26,Edwards,Illinois,17047,537,13,0.086,0.148,0.233,0.306,0.228
24,2021-03-26,Effingham,Illinois,17049,4547,80,0.072,0.072,0.214,0.232,0.41
25,2021-03-26,Fayette,Illinois,17051,3085,57,0.069,0.076,0.156,0.229,0.47
26,2021-03-26,Ford,Illinois,17053,1636,54,0.011,0.082,0.167,0.172,0.567
27,2021-03-26,Franklin,Illinois,17055,4241,80,0.099,0.166,0.119,0.211,0.405
28,2021-03-26,Fulton,Illinois,17057,3179,58,0.016,0.03,0.311,0.199,0.444
29,2021-03-26,Gallatin,Illinois,17059,448,5,0.201,0.06,0.128,0.238,0.373
30,2021-03-26,Greene,Illinois,17061,1403,45,0.136,0.029,0.109,0.217,0.508
31,2021-03-26,Grundy,Illinois,17063,5382,73,0.056,0.056,0.105,0.183,0.599
32,2021-03-26,Hamilton,Illinois,17065,800,18,0.138,0.179,0.1,0.21,0.373
33,2021-03-26,Hancock,Illinois,17067,1695,40,0.147,0.154,0.125,0.163,0.411
34,2021-03-26,Hardin,Illinois,17069,359,12,0.163,0.072,0.235,0.191,0.34
35,2021-03-26,Henderson,Illinois,17071,513,23,0.096,0.044,0.101,0.155,0.604
36,2021-03-26,Henry,Illinois,17073,4471,89,0.067,0.072,0.061,0.203,0.597
37,2021-03-26,Iroquois,Illinois,17075,2835,65,0.097,0.168,0.069,0.242,0.424
38,2021-03-26,Jackson,Illinois,17077,4714,73,0.066,0.078,0.151,0.209,0.496
39,2021-03-26,Jasper,Illinois,17079,1128,19,0.099,0.135,0.131,0.254,0.38
40,2021-03-26,Jefferson,Illinois,17081,4053,119,0.122,0.126,0.08,0.279,0.393
