,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Alcona,Michigan,26001,457,25,0.065,0.046,0.133,0.18,0.576
1,2021-03-26,Alger,Michigan,26003,593,5,0.025,0.034,0.118,0.229,0.595
2,2021-03-26,Allegan,Michigan,26005,8011,118,0.05,0.035,0.133,0.283,0.5
3,2021-03-26,Alpena,Michigan,26007,1573,48,0.025,0.04,0.144,0.18,0.612
4,2021-03-26,Antrim,Michigan,26009,1380,20,0.027,0.042,0.088,0.218,0.625
5,2021-03-26,Arenac,Michigan,26011,789,27,0.052,0.136,0.076,0.252,0.484
6,2021-03-26,Baraga,Michigan,26013,794,34,0.012,0.063,0.109,0.257,0.558
7,2021-03-26,Barry,Michigan,26015,4096,50,0.043,0.121,0.121,0.211,0.504
8,2021-03-26,Bay,Michigan,26017,8066,300,0.014,0.055,0.103,0.202,0.627
9,2021-03-26,Benzie,Michigan,26019,988,32,0.01,0.049,0.062,0.164,0.715
10,2021-03-26,Berrien,Michigan,26021,12553,250,0.039,0.037,0.122,0.247,0.555
11,2021-03-26,Branch,Michigan,26023,4801,111,0.072,0.091,0.205,0.234,0.399
12,2021-03-26,Calhoun,Michigan,26025,10842,245,0.063,0.121,0.078,0.178,0.559
13,2021-03-26,Cass,Michigan,26027,4478,68,0.046,0.076,0.123,0.274,0.48
14,2021-03-26,Charlevoix,Michigan,26029,1398,13,0.027,0.057,0.085,0.205,0.626
15,2021-03-26,Cheboygan,Michigan,26031,1223,38,0.027,0.052,0.086,0.252,0.584
16,2021-03-26,Chippewa,Michigan,26033,5071,46,0.03,0.022,0.068,0.287,0.593
17,2021-03-26,Clare,Michigan,26035,1688,69,0.05,0.026,0.102,0.308,0.514
18,2021-03-26,Clinton,Michigan,26037,5731,75,0.033,0.056,0.046,0.263,0.603
19,2021-03-26,Crawford,Michigan,26039,681,5,0.043,0.05,0.061,0.181,0.666
20,2021-03-26,Delta,Michigan,26041,3256,86,0.058,0.023,0.17,0.217,0.532
21,2021-03-26,Dickinson,Michigan,26043,2424,71,0.043,0.065,0.127,0.249,0.516
22,2021-03-26,Eaton,Michigan,26045,7204,160,0.047,0.039,0.147,0.247,0.52
23,2021-03-26,Emmet,Michigan,26047,1957,39,0.025,0.062,0.075,0.219,0.618
24,2021-03-26,Genesee,Michigan,26049,29055,774,0.032,0.043,0.104,0.288,0.533
25,2021-03-26,Gladwin,Michigan,26051,1576,43,0.025,0.024,0.109,0.338,0.503
26,2021-03-26,Gogebic,Michigan,26053,1316,49,0.039,0.064,0.139,0.257,0.501
27,2021-03-26,Grand Traverse,Michigan,26055,4825,76,0.004,0.041,0.082,0.2,0.672
28,2021-03-26,Gratiot,Michigan,26057,5798,109,0.057,0.074,0.105,0.169,0.596
29,2021-03-26,Hillsdale,Michigan,26059,3594,79,0.135,0.075,0.119,0.247,0.424
30,2021-03-26,Houghton,Michigan,26061,2801,39,0.008,0.078,0.129,0.281,0.505
31,2021-03-26,Huron,Michigan,26063,2805,62,0.08,0.072,0.032,0.271,0.544
32,2021-03-26,Ingham,Michigan,26065,18644,296,0.062,0.03,0.076,0.237,0.595
33,2021-03-26,Ionia,Michigan,26067,7439,79,0.035,0.203,0.139,0.229,0.394
34,2021-03-26,Iosco,Michigan,26069,1342,67,0.1,0.084,0.099,0.206,0.511
35,2021-03-26,Iron,Michigan,26071,933,51,0.046,0.068,0.126,0.227,0.533
36,2021-03-26,Isabella,Michigan,26073,4303,77,0.096,0.057,0.112,0.191,0.544
37,2021-03-26,Jackson,Michigan,26075,16087,263,0.11,0.08,0.133,0.166,0.511
38,2021-03-26,Kalamazoo,Michigan,26077,16800,327,0.02,0.059,0.062,0.167,0.693
39,2021-03-26,Kalkaska,Michigan,26079,740,15,0.018,0.037,0.07,0.228,0.646
40,2021-03-26,Kent,Michigan,26081,55166,734,0.019,0.061,0.063,0.215,0.641
41,2021-03-26,Keweenaw,Michigan,26083,155,2,0.006,0.071,0.129,0.277,0.518
42,2021-03-26,Lake,Michigan,26085,412,11,0.052,0.122,0.073,0.204,0.548
43,2021-03-26,Lapeer,Michigan,26087,6557,138,0.036,0.105,0.104,0.133,0.622
44,2021-03-26,Leelanau,Michigan,26089,976,15,0.003,0.038,0.092,0.203,0.663
45,2021-03-26,Lenawee,Michigan,26091,8272,136,0.018,0.027,0.083,0.26,0.612
46,2021-03-26,Livingston,Michigan,26093,11798,154,0.042,0.021,0.052,0.198,0.687
47,2021-03-26,Luce,Michigan,26095,1104,2,0.028,0.03,0.088,0.237,0.617
48,2021-03-26,Mackinac,Michigan,26097,478,3,0.032,0.04,0.073,0.256,0.599
49,2021-03-26,Macomb,Michigan,26099,68753,2020,0.034,0.043,0.09,0.145,0.688
50,2021-03-26,Manistee,Michigan,26101,1621,23,0.035,0.05,0.087,0.121,0.707
51,2021-03-26,Marquette,Michigan,26103,5015,57,0.016,0.045,0.11,0.251,0.578
52,2021-03-26,Mason,Michigan,26105,1327,27,0.046,0.054,0.199,0.14,0.561
53,2021-03-26,Mecosta,Michigan,26107,2157,22,0.091,0.104,0.087,0.243,0.475
54,2021-03-26,Menominee,Michigan,26109,1921,41,0.059,0.073,0.068,0.253,0.547
55,2021-03-26,Midland,Michigan,26111,5471,67,0.031,0.03,0.098,0.214,0.626
56,2021-03-26,Missaukee,Michigan,26113,1034,19,0.025,0.036,0.082,0.191,0.666
57,2021-03-26,Monroe,Michigan,26115,11144,211,0.066,0.035,0.054,0.183,0.663
58,2021-03-26,Montcalm,Michigan,26117,5938,96,0.028,0.137,0.167,0.21,0.458
59,2021-03-26,Montmorency,Michigan,26119,387,18,0.044,0.071,0.126,0.186,0.574
60,2021-03-26,Muskegon,Michigan,26121,13143,318,0.084,0.045,0.1,0.16,0.611
61,2021-03-26,Newaygo,Michigan,26123,3243,54,0.099,0.121,0.027,0.3,0.454
62,2021-03-26,Oakland,Michigan,26125,84210,2053,0.028,0.027,0.049,0.169,0.727
63,2021-03-26,Oceana,Michigan,26127,1967,51,0.074,0.033,0.114,0.163,0.616
64,2021-03-26,Ogemaw,Michigan,26129,1159,34,0.061,0.117,0.106,0.259,0.458
65,2021-03-26,Ontonagon,Michigan,26131,431,21,0.025,0.086,0.123,0.265,0.501
66,2021-03-26,Osceola,Michigan,26133,1233,23,0.07,0.073,0.089,0.238,0.531
67,2021-03-26,Oscoda,Michigan,26135,436,20,0.057,0.073,0.096,0.181,0.593
68,2021-03-26,Otsego,Michigan,26137,1831,28,0.06,0.068,0.097,0.172,0.602
69,2021-03-26,Ottawa,Michigan,26139,24049,360,0.042,0.057,0.12,0.251,0.531
70,2021-03-26,Presque Isle,Michigan,26141,723,28,0.02,0.04,0.143,0.223,0.575
71,2021-03-26,Roscommon,Michigan,26143,1448,39,0.012,0.037,0.097,0.217,0.637
72,2021-03-26,Saginaw,Michigan,26145,16966,542,0.031,0.073,0.082,0.197,0.616
73,2021-03-26,St. Clair,Michigan,26147,11111,271,0.051,0.069,0.046,0.194,0.64
74,2021-03-26,St. Joseph,Michigan,26149,5086,89,0.048,0.079,0.197,0.189,0.488
75,2021-03-26,Sanilac,Michigan,26151,2748,82,0.078,0.112,0.077,0.21,0.522
76,2021-03-26,Schoolcraft,Michigan,26153,280,5,0.041,0.021,0.14,0.187,0.611
77,2021-03-26,Shiawassee,Michigan,26155,4259,84,0.116,0.046,0.065,0.297,0.475
