,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Adams,Mississippi,28001,2413,81,0.113,0.112,0.131,0.084,0.56
1,2021-03-26,Alcorn,Mississippi,28003,2948,63,0.069,0.131,0.15,0.222,0.428
2,2021-03-26,Amite,Mississippi,28005,1178,37,0.11,0.092,0.122,0.204,0.473
3,2021-03-26,Attala,Mississippi,28007,2126,73,0.065,0.104,0.092,0.139,0.601
4,2021-03-26,Benton,Mississippi,28009,964,25,0.018,0.014,0.246,0.233,0.489
5,2021-03-26,Bolivar,Mississippi,28011,4734,125,0.123,0.046,0.127,0.249,0.456
6,2021-03-26,Calhoun,Mississippi,28013,1617,30,0.074,0.161,0.092,0.179,0.494
7,2021-03-26,Carroll,Mississippi,28015,1205,25,0.08,0.144,0.119,0.12,0.537
8,2021-03-26,Chickasaw,Mississippi,28017,2033,55,0.07,0.134,0.088,0.182,0.525
9,2021-03-26,Choctaw,Mississippi,28019,723,16,0.035,0.094,0.064,0.219,0.588
10,2021-03-26,Claiborne,Mississippi,28021,1007,30,0.038,0.061,0.088,0.214,0.598
11,2021-03-26,Clarke,Mississippi,28023,1742,75,0.044,0.021,0.133,0.205,0.597
12,2021-03-26,Clay,Mississippi,28025,1816,54,0.029,0.082,0.098,0.214,0.577
13,2021-03-26,Coahoma,Mississippi,28027,2874,75,0.038,0.056,0.118,0.33,0.459
14,2021-03-26,Copiah,Mississippi,28029,2874,61,0.073,0.084,0.134,0.157,0.552
15,2021-03-26,Covington,Mississippi,28031,2530,80,0.11,0.105,0.085,0.193,0.506
16,2021-03-26,DeSoto,Mississippi,28033,20426,246,0.055,0.078,0.088,0.236,0.543
17,2021-03-26,Forrest,Mississippi,28035,7460,143,0.072,0.042,0.091,0.267,0.527
18,2021-03-26,Franklin,Mississippi,28037,802,22,0.087,0.112,0.154,0.138,0.509
19,2021-03-26,George,Mississippi,28039,2362,46,0.037,0.102,0.088,0.346,0.428
20,2021-03-26,Greene,Mississippi,28041,1293,33,0.015,0.112,0.07,0.262,0.541
21,2021-03-26,Grenada,Mississippi,28043,2525,80,0.056,0.135,0.133,0.189,0.486
22,2021-03-26,Hancock,Mississippi,28045,3658,84,0.063,0.09,0.089,0.254,0.503
23,2021-03-26,Harrison,Mississippi,28047,17293,298,0.093,0.071,0.142,0.237,0.457
24,2021-03-26,Hinds,Mississippi,28049,19604,401,0.019,0.096,0.115,0.183,0.588
25,2021-03-26,Holmes,Mississippi,28051,1847,71,0.062,0.072,0.095,0.099,0.672
26,2021-03-26,Humphreys,Mississippi,28053,941,30,0.117,0.071,0.098,0.104,0.61
27,2021-03-26,Issaquena,Mississippi,28055,168,6,0.03,0.06,0.137,0.162,0.612
28,2021-03-26,Itawamba,Mississippi,28057,2941,76,0.116,0.074,0.155,0.191,0.464
29,2021-03-26,Jackson,Mississippi,28059,12985,240,0.077,0.092,0.12,0.24,0.472
30,2021-03-26,Jasper,Mississippi,28061,2186,47,0.066,0.09,0.144,0.167,0.533
31,2021-03-26,Jefferson,Mississippi,28063,640,27,0.076,0.083,0.137,0.15,0.555
32,2021-03-26,Jefferson Davis,Mississippi,28065,1040,32,0.141,0.132,0.101,0.181,0.445
33,2021-03-26,Jones,Mississippi,28067,8233,156,0.069,0.079,0.118,0.169,0.565
34,2021-03-26,Kemper,Mississippi,28069,941,25,0.032,0.021,0.082,0.177,0.687
35,2021-03-26,Lafayette,Mississippi,28071,5906,116,0.019,0.059,0.161,0.2,0.56
36,2021-03-26,Lamar,Mississippi,28073,6034,84,0.087,0.045,0.08,0.27,0.517
37,2021-03-26,Lauderdale,Mississippi,28075,7027,233,0.036,0.018,0.105,0.197,0.643
38,2021-03-26,Lawrence,Mississippi,28077,1247,22,0.119,0.133,0.142,0.135,0.471
39,2021-03-26,Leake,Mississippi,28079,2592,73,0.031,0.04,0.139,0.158,0.633
40,2021-03-26,Lee,Mississippi,28081,9797,168,0.094,0.092,0.13,0.18,0.505
41,2021-03-26,Leflore,Mississippi,28083,3456,123,0.122,0.093,0.119,0.129,0.537
42,2021-03-26,Lincoln,Mississippi,28085,3832,106,0.077,0.129,0.136,0.142,0.516
43,2021-03-26,Lowndes,Mississippi,28087,6217,144,0.018,0.052,0.148,0.193,0.59
44,2021-03-26,Madison,Mississippi,28089,9782,207,0.029,0.043,0.184,0.242,0.502
45,2021-03-26,Marion,Mississippi,28091,2637,78,0.137,0.096,0.103,0.255,0.408
46,2021-03-26,Marshall,Mississippi,28093,4210,99,0.013,0.006,0.13,0.301,0.55
47,2021-03-26,Monroe,Mississippi,28095,4041,130,0.087,0.064,0.139,0.171,0.539
48,2021-03-26,Montgomery,Mississippi,28097,1250,40,0.058,0.176,0.109,0.147,0.51
49,2021-03-26,Neshoba,Mississippi,28099,3946,174,0.017,0.018,0.066,0.171,0.729
50,2021-03-26,Newton,Mississippi,28101,2410,56,0.01,0.025,0.1,0.203,0.662
51,2021-03-26,Noxubee,Mississippi,28103,1251,31,0.009,0.034,0.112,0.203,0.642
52,2021-03-26,Oktibbeha,Mississippi,28105,4511,97,0.015,0.07,0.081,0.242,0.591
53,2021-03-26,Panola,Mississippi,28107,4410,102,0.061,0.158,0.113,0.269,0.399
54,2021-03-26,Pearl River,Mississippi,28109,4366,137,0.05,0.124,0.088,0.251,0.487
55,2021-03-26,Perry,Mississippi,28111,1244,38,0.057,0.056,0.11,0.273,0.503
56,2021-03-26,Pike,Mississippi,28113,3132,101,0.116,0.092,0.106,0.155,0.531
57,2021-03-26,Pontotoc,Mississippi,28115,4147,72,0.06,0.113,0.114,0.197,0.516
58,2021-03-26,Prentiss,Mississippi,28117,2742,58,0.103,0.104,0.17,0.234,0.389
59,2021-03-26,Quitman,Mississippi,28119,786,16,0.041,0.101,0.1,0.312,0.446
60,2021-03-26,Rankin,Mississippi,28121,13179,272,0.031,0.103,0.127,0.179,0.561
61,2021-03-26,Scott,Mississippi,28123,3061,72,0.026,0.049,0.129,0.252,0.543
62,2021-03-26,Sharkey,Mississippi,28125,494,17,0.066,0.068,0.148,0.128,0.59
63,2021-03-26,Simpson,Mississippi,28127,2848,84,0.081,0.124,0.149,0.154,0.491
64,2021-03-26,Smith,Mississippi,28129,1571,34,0.106,0.172,0.111,0.194,0.417
65,2021-03-26,Stone,Mississippi,28131,1767,30,0.109,0.064,0.124,0.224,0.479
66,2021-03-26,Sunflower,Mississippi,28133,3265,88,0.137,0.064,0.118,0.182,0.498
67,2021-03-26,Tallahatchie,Mississippi,28135,1742,40,0.061,0.086,0.118,0.274,0.461
68,2021-03-26,Tate,Mississippi,28137,3184,80,0.097,0.052,0.149,0.265,0.437
69,2021-03-26,Tippah,Mississippi,28139,2824,68,0.068,0.069,0.217,0.213,0.434
70,2021-03-26,Tishomingo,Mississippi,28141,2186,67,0.072,0.179,0.155,0.225,0.37
71,2021-03-26,Tunica,Mississippi,28143,1017,25,0.131,0.036,0.089,0.176,0.568
72,2021-03-26,Union,Mississippi,28145,4002,74,0.078,0.085,0.148,0.219,0.47
73,2021-03-26,Walthall,Mississippi,28147,1292,42,0.158,0.086,0.134,0.213,0.409
74,2021-03-26,Warren,Mississippi,28149,4232,117,0.021,0.079,0.095,0.217,0.586
75,2021-03-26,Washington,Mississippi,28151,5263,132,0.138,0.084,0.164,0.114,0.5
76,2021-03-26,Wayne,Mississippi,28153,2603,41,0.037,0.062,0.121,0.194,0.587
77,2021-03-26,Webster,Mississippi,28155,1131,32,0.052,0.145,0.079,0.222,0.502
78,2021-03-26,Wilkinson,Mississippi,28157,638,27,0.146,0.143,0.075,0.155,0.481
79,2021-03-26,Winston,Mississippi,28159,2249,80,0.029,0.038,0.057,0.199,0.676
80,2021-03-26,Yalobusha,Mississippi,28161,1545,36,0.029,0.108,0.121,0.217,0.523
81,2021-03-26,Yazoo,Mississippi,28163,3015,67,0.05,0.038,0.145,0.159,0.608
