,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-26,Churchill,Nevada,32001,1954,49,0.022,0.093,0.058,0.153,0.674
1,2021-03-26,Clark,Nevada,32003,233671,4088,0.027,0.032,0.054,0.145,0.742
2,2021-03-26,Douglas,Nevada,32005,2657,35,0.029,0.055,0.091,0.238,0.588
3,2021-03-26,Elko,Nevada,32007,4667,53,0.021,0.046,0.19,0.364,0.379
4,2021-03-26,Esmeralda,Nevada,32009,38,0,0.086,0.004,0.006,0.032,0.872
5,2021-03-26,Eureka,Nevada,32011,50,0,0.002,0.054,0.17,0.386,0.387
6,2021-03-26,Humboldt,Nevada,32013,1078,13,0.008,0.042,0.156,0.069,0.725
7,2021-03-26,Lander,Nevada,32015,444,9,0.004,0.085,0.142,0.182,0.588
8,2021-03-26,Lincoln,Nevada,32017,354,2,0.048,0.019,0.147,0.177,0.61
9,2021-03-26,Lyon,Nevada,32019,2905,60,0.037,0.069,0.05,0.173,0.671
10,2021-03-26,Mineral,Nevada,32021,305,7,0.022,0.018,0.09,0.115,0.755
11,2021-03-26,Nye,Nevada,32023,2865,100,0.061,0.038,0.052,0.183,0.666
12,2021-03-26,Pershing,Nevada,32027,943,20,0.01,0.013,0.248,0.038,0.691
13,2021-03-26,Storey,Nevada,32029,88,3,0.015,0.038,0.039,0.126,0.782
14,2021-03-26,Washoe,Nevada,32031,43942,661,0.024,0.025,0.06,0.215,0.676
15,2021-03-26,White Pine,Nevada,32033,558,5,0.059,0.016,0.208,0.421,0.296
16,2021-03-26,Carson City,Nevada,32510,6136,121,0.023,0.064,0.054,0.274,0.585
