,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Allen,Kansas,20001,1206,1,0.153,0.212,0.126,0.167,0.341
1,2021-03-27,Anderson,Kansas,20003,829,0,0.189,0.063,0.137,0.267,0.344
2,2021-03-27,Atchison,Kansas,20005,1552,13,0.137,0.122,0.169,0.256,0.316
3,2021-03-27,Barber,Kansas,20007,368,2,0.069,0.147,0.118,0.329,0.336
4,2021-03-27,Barton,Kansas,20009,2595,21,0.107,0.131,0.12,0.211,0.43
5,2021-03-27,Bourbon,Kansas,20011,1312,3,0.167,0.146,0.077,0.12,0.49
6,2021-03-27,Brown,Kansas,20013,1228,32,0.089,0.149,0.183,0.197,0.382
7,2021-03-27,Butler,Kansas,20015,7355,80,0.053,0.133,0.122,0.222,0.47
8,2021-03-27,Chase,Kansas,20017,286,3,0.151,0.082,0.212,0.225,0.331
9,2021-03-27,Chautauqua,Kansas,20019,265,3,0.128,0.137,0.185,0.214,0.337
10,2021-03-27,Cherokee,Kansas,20021,2405,16,0.131,0.121,0.164,0.174,0.41
11,2021-03-27,Cheyenne,Kansas,20023,357,10,0.065,0.27,0.174,0.235,0.256
12,2021-03-27,Clark,Kansas,20025,247,4,0.163,0.13,0.126,0.232,0.348
13,2021-03-27,Clay,Kansas,20027,826,27,0.081,0.069,0.115,0.229,0.507
14,2021-03-27,Cloud,Kansas,20029,973,2,0.154,0.077,0.118,0.217,0.434
15,2021-03-27,Coffey,Kansas,20031,721,14,0.085,0.119,0.165,0.404,0.227
16,2021-03-27,Comanche,Kansas,20033,170,9,0.112,0.144,0.128,0.271,0.346
17,2021-03-27,Cowley,Kansas,20035,3894,9,0.075,0.093,0.28,0.131,0.421
18,2021-03-27,Crawford,Kansas,20037,4622,83,0.108,0.143,0.118,0.139,0.492
19,2021-03-27,Decatur,Kansas,20039,264,1,0.163,0.118,0.211,0.235,0.273
20,2021-03-27,Dickinson,Kansas,20041,1706,37,0.106,0.118,0.148,0.243,0.385
21,2021-03-27,Doniphan,Kansas,20043,959,7,0.137,0.193,0.184,0.214,0.272
22,2021-03-27,Douglas,Kansas,20045,8870,83,0.006,0.009,0.024,0.227,0.734
23,2021-03-27,Edwards,Kansas,20047,262,0,0.052,0.086,0.135,0.221,0.506
24,2021-03-27,Elk,Kansas,20049,178,0,0.061,0.05,0.295,0.282,0.312
25,2021-03-27,Ellis,Kansas,20051,3717,61,0.154,0.154,0.224,0.148,0.32
