,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Adair,Kentucky,21001,1769,53,0.076,0.115,0.167,0.243,0.399
1,2021-03-27,Allen,Kentucky,21003,1905,32,0.101,0.072,0.097,0.211,0.519
2,2021-03-27,Anderson,Kentucky,21005,1681,17,0.062,0.01,0.044,0.483,0.401
3,2021-03-27,Ballard,Kentucky,21007,374,8,0.107,0.033,0.198,0.257,0.404
4,2021-03-27,Barren,Kentucky,21009,4239,84,0.053,0.093,0.09,0.176,0.588
5,2021-03-27,Bath,Kentucky,21011,818,20,0.076,0.058,0.084,0.339,0.443
6,2021-03-27,Bell,Kentucky,21013,2922,49,0.146,0.094,0.12,0.199,0.44
7,2021-03-27,Boone,Kentucky,21015,13628,108,0.08,0.087,0.081,0.232,0.52
8,2021-03-27,Bourbon,Kentucky,21017,1614,13,0.024,0.037,0.042,0.129,0.769
9,2021-03-27,Boyd,Kentucky,21019,4755,67,0.084,0.125,0.202,0.235,0.354
10,2021-03-27,Boyle,Kentucky,21021,3265,64,0.092,0.037,0.112,0.161,0.598
11,2021-03-27,Bracken,Kentucky,21023,538,6,0.056,0.249,0.065,0.238,0.392
12,2021-03-27,Breathitt,Kentucky,21025,971,8,0.114,0.081,0.126,0.241,0.438
13,2021-03-27,Breckinridge,Kentucky,21027,1141,12,0.023,0.146,0.177,0.138,0.517
14,2021-03-27,Bullitt,Kentucky,21029,6764,69,0.037,0.091,0.156,0.181,0.535
15,2021-03-27,Butler,Kentucky,21031,1412,24,0.066,0.097,0.133,0.17,0.535
16,2021-03-27,Caldwell,Kentucky,21033,1287,28,0.059,0.067,0.26,0.177,0.438
17,2021-03-27,Calloway,Kentucky,21035,3438,47,0.066,0.084,0.248,0.17,0.432
18,2021-03-27,Campbell,Kentucky,21037,8475,71,0.073,0.085,0.134,0.278,0.43
19,2021-03-27,Carlisle,Kentucky,21039,452,8,0.104,0.045,0.188,0.236,0.428
20,2021-03-27,Carroll,Kentucky,21041,954,16,0.155,0.171,0.12,0.208,0.346
21,2021-03-27,Carter,Kentucky,21043,2132,31,0.069,0.102,0.122,0.324,0.383
22,2021-03-27,Casey,Kentucky,21045,1320,34,0.164,0.076,0.161,0.154,0.444
23,2021-03-27,Christian,Kentucky,21047,6539,97,0.06,0.118,0.178,0.279,0.365
24,2021-03-27,Clark,Kentucky,21049,2616,28,0.083,0.093,0.11,0.233,0.48
25,2021-03-27,Clay,Kentucky,21051,2568,36,0.153,0.082,0.165,0.16,0.44
26,2021-03-27,Clinton,Kentucky,21053,1438,29,0.096,0.115,0.248,0.165,0.375
27,2021-03-27,Crittenden,Kentucky,21055,588,18,0.121,0.117,0.29,0.153,0.319
28,2021-03-27,Cumberland,Kentucky,21057,673,9,0.067,0.106,0.224,0.229,0.374
29,2021-03-27,Daviess,Kentucky,21059,10114,175,0.055,0.057,0.122,0.236,0.531
30,2021-03-27,Edmonson,Kentucky,21061,929,21,0.055,0.057,0.086,0.179,0.624
31,2021-03-27,Elliott,Kentucky,21063,943,2,0.117,0.1,0.051,0.289,0.443
32,2021-03-27,Estill,Kentucky,21065,1028,11,0.082,0.151,0.09,0.275,0.402
33,2021-03-27,Fayette,Kentucky,21067,33990,281,0.031,0.051,0.066,0.202,0.65
34,2021-03-27,Fleming,Kentucky,21069,1114,20,0.068,0.069,0.075,0.287,0.502
35,2021-03-27,Floyd,Kentucky,21071,3162,60,0.131,0.066,0.129,0.134,0.54
36,2021-03-27,Franklin,Kentucky,21073,3852,44,0.088,0.036,0.142,0.214,0.521
37,2021-03-27,Fulton,Kentucky,21075,489,14,0.1,0.102,0.202,0.217,0.38
38,2021-03-27,Gallatin,Kentucky,21077,676,25,0.076,0.048,0.198,0.211,0.466
39,2021-03-27,Garrard,Kentucky,21079,1453,29,0.077,0.043,0.063,0.276,0.54
40,2021-03-27,Grant,Kentucky,21081,2318,16,0.047,0.056,0.183,0.106,0.608
41,2021-03-27,Graves,Kentucky,21083,4038,90,0.103,0.069,0.266,0.222,0.34
42,2021-03-27,Grayson,Kentucky,21085,2043,50,0.043,0.042,0.134,0.154,0.627
43,2021-03-27,Green,Kentucky,21087,1168,15,0.063,0.076,0.127,0.247,0.488
44,2021-03-27,Greenup,Kentucky,21089,3422,49,0.092,0.101,0.236,0.228,0.342
45,2021-03-27,Hancock,Kentucky,21091,835,16,0.019,0.08,0.121,0.235,0.546
46,2021-03-27,Hardin,Kentucky,21093,9236,137,0.057,0.062,0.106,0.217,0.558
47,2021-03-27,Harlan,Kentucky,21095,2508,77,0.076,0.093,0.098,0.126,0.606
48,2021-03-27,Harrison,Kentucky,21097,1598,21,0.073,0.044,0.031,0.047,0.804
49,2021-03-27,Hart,Kentucky,21099,1902,45,0.053,0.034,0.118,0.185,0.61
50,2021-03-27,Henderson,Kentucky,21101,4474,71,0.072,0.061,0.136,0.229,0.501
51,2021-03-27,Henry,Kentucky,21103,1288,10,0.093,0.082,0.174,0.254,0.398
52,2021-03-27,Hickman,Kentucky,21105,344,10,0.097,0.065,0.221,0.202,0.415
53,2021-03-27,Hopkins,Kentucky,21107,4193,133,0.04,0.067,0.174,0.217,0.502
54,2021-03-27,Jackson,Kentucky,21109,1271,30,0.183,0.068,0.092,0.235,0.421
55,2021-03-27,Jefferson,Kentucky,21111,77455,1082,0.036,0.048,0.083,0.23,0.602
56,2021-03-27,Jessamine,Kentucky,21113,4353,60,0.022,0.036,0.104,0.21,0.628
57,2021-03-27,Johnson,Kentucky,21115,1851,29,0.102,0.053,0.106,0.127,0.612
58,2021-03-27,Kenton,Kentucky,21117,16150,163,0.052,0.056,0.146,0.245,0.5
59,2021-03-27,Knott,Kentucky,21119,1107,22,0.157,0.073,0.13,0.142,0.497
60,2021-03-27,Knox,Kentucky,21121,3214,30,0.187,0.073,0.103,0.165,0.471
61,2021-03-27,Larue,Kentucky,21123,1273,24,0.074,0.053,0.09,0.213,0.57
62,2021-03-27,Laurel,Kentucky,21125,6239,53,0.201,0.047,0.083,0.152,0.517
63,2021-03-27,Lawrence,Kentucky,21127,1327,20,0.155,0.091,0.151,0.125,0.479
64,2021-03-27,Lee,Kentucky,21129,1241,22,0.129,0.069,0.129,0.273,0.399
65,2021-03-27,Leslie,Kentucky,21131,858,6,0.094,0.103,0.142,0.174,0.487
66,2021-03-27,Letcher,Kentucky,21133,1763,39,0.078,0.05,0.127,0.122,0.624
67,2021-03-27,Lewis,Kentucky,21135,1127,31,0.057,0.081,0.21,0.296,0.357
68,2021-03-27,Lincoln,Kentucky,21137,2180,45,0.172,0.054,0.093,0.172,0.509
69,2021-03-27,Livingston,Kentucky,21139,783,20,0.08,0.1,0.29,0.191,0.339
70,2021-03-27,Logan,Kentucky,21141,2636,59,0.099,0.1,0.08,0.198,0.523
71,2021-03-27,Lyon,Kentucky,21143,1571,19,0.052,0.11,0.316,0.138,0.384
72,2021-03-27,McCracken,Kentucky,21145,6126,114,0.085,0.058,0.232,0.255,0.37
73,2021-03-27,McCreary,Kentucky,21147,1881,30,0.096,0.116,0.143,0.203,0.441
74,2021-03-27,McLean,Kentucky,21149,854,27,0.081,0.105,0.107,0.249,0.459
75,2021-03-27,Madison,Kentucky,21151,8966,107,0.088,0.094,0.114,0.233,0.471
76,2021-03-27,Magoffin,Kentucky,21153,888,14,0.107,0.078,0.111,0.164,0.54
77,2021-03-27,Marion,Kentucky,21155,2207,35,0.046,0.082,0.074,0.144,0.654
78,2021-03-27,Marshall,Kentucky,21157,2638,53,0.061,0.083,0.28,0.18,0.395
79,2021-03-27,Martin,Kentucky,21159,978,20,0.108,0.055,0.096,0.104,0.637
80,2021-03-27,Mason,Kentucky,21161,1504,33,0.056,0.119,0.061,0.284,0.479
81,2021-03-27,Meade,Kentucky,21163,1931,22,0.018,0.154,0.115,0.154,0.559
82,2021-03-27,Menifee,Kentucky,21165,415,15,0.161,0.088,0.067,0.215,0.468
83,2021-03-27,Mercer,Kentucky,21167,2450,45,0.047,0.012,0.178,0.195,0.567
84,2021-03-27,Metcalfe,Kentucky,21169,990,24,0.048,0.109,0.134,0.222,0.487
85,2021-03-27,Monroe,Kentucky,21171,1272,40,0.082,0.134,0.185,0.15,0.448
86,2021-03-27,Montgomery,Kentucky,21173,2423,30,0.03,0.041,0.085,0.392,0.452
87,2021-03-27,Morgan,Kentucky,21175,2101,3,0.133,0.116,0.071,0.182,0.498
88,2021-03-27,Muhlenberg,Kentucky,21177,2845,57,0.035,0.154,0.123,0.2,0.488
89,2021-03-27,Nelson,Kentucky,21179,4731,50,0.033,0.106,0.068,0.244,0.548
90,2021-03-27,Nicholas,Kentucky,21181,492,7,0.023,0.025,0.09,0.271,0.591
91,2021-03-27,Ohio,Kentucky,21183,2431,53,0.064,0.145,0.109,0.19,0.492
92,2021-03-27,Oldham,Kentucky,21185,7274,80,0.025,0.039,0.098,0.278,0.56
93,2021-03-27,Owen,Kentucky,21187,642,12,0.091,0.039,0.114,0.198,0.558
94,2021-03-27,Owsley,Kentucky,21189,474,12,0.121,0.058,0.157,0.282,0.382
95,2021-03-27,Pendleton,Kentucky,21191,985,3,0.035,0.121,0.103,0.129,0.613
96,2021-03-27,Perry,Kentucky,21193,2503,60,0.123,0.093,0.111,0.171,0.502
97,2021-03-27,Pike,Kentucky,21195,5331,83,0.096,0.088,0.123,0.148,0.545
98,2021-03-27,Powell,Kentucky,21197,1063,8,0.112,0.099,0.102,0.232,0.455
99,2021-03-27,Pulaski,Kentucky,21199,6056,93,0.13,0.123,0.096,0.164,0.487
100,2021-03-27,Robertson,Kentucky,21201,197,14,0.048,0.123,0.039,0.204,0.586
101,2021-03-27,Rockcastle,Kentucky,21203,1414,18,0.215,0.079,0.075,0.157,0.474
102,2021-03-27,Rowan,Kentucky,21205,2085,17,0.159,0.097,0.047,0.231,0.467
103,2021-03-27,Russell,Kentucky,21207,1801,42,0.096,0.138,0.195,0.206,0.365
104,2021-03-27,Scott,Kentucky,21209,4563,31,0.04,0.044,0.076,0.081,0.759
105,2021-03-27,Shelby,Kentucky,21211,4469,67,0.092,0.107,0.054,0.261,0.487
106,2021-03-27,Simpson,Kentucky,21213,1892,33,0.137,0.066,0.162,0.208,0.426
107,2021-03-27,Spencer,Kentucky,21215,1512,16,0.032,0.058,0.047,0.41,0.453
108,2021-03-27,Taylor,Kentucky,21217,2940,40,0.073,0.073,0.111,0.21,0.533
109,2021-03-27,Todd,Kentucky,21219,1029,24,0.058,0.147,0.135,0.266,0.394
110,2021-03-27,Trigg,Kentucky,21221,1149,13,0.066,0.053,0.131,0.152,0.597
111,2021-03-27,Trimble,Kentucky,21223,646,6,0.134,0.172,0.135,0.217,0.342
112,2021-03-27,Union,Kentucky,21225,1294,15,0.211,0.079,0.229,0.172,0.309
113,2021-03-27,Warren,Kentucky,21227,15083,158,0.076,0.067,0.063,0.185,0.609
114,2021-03-27,Washington,Kentucky,21229,1393,35,0.035,0.066,0.116,0.221,0.562
115,2021-03-27,Wayne,Kentucky,21231,2155,44,0.102,0.151,0.16,0.169,0.417
116,2021-03-27,Webster,Kentucky,21233,1190,19,0.088,0.084,0.167,0.21,0.451
117,2021-03-27,Whitley,Kentucky,21235,4525,46,0.176,0.062,0.113,0.174,0.476
118,2021-03-27,Wolfe,Kentucky,21237,464,5,0.14,0.095,0.114,0.203,0.448
119,2021-03-27,Woodford,Kentucky,21239,2063,18,0.042,0.017,0.049,0.193,0.698
