,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Barnstable,Massachusetts,25001,11806,440,0.019,0.007,0.026,0.109,0.839
1,2021-03-27,Berkshire,Massachusetts,25003,5390,272,0.03,0.004,0.049,0.082,0.834
2,2021-03-27,Bristol,Massachusetts,25005,59199,1627,0.016,0.02,0.056,0.161,0.747
3,2021-03-27,Dukes,Massachusetts,25007,930,0,0.006,0.01,0.037,0.16,0.786
4,2021-03-27,Essex,Massachusetts,25009,88521,2278,0.023,0.01,0.047,0.131,0.788
5,2021-03-27,Franklin,Massachusetts,25011,2173,106,0.043,0.011,0.028,0.156,0.762
6,2021-03-27,Hampden,Massachusetts,25013,45225,1436,0.013,0.017,0.055,0.13,0.786
7,2021-03-27,Hampshire,Massachusetts,25015,8225,282,0.011,0.006,0.017,0.109,0.857
8,2021-03-27,Middlesex,Massachusetts,25017,120686,3624,0.023,0.011,0.041,0.127,0.798
9,2021-03-27,Nantucket,Massachusetts,25019,1278,0,0.015,0.003,0.034,0.156,0.792
10,2021-03-27,Norfolk,Massachusetts,25021,49282,1714,0.02,0.015,0.035,0.125,0.805
11,2021-03-27,Plymouth,Massachusetts,25023,43569,1373,0.014,0.017,0.045,0.112,0.812
12,2021-03-27,Suffolk,Massachusetts,25025,83704,1781,0.02,0.007,0.049,0.136,0.788
13,2021-03-27,Worcester,Massachusetts,25027,69741,2141,0.02,0.027,0.043,0.142,0.768
14,2021-03-27,Unknown,Massachusetts,,37827,12,,,,,
