,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Adams,Ohio,39001,2235,47,0.074,0.116,0.149,0.222,0.439
1,2021-03-27,Allen,Ohio,39003,11003,225,0.085,0.104,0.114,0.382,0.314
2,2021-03-27,Ashland,Ohio,39005,3992,86,0.068,0.035,0.268,0.19,0.438
3,2021-03-27,Ashtabula,Ohio,39007,6174,158,0.144,0.008,0.099,0.257,0.492
4,2021-03-27,Athens,Ohio,39009,4802,52,0.071,0.115,0.164,0.236,0.413
5,2021-03-27,Auglaize,Ohio,39011,4629,84,0.131,0.089,0.153,0.342,0.285
6,2021-03-27,Belmont,Ohio,39013,5282,159,0.082,0.086,0.118,0.25,0.464
7,2021-03-27,Brown,Ohio,39015,3804,55,0.177,0.177,0.101,0.128,0.417
8,2021-03-27,Butler,Ohio,39017,36850,557,0.047,0.072,0.106,0.244,0.531
9,2021-03-27,Carroll,Ohio,39019,1857,46,0.147,0.261,0.052,0.15,0.39
10,2021-03-27,Champaign,Ohio,39021,3066,53,0.084,0.051,0.274,0.269,0.321
11,2021-03-27,Clark,Ohio,39023,12995,280,0.066,0.027,0.19,0.247,0.471
12,2021-03-27,Clermont,Ohio,39025,19000,219,0.082,0.069,0.074,0.192,0.584
13,2021-03-27,Clinton,Ohio,39027,3518,59,0.171,0.198,0.071,0.105,0.455
14,2021-03-27,Columbiana,Ohio,39029,8328,221,0.098,0.08,0.115,0.156,0.551
15,2021-03-27,Coshocton,Ohio,39031,2524,57,0.077,0.194,0.294,0.178,0.258
16,2021-03-27,Crawford,Ohio,39033,3739,100,0.101,0.107,0.126,0.184,0.482
17,2021-03-27,Cuyahoga,Ohio,39035,101088,1991,0.042,0.052,0.084,0.213,0.609
18,2021-03-27,Darke,Ohio,39037,5130,121,0.216,0.084,0.15,0.28,0.271
19,2021-03-27,Defiance,Ohio,39039,3856,94,0.052,0.114,0.152,0.221,0.462
20,2021-03-27,Delaware,Ohio,39041,17245,129,0.018,0.081,0.084,0.177,0.64
21,2021-03-27,Erie,Ohio,39043,7208,151,0.078,0.022,0.091,0.179,0.63
22,2021-03-27,Fairfield,Ohio,39045,15075,195,0.1,0.095,0.135,0.142,0.527
23,2021-03-27,Fayette,Ohio,39047,2740,48,0.157,0.055,0.328,0.158,0.302
24,2021-03-27,Franklin,Ohio,39049,116888,1316,0.042,0.054,0.09,0.198,0.617
25,2021-03-27,Fulton,Ohio,39051,3923,64,0.029,0.046,0.318,0.272,0.335
26,2021-03-27,Gallia,Ohio,39053,2285,44,0.074,0.082,0.203,0.178,0.463
27,2021-03-27,Geauga,Ohio,39055,6297,144,0.03,0.057,0.064,0.218,0.631
28,2021-03-27,Greene,Ohio,39057,14025,229,0.041,0.082,0.095,0.264,0.519
29,2021-03-27,Guernsey,Ohio,39059,2985,48,0.101,0.162,0.137,0.181,0.419
30,2021-03-27,Hamilton,Ohio,39061,76003,1142,0.069,0.056,0.102,0.224,0.549
31,2021-03-27,Hancock,Ohio,39063,6276,122,0.076,0.127,0.122,0.302,0.373
32,2021-03-27,Hardin,Ohio,39065,2564,62,0.149,0.121,0.134,0.227,0.368
33,2021-03-27,Harrison,Ohio,39067,1033,36,0.107,0.141,0.153,0.233,0.365
34,2021-03-27,Henry,Ohio,39069,2555,64,0.038,0.111,0.189,0.197,0.465
35,2021-03-27,Highland,Ohio,39071,3406,57,0.157,0.144,0.068,0.162,0.468
36,2021-03-27,Hocking,Ohio,39073,2032,57,0.169,0.137,0.21,0.104,0.38
37,2021-03-27,Holmes,Ohio,39075,2484,100,0.05,0.087,0.134,0.271,0.457
38,2021-03-27,Huron,Ohio,39077,5105,111,0.191,0.064,0.204,0.172,0.369
39,2021-03-27,Jackson,Ohio,39079,2988,51,0.166,0.141,0.247,0.105,0.341
40,2021-03-27,Jefferson,Ohio,39081,5018,144,0.076,0.142,0.152,0.209,0.42
41,2021-03-27,Knox,Ohio,39083,4200,107,0.138,0.1,0.065,0.17,0.526
42,2021-03-27,Lake,Ohio,39085,19108,354,0.067,0.039,0.104,0.246,0.544
43,2021-03-27,Lawrence,Ohio,39087,5366,98,0.089,0.097,0.185,0.23,0.399
44,2021-03-27,Licking,Ohio,39089,15575,202,0.056,0.102,0.176,0.127,0.539
45,2021-03-27,Logan,Ohio,39091,3651,76,0.136,0.117,0.314,0.248,0.186
46,2021-03-27,Lorain,Ohio,39093,23043,457,0.089,0.097,0.099,0.207,0.508
47,2021-03-27,Lucas,Ohio,39095,37451,751,0.078,0.056,0.111,0.189,0.566
48,2021-03-27,Madison,Ohio,39097,4056,57,0.037,0.087,0.167,0.262,0.447
49,2021-03-27,Mahoning,Ohio,39099,20105,574,0.046,0.099,0.099,0.231,0.525
50,2021-03-27,Marion,Ohio,39101,8190,133,0.084,0.18,0.115,0.159,0.462
51,2021-03-27,Medina,Ohio,39103,14236,250,0.068,0.077,0.125,0.227,0.503
52,2021-03-27,Meigs,Ohio,39105,1378,37,0.072,0.137,0.182,0.177,0.432
53,2021-03-27,Mercer,Ohio,39107,4634,84,0.102,0.105,0.245,0.314,0.233
54,2021-03-27,Miami,Ohio,39109,10298,205,0.077,0.07,0.19,0.227,0.436
55,2021-03-27,Monroe,Ohio,39111,1242,39,0.04,0.144,0.139,0.291,0.386
56,2021-03-27,Montgomery,Ohio,39113,48533,973,0.041,0.065,0.065,0.222,0.607
57,2021-03-27,Morgan,Ohio,39115,1039,22,0.142,0.114,0.153,0.259,0.332
58,2021-03-27,Morrow,Ohio,39117,2674,39,0.059,0.094,0.075,0.31,0.462
