,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Baker,Oregon,41001,728,12,0.051,0.189,0.179,0.189,0.392
1,2021-03-27,Benton,Oregon,41003,2543,18,0.007,0.007,0.059,0.156,0.77
2,2021-03-27,Clackamas,Oregon,41005,14144,200,0.016,0.024,0.071,0.168,0.721
3,2021-03-27,Clatsop,Oregon,41007,832,7,0.052,0.027,0.051,0.073,0.797
4,2021-03-27,Columbia,Oregon,41009,1346,24,0.048,0.015,0.158,0.174,0.604
5,2021-03-27,Coos,Oregon,41011,1855,28,0.128,0.061,0.136,0.099,0.577
6,2021-03-27,Crook,Oregon,41013,803,18,0.019,0.075,0.027,0.246,0.633
7,2021-03-27,Curry,Oregon,41015,536,8,0.025,0.058,0.1,0.162,0.655
8,2021-03-27,Deschutes,Oregon,41017,6293,70,0.01,0.061,0.014,0.25,0.666
9,2021-03-27,Douglas,Oregon,41019,2837,59,0.082,0.052,0.116,0.239,0.511
10,2021-03-27,Gilliam,Oregon,41021,54,1,0.008,0.003,0.049,0.332,0.607
11,2021-03-27,Grant,Oregon,41023,271,4,0.014,0.062,0.132,0.12,0.671
12,2021-03-27,Harney,Oregon,41025,285,6,0.032,0.099,0.114,0.157,0.598
13,2021-03-27,Hood River,Oregon,41027,1084,29,0.03,0.071,0.127,0.162,0.61
14,2021-03-27,Jackson,Oregon,41029,9131,120,0.044,0.077,0.075,0.138,0.665
15,2021-03-27,Jefferson,Oregon,41031,2008,31,0.018,0.062,0.012,0.25,0.657
16,2021-03-27,Josephine,Oregon,41033,2748,59,0.028,0.056,0.072,0.192,0.652
17,2021-03-27,Klamath,Oregon,41035,2964,56,0.097,0.031,0.062,0.227,0.583
18,2021-03-27,Lake,Oregon,41037,399,6,0.05,0.017,0.127,0.247,0.558
19,2021-03-27,Lane,Oregon,41039,10680,141,0.031,0.036,0.077,0.137,0.719
20,2021-03-27,Lincoln,Oregon,41041,1197,20,0.001,0.012,0.047,0.131,0.81
21,2021-03-27,Linn,Oregon,41043,3782,60,0.057,0.025,0.096,0.159,0.664
22,2021-03-27,Malheur,Oregon,41045,3392,58,0.071,0.206,0.213,0.206,0.305
23,2021-03-27,Marion,Oregon,41047,19263,296,0.029,0.013,0.053,0.196,0.71
24,2021-03-27,Morrow,Oregon,41049,1062,14,0.026,0.004,0.083,0.197,0.69
25,2021-03-27,Multnomah,Oregon,41051,33039,565,0.013,0.016,0.054,0.178,0.738
26,2021-03-27,Polk,Oregon,41053,3194,48,0.013,0.022,0.078,0.242,0.645
27,2021-03-27,Sherman,Oregon,41055,53,0,0.008,0.014,0.046,0.271,0.66
28,2021-03-27,Tillamook,Oregon,41057,495,2,0.125,0.04,0.092,0.163,0.581
29,2021-03-27,Umatilla,Oregon,41059,7859,82,0.043,0.01,0.081,0.155,0.71
30,2021-03-27,Union,Oregon,41061,1360,20,0.034,0.088,0.086,0.189,0.603
31,2021-03-27,Wallowa,Oregon,41063,147,5,0.041,0.083,0.146,0.229,0.501
32,2021-03-27,Wasco,Oregon,41065,1242,27,0.019,0.034,0.069,0.197,0.681
33,2021-03-27,Washington,Oregon,41067,22179,221,0.006,0.009,0.059,0.169,0.756
34,2021-03-27,Wheeler,Oregon,41069,25,1,0.023,0.07,0.049,0.232,0.626
35,2021-03-27,Yamhill,Oregon,41071,3907,70,0.021,0.035,0.072,0.143,0.729
