,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Aurora,South Dakota,46003,457,15,0.239,0.073,0.236,0.15,0.302
1,2021-03-27,Beadle,South Dakota,46005,2857,40,0.234,0.104,0.147,0.173,0.342
2,2021-03-27,Bennett,South Dakota,46007,386,9,0.147,0.052,0.117,0.327,0.356
3,2021-03-27,Bon Homme,South Dakota,46009,1514,26,0.108,0.205,0.198,0.193,0.295
4,2021-03-27,Brookings,South Dakota,46011,3785,37,0.04,0.124,0.263,0.229,0.345
5,2021-03-27,Brown,South Dakota,46013,5276,91,0.256,0.098,0.142,0.166,0.338
6,2021-03-27,Brule,South Dakota,46015,700,9,0.163,0.075,0.168,0.264,0.33
7,2021-03-27,Buffalo,South Dakota,46017,423,13,0.161,0.059,0.157,0.253,0.371
8,2021-03-27,Butte,South Dakota,46019,1006,20,0.12,0.085,0.153,0.204,0.438
9,2021-03-27,Campbell,South Dakota,46021,131,4,0.155,0.167,0.122,0.277,0.278
10,2021-03-27,Charles Mix,South Dakota,46023,1342,21,0.117,0.149,0.254,0.192,0.288
11,2021-03-27,Clark,South Dakota,46025,410,5,0.211,0.147,0.172,0.125,0.345
12,2021-03-27,Clay,South Dakota,46027,1857,15,0.091,0.178,0.116,0.243,0.373
13,2021-03-27,Codington,South Dakota,46029,4190,80,0.185,0.144,0.25,0.117,0.305
14,2021-03-27,Corson,South Dakota,46031,475,12,0.144,0.19,0.134,0.285,0.247
15,2021-03-27,Custer,South Dakota,46033,779,12,0.132,0.088,0.156,0.229,0.396
16,2021-03-27,Davison,South Dakota,46035,3085,67,0.249,0.074,0.303,0.107,0.267
17,2021-03-27,Day,South Dakota,46037,679,29,0.256,0.14,0.175,0.118,0.311
18,2021-03-27,Deuel,South Dakota,46039,490,8,0.136,0.111,0.275,0.169,0.309
19,2021-03-27,Dewey,South Dakota,46041,1435,26,0.069,0.057,0.141,0.237,0.497
20,2021-03-27,Douglas,South Dakota,46043,443,9,0.189,0.108,0.269,0.146,0.289
21,2021-03-27,Edmunds,South Dakota,46045,490,13,0.217,0.088,0.15,0.197,0.348
22,2021-03-27,Fall River,South Dakota,46047,564,15,0.141,0.093,0.152,0.25,0.364
23,2021-03-27,Faulk,South Dakota,46049,363,13,0.205,0.079,0.146,0.198,0.372
24,2021-03-27,Grant,South Dakota,46051,1007,42,0.259,0.129,0.232,0.12,0.26
25,2021-03-27,Gregory,South Dakota,46053,570,30,0.113,0.118,0.206,0.264,0.299
26,2021-03-27,Haakon,South Dakota,46055,260,10,0.117,0.051,0.151,0.241,0.44
27,2021-03-27,Hamlin,South Dakota,46057,742,38,0.119,0.143,0.256,0.137,0.345
28,2021-03-27,Hand,South Dakota,46059,354,6,0.182,0.071,0.147,0.225,0.376
29,2021-03-27,Hanson,South Dakota,46061,376,4,0.185,0.107,0.269,0.148,0.29
30,2021-03-27,Harding,South Dakota,46063,92,1,0.105,0.068,0.145,0.235,0.446
31,2021-03-27,Hughes,South Dakota,46065,2357,37,0.091,0.027,0.109,0.251,0.523
32,2021-03-27,Hutchinson,South Dakota,46067,823,26,0.129,0.163,0.199,0.188,0.321
33,2021-03-27,Hyde,South Dakota,46069,138,1,0.142,0.053,0.142,0.234,0.43
34,2021-03-27,Jackson,South Dakota,46071,284,14,0.129,0.052,0.136,0.281,0.401
35,2021-03-27,Jerauld,South Dakota,46073,275,16,0.233,0.073,0.185,0.184,0.326
36,2021-03-27,Jones,South Dakota,46075,91,0,0.115,0.03,0.101,0.293,0.462
37,2021-03-27,Kingsbury,South Dakota,46077,718,14,0.128,0.13,0.217,0.184,0.341
38,2021-03-27,Lake,South Dakota,46079,1287,18,0.11,0.144,0.183,0.237,0.326
39,2021-03-27,Lawrence,South Dakota,46081,2886,45,0.124,0.089,0.154,0.205,0.428
40,2021-03-27,Lincoln,South Dakota,46083,8165,77,0.078,0.181,0.106,0.25,0.385
41,2021-03-27,Lyman,South Dakota,46085,624,10,0.13,0.046,0.119,0.287,0.419
42,2021-03-27,McCook,South Dakota,46087,780,24,0.113,0.154,0.144,0.238,0.35
43,2021-03-27,McPherson,South Dakota,46089,240,4,0.204,0.091,0.161,0.22,0.323
44,2021-03-27,Marshall,South Dakota,46091,364,6,0.196,0.146,0.183,0.161,0.313
45,2021-03-27,Meade,South Dakota,46093,2685,31,0.123,0.078,0.161,0.214,0.425
46,2021-03-27,Mellette,South Dakota,46095,255,2,0.136,0.028,0.091,0.34,0.405
