,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Beaver,Utah,49001,746,6,0.099,0.026,0.271,0.283,0.32
1,2021-03-27,Box Elder,Utah,49003,5036,47,0.084,0.116,0.111,0.27,0.419
2,2021-03-27,Cache,Utah,49005,15458,43,0.09,0.108,0.08,0.31,0.411
3,2021-03-27,Carbon,Utah,49007,1581,15,0.107,0.134,0.114,0.293,0.353
4,2021-03-27,Daggett,Utah,49009,38,0,0.091,0.296,0.102,0.33,0.181
5,2021-03-27,Davis,Utah,49011,36065,157,0.035,0.055,0.077,0.314,0.518
6,2021-03-27,Duchesne,Utah,49013,1165,9,0.051,0.259,0.033,0.469,0.188
7,2021-03-27,Emery,Utah,49015,910,9,0.122,0.109,0.106,0.239,0.424
8,2021-03-27,Garfield,Utah,49017,463,10,0.062,0.056,0.232,0.264,0.386
9,2021-03-27,Grand,Utah,49019,730,3,0.056,0.111,0.098,0.176,0.558
10,2021-03-27,Iron,Utah,49021,5338,31,0.065,0.036,0.22,0.262,0.417
11,2021-03-27,Juab,Utah,49023,1250,12,0.335,0.023,0.079,0.193,0.369
12,2021-03-27,Kane,Utah,49025,636,5,0.061,0.041,0.226,0.227,0.445
13,2021-03-27,Millard,Utah,49027,1404,12,0.432,0.023,0.088,0.171,0.286
14,2021-03-27,Morgan,Utah,49029,1169,11,0.092,0.155,0.053,0.37,0.33
15,2021-03-27,Piute,Utah,49031,100,2,0.097,0.061,0.266,0.3,0.276
16,2021-03-27,Rich,Utah,49033,139,0,0.077,0.113,0.062,0.327,0.421
17,2021-03-27,Salt Lake,Utah,49035,143233,819,0.028,0.032,0.094,0.202,0.644
18,2021-03-27,San Juan,Utah,49037,1850,37,0.04,0.064,0.042,0.21,0.644
19,2021-03-27,Sanpete,Utah,49039,3655,21,0.107,0.043,0.104,0.273,0.473
20,2021-03-27,Sevier,Utah,49041,2119,12,0.152,0.096,0.171,0.3,0.282
21,2021-03-27,Summit,Utah,49043,5279,11,0.018,0.1,0.054,0.177,0.651
22,2021-03-27,Tooele,Utah,49045,6887,39,0.002,0.114,0.141,0.212,0.532
23,2021-03-27,Uintah,Utah,49047,2492,19,0.121,0.269,0.046,0.389,0.175
24,2021-03-27,Utah,Utah,49049,92702,361,0.068,0.035,0.195,0.244,0.458
25,2021-03-27,Wasatch,Utah,49051,4460,21,0.039,0.063,0.056,0.254,0.588
26,2021-03-27,Washington,Utah,49053,20470,203,0.034,0.056,0.123,0.269,0.518
27,2021-03-27,Wayne,Utah,49055,126,0,0.068,0.129,0.114,0.269,0.42
28,2021-03-27,Weber,Utah,49057,27471,183,0.066,0.089,0.072,0.287,0.486
29,2021-03-27,Unknown,Utah,,1259,3,,,,,
